date,season,home,away,home_score,away_score
2013-04-13,2013,KC,POR,1,1
2013-04-14,2013,CHI,RGN,1,1
2013-04-14,2013,NJY,WNY,1,0
2013-04-14,2013,BOS,WAS,1,1
2013-04-20,2013,WAS,WNY,1,1
2013-04-21,2013,POR,RGN,2,1
2013-04-26,2013,KC,RGN,2,0
2013-04-27,2013,WAS,NJY,1,2
2013-04-27,2013,CHI,POR,0,2
2013-04-27,2013,WNY,BOS,1,2
2013-05-01,2013,WNY,NJY,2,1
2013-05-04,2013,BOS,CHI,4,1
2013-05-04,2013,WAS,POR,1,2
2013-05-04,2013,RGN,KC,0,1
2013-05-08,2013,NJY,CHI,1,1
2013-05-11,2013,WAS,BOS,1,1
2013-05-11,2013,NJY,RGN,2,0
2013-05-11,2013,WNY,KC,2,1
2013-05-12,2013,CHI,POR,0,2
2013-05-16,2013,RGN,WAS,2,4
2013-05-16,2013,POR,NJY,0,1
2013-05-18,2013,KC,BOS,2,0
2013-05-19,2013,POR,WAS,2,0
2013-05-19,2013,RGN,NJY,0,3
2013-05-24,2013,WNY,CHI,2,1
2013-05-25,2013,BOS,WAS,3,0
2013-05-25,2013,RGN,POR,0,1
2013-05-25,2013,KC,NJY,0,1
2013-06-01,2013,POR,CHI,0,2
2013-06-01,2013,NJY,BOS,5,1
2013-06-05,2013,BOS,WNY,2,2
2013-06-06,2013,POR,KC,4,3
2013-06-08,2013,NJY,WNY,0,3
2013-06-09,2013,CHI,BOS,1,0
2013-06-09,2013,RGN,KC,0,1
2013-06-13,2013,CHI,KC,0,2
2013-06-15,2013,WAS,WNY,0,2
2013-06-16,2013,POR,RGN,2,0
2013-06-16,2013,KC,CHI,1,3
2013-06-16,2013,BOS,NJY,2,3
2013-06-19,2013,CHI,WNY,2,2
2013-06-22,2013,NJY,POR,0,0
2013-06-23,2013,KC,WAS,2,0
2013-06-23,2013,WNY,RGN,1,1
2013-06-26,2013,BOS,RGN,1,2
2013-06-26,2013,NJY,KC,2,2
2013-06-28,2013,WNY,WAS,4,0
2013-06-29,2013,RGN,CHI,3,1
2013-06-30,2013,KC,POR,2,0
2013-06-30,2013,BOS,NJY,3,2
2013-07-03,2013,RGN,BOS,1,1
2013-07-03,2013,WAS,KC,1,1
2013-07-04,2013,CHI,WNY,1,0
2013-07-06,2013,NJY,WAS,1,0
2013-07-06,2013,POR,BOS,0,2
2013-07-07,2013,KC,WNY,0,0
2013-07-10,2013,WAS,CHI,0,2
2013-07-11,2013,RGN,WNY,3,2
2013-07-13,2013,NJY,BOS,0,0
2013-07-14,2013,POR,WNY,1,1
2013-07-14,2013,CHI,KC,3,3
2013-07-14,2013,RGN,WAS,2,1
2013-07-20,2013,CHI,WAS,1,0
2013-07-20,2013,KC,RGN,2,0
2013-07-21,2013,WNY,NJY,3,0
2013-07-21,2013,BOS,POR,1,2
2013-07-24,2013,KC,BOS,3,0
2013-07-25,2013,RGN,CHI,4,1
2013-07-27,2013,WAS,BOS,2,5
2013-07-28,2013,POR,CHI,3,3
2013-07-28,2013,NJY,KC,0,1
2013-07-31,2013,WNY,WAS,3,0
2013-07-31,2013,POR,NJY,3,1
2013-08-03,2013,BOS,WNY,2,2
2013-08-03,2013,CHI,RGN,3,1
2013-08-03,2013,NJY,WAS,1,0
2013-08-04,2013,POR,KC,2,3
2013-08-07,2013,BOS,POR,2,1
2013-08-07,2013,WNY,RGN,1,0
2013-08-07,2013,WAS,CHI,1,0
2013-08-10,2013,CHI,NJY,3,3
2013-08-10,2013,BOS,KC,1,0
2013-08-10,2013,WAS,RGN,1,0
2013-08-10,2013,WNY,POR,0,0
2013-08-17,2013,WNY,BOS,2,1
2013-08-17,2013,RGN,POR,1,2
2013-08-18,2013,KC,CHI,1,2
2013-08-18,2013,WAS,NJY,1,1
2014-04-12,2014,KC,NJY,1,1
2014-04-12,2014,HOU,POR,0,1
2014-04-13,2014,RGN,BOS,3,0
2014-04-13,2014,WAS,WNY,1,3
2014-04-19,2014,NJY,POR,1,1
2014-04-19,2014,CHI,WNY,1,0
2014-04-19,2014,WAS,KC,3,1
2014-04-20,2014,BOS,HOU,2,3
2014-04-23,2014,RGN,WAS,3,1
2014-04-26,2014,CHI,WAS,0,1
2014-04-26,2014,POR,KC,3,1
2014-04-27,2014,BOS,NJY,3,2
2014-04-27,2014,RGN,HOU,2,0
2014-04-30,2014,KC,CHI,1,0
2014-04-30,2014,NJY,RGN,0,2
2014-05-03,2014,HOU,KC,0,4
2014-05-03,2014,NJY,BOS,1,0
2014-05-03,2014,WAS,RGN,1,2
2014-05-03,2014,WNY,POR,1,1
2014-05-07,2014,NJY,CHI,1,1
2014-05-07,2014,WNY,KC,2,1
2014-05-10,2014,POR,RGN,0,1
2014-05-11,2014,KC,WAS,2,1
2014-05-11,2014,CHI,HOU,1,0
2014-05-11,2014,WNY,NJY,2,0
2014-05-14,2014,HOU,POR,0,1
2014-05-14,2014,RGN,KC,3,2
2014-05-15,2014,BOS,CHI,1,3
2014-05-17,2014,WAS,WNY,3,2
2014-05-18,2014,BOS,CHI,1,4
2014-05-18,2014,KC,HOU,2,2
2014-05-21,2014,WAS,NJY,3,3
