name,year,dob,minutes
Abby Dahlkemper,2016,1993-05-13,1800.0
Abby Dahlkemper,2017,1993-05-13,2160.0
Abby Dahlkemper,2018,1993-05-13,1710.0
Abby Dahlkemper,2019,1993-05-13,1260.0
Abby Dahlkemper,2021,1993-05-13,720.0
Abby Dahlkemper,2022,1993-05-13,568.0
Abby Dahlkemper,2023,1993-05-13,450.0
Abby Dahlkemper,2024,1993-05-13,1935.0
Abby Elinsky,2018,1996-01-08,32.0
Abby Elinsky,2019,1996-01-08,548.0
Abby Erceg,2016,1989-11-20,1474.0
Abby Erceg,2017,1989-11-20,1947.0
Abby Erceg,2018,1989-11-20,2160.0
Abby Erceg,2019,1989-11-20,1775.0
Abby Erceg,2021,1989-11-20,1800.0
Abby Erceg,2022,1989-11-20,1710.0
Abby Erceg,2023,1989-11-20,1980.0
Abby Erceg,2024,1989-11-20,2340.0
Abby Smith,2016,1993-10-04,122.0
Abby Smith,2017,1993-10-04,1710.0
Abby Smith,2018,1993-10-04,1512.0
Abby Smith,2021,1993-10-04,530.0
Abby Smith,2022,1993-10-04,90.0
Abby Smith,2023,1993-10-04,1349.0
Abi Kim,2021,1998-07-19,147.0
Abi Kim,2022,1998-07-19,211.0
Addie McCain,2021,1999-08-28,857.0
Addie McCain,2022,1999-08-28,230.0
Addie McCain,2023,1999-08-28,1.0
Addison Steiner,2019,1994-12-19,146.0
Addisyn Merrick,2021,1998-03-04,54.0
Addisyn Merrick,2022,1998-03-04,780.0
Addisyn Merrick,2023,1998-03-04,705.0
Addisyn Merrick,2024,1998-03-04,114.0
Adriana,2023,1996-11-17,1645.0
Adriana,2024,1996-11-17,1688.0
Adriana Leon,2016,1992-10-02,345.0
Adriana Leon,2017,1992-10-02,1782.0
Adriana Leon,2018,1992-10-02,185.0
Adriana Leon,2023,1992-10-02,76.0
Adrianna Franch,2016,1990-11-12,540.0
Adrianna Franch,2017,1990-11-12,2160.0
Adrianna Franch,2018,1990-11-12,1260.0
Adrianna Franch,2019,1990-11-12,1260.0
Adrianna Franch,2021,1990-11-12,1350.0
Adrianna Franch,2022,1990-11-12,1800.0
Adrianna Franch,2023,1990-11-12,1080.0
Adrianna Franch,2024,1990-11-12,1530.0
Agnes Nyberg,2024,2000-04-19,652.0
Ainsley McCammon,2024,2007-08-16,64.0
Alana Cook,2021,1997-04-11,1710.0
Alana Cook,2022,1997-04-11,1710.0
