Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ali Krieger\Ali-Krieger,DFMF,26,6,6,600,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Christie Pearce\Christie-Pearce,DF,35,6,6,600,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hope Solo\Hope-Solo,GK,29,6,6,600,6.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Abby Wambach\Abby-Wambach,FW,31,6,6,600,6.7,4,1,4,0,0,1,0,0.60,0.15,0.75,0.60,0.75,Matches
Carli Lloyd\Carli-Lloyd,FWMF,28,6,6,575,6.4,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
Amy LePeilbet\Amy-LePeilbet,DF,29,6,6,535,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lauren Holiday\Lauren-Holiday,FWMF,23,6,6,461,5.1,2,2,2,0,0,0,0,0.39,0.39,0.78,0.39,0.78,Matches
Shannon Boxx\Shannon-Boxx,MF,33,5,5,510,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Heather O'Reilly\Heather-OReilly,FWMF,26,5,5,456,5.1,1,2,1,0,0,0,0,0.20,0.39,0.59,0.20,0.59,Matches
Rachel Van Hollebeke\Rachel-Van-Hollebeke,DF,25,5,5,455,5.1,1,0,1,0,0,0,1,0.20,0.00,0.20,0.20,0.20,Matches
Amy Rodriguez\Amy-Rodriguez,FWMF,24,5,5,295,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Megan Rapinoe\Megan-Rapinoe,FWMF,25,6,2,332,3.7,1,3,1,0,0,1,0,0.27,0.81,1.08,0.27,1.08,Matches
Lori Lindsey\Lori-Lindsey,MF,31,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Becky Sauerbrunn\Becky-Sauerbrunn,DF,26,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Morgan\Alex-Morgan,FW,21,5,0,215,2.4,2,1,2,0,0,0,0,0.84,0.42,1.26,0.84,1.26,Matches
Stephanie Cox\Stephanie-Cox,DF,25,2,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tobin Heath\Tobin-Heath,FWMF,23,4,0,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kelley O'Hara\Kelley-OHara,DFFW,22,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicole Barnhart\Nicole-Barnhart,GK,29,0,0,,,,,,,,,,,,,,,Matches
Jillian Loyden\Jillian-Loyden,GK,25,0,0,,,,,,,,,,,,,,,Matches
Heather Mitts\Heather-Mitts,DFMF,33,0,0,,,,,,,,,,,,,,,Matches
