team_name,team_abbreviation,season_name,date_time_utc,goals_for,goals_against,xgoals_for,xgoals_against,knockout_game
Portland Thorns FC,POR,2019,2019-06-22 03:00:00 UTC,0,0,1.5348000000000002,0.38070000000000004,False
Utah Royals FC,UTA,2019,2019-06-22 03:00:00 UTC,0,0,0.38070000000000004,1.5348000000000002,False
Houston Dash,HOU,2019,2019-08-25 00:30:00 UTC,1,2,1.5064000000000002,1.3831,False
NJ/NY Gotham FC,NJY,2019,2019-08-25 00:30:00 UTC,2,1,1.3831,1.5064000000000002,False
Chicago Red Stars,CHI,2019,2019-09-15 21:00:00 UTC,3,0,1.0927,1.0075,False
NJ/NY Gotham FC,NJY,2019,2019-09-15 21:00:00 UTC,0,3,1.0075,1.0927,False
Boston Breakers,BOS,2017,2017-07-16 02:00:00 UTC,1,1,0.9368000000000001,0.984,False
OL Reign,RGN,2017,2017-07-16 02:00:00 UTC,1,1,0.984,0.9368000000000001,False
Washington Spirit,WAS,2017,2017-08-04 23:00:00 UTC,4,1,2.6442,1.1961,False
NJ/NY Gotham FC,NJY,2017,2017-08-04 23:00:00 UTC,1,4,1.1961,2.6442,False
OL Reign,RGN,2017,2017-05-13 20:00:00 UTC,6,2,2.4869,1.3896,False
Washington Spirit,WAS,2017,2017-05-13 20:00:00 UTC,2,6,1.3896,2.4869,False
Houston Dash,HOU,2016,2016-04-30 00:30:00 UTC,0,0,1.2844,0.12340000000000001,False
NJ/NY Gotham FC,NJY,2016,2016-04-30 00:30:00 UTC,0,0,0.12340000000000001,1.2844,False
Orlando Pride,ORL,2016,2016-05-14 23:30:00 UTC,1,0,0.4793,1.024,False
Western New York Flash,WNY,2016,2016-05-14 23:30:00 UTC,0,1,1.024,0.4793,False
OL Reign,RGN,2016,2016-07-24 02:00:00 UTC,4,2,2.4778000000000002,0.7456,False
Orlando Pride,ORL,2016,2016-07-24 02:00:00 UTC,2,4,0.7456,2.4778000000000002,False
San Diego Wave FC,SD,2022,2022-10-23 21:00:00 UTC,1,2,1.2847,1.544,True
