,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26
Angel City FC,5,9,5,6,5,3,11,7,7,2,3,4,5,3,8,3,5,3,7,0,3,0,3,4,4,26,7,7,29,2,7,6,8,45,18,12,7,4,8,5,6,5,9,8,4,21,7,19,23,13,14,8
Chicago Red Stars,4,6,4,11,6,7,18,13,10,9,6,4,2,16,22,9,13,5,7,29,29,29,15,19,34,16,11,15,19,9,21,16,29,11,14,15,6,11,18,6,20,13,16,12,36,100,34,4,6,3,4,5
Houston Dash,6,4,8,1,2,2,1,2,5,4,3,4,2,27,18,7,19,14,8,9,29,18,13,10,16,27,8,11,7,7,6,17,22,21,25,28,7,17,9,11,14,14,4,7,2,0,5,2,3,0,4,2
Kansas City Current,2,9,4,3,2,6,4,5,6,5,0,0,3,14,7,11,33,14,13,9,23,12,14,6,29,13,12,7,7,11,7,11,15,11,9,13,7,4,17,3,12,6,27,17,2,0,3,0,1,0,0,0
North Carolina Courage,1,3,2,7,3,1,4,4,7,9,3,3,4,10,7,7,19,14,7,15,16,12,7,9,24,13,16,16,11,12,9,7,20,8,9,10,13,10,40,24,16,15,5,13,11,4,4,0,2,2,9,3
NJ/NY Gotham FC,4,6,0,0,0,3,3,3,3,2,0,2,2,17,18,15,14,30,15,12,17,22,11,7,18,16,4,16,9,11,8,6,26,24,20,6,9,12,9,29,6,11,21,19,16,0,4,6,15,5,6,4
OL Reign,1,2,5,4,5,1,6,4,5,4,6,5,4,11,22,24,19,19,10,25,35,34,22,39,50,26,12,17,22,15,23,18,24,33,92,15,11,13,24,10,33,16,13,15,10,41,10,0,6,15,10,4
Orlando Pride,3,4,2,2,5,2,9,11,13,9,8,7,13,21,31,26,18,27,17,44,49,48,29,19,58,33,51,14,41,21,20,24,23,25,32,43,15,13,30,45,28,12,22,8,0,6,4,7,7,1,0,4
Portland Thorns,5,7,10,7,4,8,8,16,3,5,7,11,14,38,41,43,22,64,27,45,56,42,40,28,58,36,34,35,66,31,41,32,78,91,52,32,34,23,43,53,52,29,16,27,21,51,11,11,11,8,12,4
Racing Louisville,2,7,3,2,1,0,3,3,0,3,1,6,3,18,28,7,12,7,16,23,7,9,5,10,31,15,23,5,7,9,10,13,31,20,18,12,11,1,15,8,14,16,11,8,2,3,2,3,5,4,4,3
San Diego Wave FC,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,7,0,0,0,0,3,0,3,0,0,1,0,0,5,0,0,3,0,0,0,1,3,4,0,0,0,4,2,0,0
Washington Spirit,0,3,0,2,3,1,9,4,3,0,2,4,4,14,15,11,13,2,4,21,21,17,20,9,40,19,14,12,15,7,11,23,15,21,19,16,14,9,29,37,17,10,10,23,34,89,53,9,8,4,4,5
