Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-04-12,Sun,NWSL,Regular Season,Home,W 5–1,Reign,Flash,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-04-18,Sat,NWSL,Regular Season,Away,L 2–3,Reign,Red Stars,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-04-23,Thu,NWSL,Regular Season,Away,L 0–1,Reign,Kansas City,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-02,Sat,NWSL,Regular Season,Home,W 3–1,Reign,Spirit,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-09,Sat,NWSL,Regular Season,Away,D 1–1,Reign,Sky Blue,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-30,Sat,NWSL,Regular Season,Home,D 0–0,Reign,Red Stars,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-06-06,Sat,NWSL,Regular Season,Home,W 3–0,Reign,Sky Blue,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-06-21,Sun,NWSL,Regular Season,Away,W 3–2,Reign,Boston,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-06-27,Sat,NWSL,Regular Season,Home,W 2–1,Reign,Kansas City,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-07-03,Fri,NWSL,Regular Season,Away,D 1–1,Reign,Flash,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-07-11,Sat,NWSL,Regular Season,Home,W 4–2,Reign,Flash,Y,,90,0,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-07-18,Sat,NWSL,Regular Season,Away,L 0–3,Reign,Spirit,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-07-22,Wed,NWSL,Regular Season,Away,W 1–0,Reign,Thorns,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-07-26,Sun,NWSL,Regular Season,Home,W 3–0,Reign,Thorns,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-08-01,Sat,NWSL,Regular Season,Away,W 2–1,Reign,Boston,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-08-12,Wed,NWSL,Regular Season,Home,W 2–1,Reign,Dash,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-08-21,Fri,NWSL,Regular Season,Away,W 3–0,Reign,Dash,Y,,90,0,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-08-26,Wed,NWSL,Regular Season,Home,W 3–1,Reign,Boston,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-08-29,Sat,NWSL,Regular Season,Home,D 1–1,Reign,Sky Blue,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-09-05,Sat,NWSL,Regular Season,Away,W 2–1,Reign,Spirit,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-09-13,Sun,NWSL,Semi-finals,Home,W 3–0,Reign,Spirit,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-10-01,Thu,NWSL,Final,Neutral,L 0–1,Reign,Kansas City,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
