Unnamed: 0,slug,date,season,opponent,goals_for,goals_against,goals,assists,minutes,yellow_cards,red_cards,position
0,seatle-reign-fc-vs-sky-blue-fc-2016-04-17,2016-04-17,2016,NJY,1,2,0,0,90,0,0,LB
1,boston-breakers-vs-seatle-reign-fc-2016-04-24,2016-04-24,2016,BOS,3,0,0,1,90,0,0,LCB
2,seatle-reign-fc-vs-fc-kansas-city-2016-05-01,2016-05-01,2016,KC,1,0,0,0,90,0,0,LCB
3,orlando-pride-vs-seatle-reign-fc-2016-05-08,2016-05-08,2016,ORL,0,2,0,1,90,0,0,LCB
4,seatle-reign-fc-vs-portland-thorns-fc-2016-05-14,2016-05-14,2016,POR,1,1,0,2,90,0,0,LB
5,seatle-reign-fc-vs-chicago-red-stars-2016-05-22,2016-05-22,2016,CHI,1,2,0,1,90,0,0,LB
6,portland-thorns-fc-vs-seatle-reign-fc-2016-05-29,2016-05-29,2016,POR,0,0,0,0,90,0,0,LB
7,seatle-reign-fc-vs-houston-dash-2016-06-12,2016-06-12,2016,HOU,1,0,0,2,90,0,0,LB
8,sky-blue-fc-vs-seatle-reign-fc-2016-06-19,2016-06-19,2016,NJY,0,0,0,1,90,0,0,LB
9,fc-kansas-city-vs-seatle-reign-fc-2016-06-25,2016-06-25,2016,KC,0,0,0,2,66,0,0,RB
10,seatle-reign-fc-vs-boston-breakers-2016-07-02,2016-07-02,2016,BOS,2,0,0,0,90,0,0,LB
11,western-new-york-flash-vs-seatle-reign-fc-2016-07-09,2016-07-09,2016,WNY,2,3,0,0,90,0,0,LB
12,seatle-reign-fc-vs-western-new-york-flash-2016-07-16,2016-07-16,2016,WNY,1,1,0,0,90,0,0,LCB
13,seatle-reign-fc-vs-orlando-pride-2016-07-23,2016-07-23,2016,ORL,5,2,0,1,90,0,0,LCB
14,portland-thorns-fc-vs-seatle-reign-fc-2016-07-30,2016-07-30,2016,POR,0,1,0,3,90,0,0,LCB
15,seatle-reign-fc-vs-portland-thorns-fc-2016-08-27,2016-08-27,2016,POR,3,1,0,0,90,1,0,LCB
16,chicago-red-stars-vs-seatle-reign-fc-2016-09-04,2016-09-04,2016,CHI,2,2,1,0,90,0,0,CB
17,washington-spirit-vs-seatle-reign-fc-2016-09-07,2016-09-07,2016,WAS,1,2,0,0,90,0,0,LCB
18,seatle-reign-fc-vs-washington-spirit-2016-09-11,2016-09-11,2016,WAS,2,0,0,0,90,0,0,LCB
19,houston-dash-vs-seatle-reign-fc-2016-09-25,2016-09-25,2016,HOU,3,2,0,0,90,0,0,LCB
0,seatle-reign-fc-vs-sky-blue-fc-2017-04-15,2017-04-15,2017,NJY,1,1,0,2,90,0,0,LCB
1,seatle-reign-fc-vs-houston-dash-2017-04-22,2017-04-22,2017,HOU,5,1,0,0,90,0,0,LCB
2,boston-breakers-vs-seatle-reign-fc-2017-04-29,2017-04-29,2017,BOS,0,3,0,0,90,0,0,LCB
3,portland-thorns-fc-vs-seatle-reign-fc-2017-05-06,2017-05-06,2017,POR,2,2,0,0,90,0,0,LCB
4,seatle-reign-fc-vs-washington-spirit-2017-05-13,2017-05-13,2017,WAS,6,2,0,1,90,0,0,LCB
5,seatle-reign-fc-vs-orlando-pride-2017-05-21,2017-05-21,2017,ORL,1,1,0,0,90,1,0,LCB
6,houston-dash-vs-seatle-reign-fc-2017-05-27,2017-05-27,2017,HOU,2,0,0,0,90,0,0,LCB
7,chicago-red-stars-vs-seatle-reign-fc-2017-06-04,2017-06-04,2017,CHI,0,1,0,0,90,0,0,LCB
8,fc-kansas-city-vs-seatle-reign-fc-2017-06-17,2017-06-17,2017,KC,2,2,0,1,90,0,0,LCB
9,seatle-reign-fc-vs-fc-kansas-city-2017-06-24,2017-06-24,2017,KC,1,1,0,0,4,0,0,LCB
10,seatle-reign-fc-vs-portland-thorns-fc-2017-07-01,2017-07-01,2017,POR,2,0,0,3,90,0,0,LCB
11,north-carolina-courage-vs-seatle-reign-fc-2017-07-08,2017-07-08,2017,NC,0,2,0,0,90,0,0,LCB
12,seatle-reign-fc-vs-boston-breakers-2017-07-15,2017-07-15,2017,BOS,1,1,0,0,90,0,0,LCB
13,seatle-reign-fc-vs-sky-blue-fc-2017-07-22,2017-07-22,2017,NJY,5,4,0,0,90,0,0,LCB
14,north-carolina-courage-vs-seatle-reign-fc-2017-08-05,2017-08-05,2017,NC,0,1,0,0,90,1,0,LCB
15,seatle-reign-fc-vs-north-carolina-courage-2017-08-13,2017-08-13,2017,NC,1,2,0,1,90,0,0,LB
16,chicago-red-stars-vs-seatle-reign-fc-2017-08-16,2017-08-16,2017,CHI,2,1,0,1,90,0,0,LCB
17,sky-blue-fc-vs-seatle-reign-fc-2017-08-19,2017-08-19,2017,NJY,4,5,0,0,7,0,0,
18,seatle-reign-fc-vs-portland-thorns-fc-2017-08-26,2017-08-26,2017,POR,1,2,0,0,90,1,0,LB
19,houston-dash-vs-seatle-reign-fc-2017-09-03,2017-09-03,2017,HOU,1,0,0,0,90,0,0,LCB
20,orlando-pride-vs-seatle-reign-fc-2017-09-07,2017-09-07,2017,ORL,1,1,0,0,90,1,0,LCB
21,washington-spirit-vs-seatle-reign-fc-2017-09-30,2017-09-30,2017,WAS,3,2,0,0,90,0,0,LCB
0,seatle-reign-fc-vs-washington-spirit-2018-03-24,2018-03-24,2018,WAS,2,1,0,0,90,0,0,LCB
1,sky-blue-fc-vs-seatle-reign-fc-2018-04-15,2018-04-15,2018,NJY,1,0,0,0,90,0,0,LCB
2,north-carolina-courage-vs-seatle-reign-fc-2018-04-18,2018-04-18,2018,NC,0,1,0,1,72,0,0,
3,seatle-reign-fc-vs-chicago-red-stars-2018-05-19,2018-05-19,2018,CHI,0,0,0,0,90,0,0,LCB
4,houston-dash-vs-seatle-reign-fc-2018-05-23,2018-05-23,2018,HOU,1,2,0,2,90,0,0,LCB
5,sky-blue-fc-vs-seatle-reign-fc-2018-05-26,2018-05-26,2018,NJY,1,0,0,0,90,0,0,LCB
6,seatle-reign-fc-vs-orlando-pride-2018-06-03,2018-06-03,2018,ORL,0,0,0,0,90,0,0,LCB
7,washington-spirit-vs-seatle-reign-fc-2018-06-16,2018-06-16,2018,WAS,0,0,0,0,77,0,0,LCB
8,seatle-reign-fc-vs-portland-thorns-fc-2018-06-30,2018-06-30,2018,POR,1,0,0,2,90,1,0,LCB
9,seatle-reign-fc-vs-houston-dash-2018-07-07,2018-07-07,2018,HOU,3,1,0,0,90,0,0,LCB
10,seatle-reign-fc-vs-utah-royals-fc-2018-07-11,2018-07-11,2018,UTA,1,0,0,0,90,0,0,LCB
11,chicago-red-stars-vs-seatle-reign-fc-2018-07-14,2018-07-14,2018,CHI,0,1,0,0,90,0,0,LCB
12,orlando-pride-vs-seatle-reign-fc-2018-07-21,2018-07-21,2018,ORL,1,1,0,0,90,1,0,LCB
13,seatle-reign-fc-vs-washington-spirit-2018-08-05,2018-08-05,2018,WAS,2,0,0,0,90,0,0,LCB
14,utah-royals-fc-vs-seatle-reign-fc-2018-08-11,2018-08-11,2018,UTA,1,0,0,0,90,0,0,LCB
15,seatle-reign-fc-vs-chicago-red-stars-2018-08-15,2018-08-15,2018,CHI,0,0,0,0,90,0,0,LCB
