date,scorer,assist
2021-04-09T22:30:00,Rocky Rodriguez,Meghan Klingenberg
2021-04-09T22:30:00,Tyler Lussi,Christen Westphal
2021-04-09T22:30:00,Amy Rodriguez,Victoria Pickett
2021-04-10T15:30:00,Kumi Yokoyama,Dorian Bailey
2021-04-10T15:30:00,Kristen Hamilton,Jessica McDonald
2021-04-10T15:30:00,Jessica McDonald,
2021-04-10T15:30:00,Merritt Mathias,Hailie Mace
2021-04-10T15:30:00,Trinity Rodman,Natalie Ann Jacobs
2021-04-10T19:00:00,CeCe Kizer,Emily Fox
2021-04-10T19:00:00,Taylor Kornieck,Meggie Dougherty Howard
2021-04-10T19:00:00,Abi Kim,Meggie Dougherty Howard
2021-04-10T19:00:00,Brooke Hendrix,Freja Olofsson
2021-04-14T19:00:00,Paige Monaghan,Ifeoma Onumonu
2021-04-15T19:00:00,Ashley Sanchez,Trinity Rodman
2021-04-15T19:30:00,Morgan Weaver,Celeste Boureille
2021-04-20T18:00:00,Midge Purce,Jennifer Cudjoe
2021-04-20T18:00:00,Debinha,Hailie Mace
2021-04-20T18:00:00,Debinha,Jessica McDonald
2021-04-20T18:00:00,Midge Purce,Paige Monaghan
2021-04-20T18:00:00,Carli Lloyd,Imani Dorsey
2021-04-20T18:00:00,Jessica McDonald,Meredith Speck
2021-04-20T18:00:00,Évelyne Viens,Ifeoma Onumonu
2021-04-21T18:30:00,Amy Rodriguez,Abby Smith
2021-04-21T18:30:00,Katie Johnson,Arin Wright
2021-04-21T19:00:00,Sydney Leroux,Alex Morgan
2021-04-21T22:00:00,Lindsey Horan,
2021-04-21T22:00:00,Simone Charley,
2021-04-26T18:00:00,CeCe Kizer,Erin Simon
2021-04-26T18:00:00,Kristen Hamilton,Carson Pickett
2021-04-26T18:00:00,Debinha,Jessica McDonald
2021-04-26T18:00:00,Jorian Baucom,CeCe Kizer
2021-04-26T18:00:00,Julia Ashley (OG),
2021-04-26T20:30:00,Kristie Mewis,
2021-04-26T20:30:00,Rachel Daly,
2021-04-26T20:30:00,Kristie Mewis,Nichelle Prince
2021-04-26T20:30:00,Jennifer Vasconcelos,Lo’eau LaBonta
2021-04-27T22:00:00,Mallory Pugh,Casey Krueger
2021-04-27T22:00:00,Sofia Huerta,Jessica Fishlock
2021-04-27T22:00:00,Leah Pruitt,Tziarra King
2021-04-27T22:00:00,Tziarra King,Shirley Iveth Cruz
2021-04-27T22:00:00,Morgan Gautrat,
2021-05-02T19:30:00,Shea Groom,
2021-05-02T19:30:00,Christine Sinclair,
2021-05-03T20:00:00,Mallory Weber,Victoria Pickett
2021-05-03T20:00:00,Jessica Fishlock,
2021-05-03T20:00:00,Celia,Lauren Barnes
2021-05-08T13:00:00,Christine Sinclair,
2021-05-08T13:00:00,Carli Lloyd,Imani Dorsey
