date,scorer,assist
2018-03-24T15:30:00,Debinha,Denise O'Sullivan
2018-03-24T19:30:00,Gunny Jónsdóttir,Diana Matheson
2018-03-24T19:30:00,Marta,
2018-03-24T22:00:00,Megan Rapinoe,
2018-03-24T22:00:00,Jodie Taylor,Megan Rapinoe
2018-03-24T22:00:00,Joanna Lohman,
2018-03-25T17:00:00,Kimberly Keever,Savannah Jordan
2018-03-25T17:00:00,Taylor Comeau,Danielle Colaprico
2018-03-31T15:00:00,Jessica McDonald,Jaelene Daniels
2018-03-31T15:30:00,Mallory Pugh,Ashley Hatch
2018-03-31T15:30:00,Ashley Hatch,
2018-03-31T20:15:00,Lindsey Horan,
2018-03-31T20:15:00,Alyssa Mautz,Sofia Huerta
2018-03-31T20:15:00,Christine Sinclair,
2018-03-31T20:15:00,Christine Sinclair,
2018-03-31T20:15:00,Alyssa Mautz,Sofia Huerta
2018-04-14T15:30:00,Danielle Colaprico,
2018-04-14T19:00:00,Mallory Pugh,
2018-04-14T19:00:00,Crystal Dunn,Jessica McDonald
2018-04-14T19:00:00,McCall Zerboni,Lynn Williams
2018-04-14T19:00:00,McCall Zerboni,Kristen Hamilton
2018-04-14T19:00:00,Francisca Ordega,Havana Solaun
2018-04-14T19:00:00,Lynn Williams,Crystal Dunn
2018-04-15T17:00:00,Megan Rapinoe,
2018-04-15T18:00:00,Chioma Ubogagu,Christine Nairn
2018-04-15T18:00:00,Lindsey Horan,Christine Sinclair
2018-04-15T18:00:00,Christine Sinclair,Lindsey Horan
2018-04-18T19:00:00,Jessica McDonald,Kristen Hamilton
2018-04-18T19:30:00,Kristie Mewis (OG),
2018-04-18T19:30:00,Lauren Kaskie,
2018-04-18T19:30:00,Sofia Huerta,Danielle Colaprico
2018-04-20T22:30:00,Francisca Ordega,
2018-04-20T22:30:00,Christine Sinclair,
2018-04-21T15:30:00,Merritt Mathias,
2018-04-21T15:30:00,Katie Stengel,
2018-04-21T15:30:00,Brittany Ratcliffe,
2018-04-21T15:30:00,Crystal Dunn,
2018-04-21T20:00:00,Sofia Huerta,Alyssa Mautz
2018-04-21T20:00:00,Savannah McCaskill,Katie Johnson
2018-04-22T17:00:00,Chioma Ubogagu,Christine Nairn
2018-04-28T15:30:00,Crystal Dunn,Jessica McDonald
2018-04-28T15:30:00,Kristen Hamilton,Denise O'Sullivan
2018-04-28T19:00:00,Francisca Ordega,Mallory Pugh
2018-04-28T19:00:00,Alyssa Mautz,
2018-04-28T19:30:00,Allie Long,Megan Montefusco
2018-04-28T19:30:00,Marta,
2018-04-28T21:00:00,Amy Rodriguez,
2018-04-28T21:00:00,Tobin Heath,Christine Sinclair
2018-05-02T19:30:00,Chioma Ubogagu,Sydney Leroux
2018-05-02T19:30:00,Rachel Hill,Emily van Egmond
2018-05-05T15:30:00,Beverly Yanez,Nahomi Kawasumi
2018-05-05T15:30:00,Emily Sonnett,
2018-05-05T15:30:00,Jodie Taylor,
2018-05-05T15:30:00,Lindsey Horan,Meghan Klingenberg
2018-05-05T15:30:00,Rumi Utsugi,Steph Catley
2018-05-05T19:00:00,Nichelle Prince,Lindsay Agnew
2018-05-05T19:00:00,Katie Johnson,Shea Groom
2018-05-05T19:00:00,Rachel Daly,Kealia Ohai Watt
2018-05-05T19:00:00,Katie Johnson,Sarah Woldmoe
2018-05-05T19:00:00,Veronica Latsko,Thembi Kgatlana
2018-05-05T21:00:00,Kelley O'Hara,Amy Rodriguez
2018-05-05T21:00:00,Diana Matheson,
2018-05-06T15:00:00,Sam Kerr,
2018-05-06T15:00:00,McCall Zerboni,Abby Erceg
2018-05-09T20:00:00,Ana-Maria Crnogorcevic,Christine Sinclair
2018-05-09T20:00:00,Kyah Simon,Veronica Latsko
2018-05-12T15:30:00,Alex Morgan,
2018-05-12T15:30:00,Christine Nairn,
2018-05-12T15:30:00,Christine Sinclair,Tobin Heath
2018-05-12T19:00:00,Abby Erceg,Jaelene Daniels
2018-05-12T20:00:00,Rachel Daly,Nichelle Prince
2018-05-12T20:00:00,Sam Kerr,Arin Wright
2018-05-12T20:00:00,Kristie Mewis,Kyah Simon
