date,scorer,assist
2020-09-05T13:00:00,Ifeoma Onumonu,
2020-09-05T13:00:00,Paige Nielsen,
2020-09-05T13:00:00,Midge Purce,Mallory Pugh
2020-09-12T12:00:00,Sarah Luebbert,Kealia Ohai Watt
2020-09-12T12:00:00,Bayley Feist,
2020-09-12T12:00:00,Jessie Scarpa,Crystal Thomas
2020-09-12T15:30:00,Abby Dahlkemper,
2020-09-12T15:30:00,Veronica Latsko,Shea Groom
2020-09-12T15:30:00,Kristie Mewis,Shea Groom
2020-09-12T15:30:00,Debinha,Lynn Williams
2020-09-12T15:30:00,Sophie Schmidt,Katie Stengel
2020-09-12T15:30:00,Lynn Williams,Rylee Baisden
2020-09-12T15:30:00,Debinha,Meredith Speck
2020-09-20T13:00:00,Ifeoma Onumonu,
2020-09-20T13:00:00,Kealia Ohai Watt,Vanessa DiBernardo
2020-09-20T13:00:00,Zoey Goralski,Morgan Gautrat
2020-09-20T13:00:00,Vanessa DiBernardo,Kealia Ohai Watt
2020-09-20T13:00:00,Kealia Ohai Watt,Sarah Luebbert
2020-09-20T15:00:00,Simone Charley,Lindsey Horan
2020-09-20T15:00:00,Sophia Smith,Meghan Klingenberg
2020-09-20T15:00:00,Lindsey Horan,
2020-09-26T13:00:00,Savannah McCaskill,Sarah Luebbert
2020-09-26T13:00:00,Crystal Thomas,
2020-09-26T15:30:00,Aminata Diallo,
2020-09-26T15:30:00,Tziarra King,Brittany Ratcliffe
2020-09-26T15:30:00,Bethany Balcer,Stephanie Cox
2020-09-26T15:30:00,Rosie White,Jasmyne Spencer
2020-09-26T20:30:00,Nichelle Prince,Sophie Schmidt
2020-09-26T20:30:00,Marisa Viggiano,Chelsee Washington
2020-09-26T20:30:00,Sophie Schmidt,
2020-09-26T20:30:00,Shea Groom,
2020-09-30T22:00:00,Christine Sinclair,Lindsey Horan
2020-09-30T22:00:00,Christine Sinclair,
2020-09-30T22:00:00,Rocky Rodriguez,
2020-09-30T22:00:00,Bethany Balcer,Shirley Iveth Cruz
2020-09-30T22:00:00,Christine Sinclair,Lindsey Horan
2020-10-03T12:30:00,Kumi Yokoyama,
2020-10-03T22:00:00,Amy Rodriguez,
2020-10-03T22:00:00,Christine Sinclair,
2020-10-04T19:00:00,Sophie Schmidt,Kristie Mewis
2020-10-04T19:00:00,Veronica Latsko,Kristie Mewis
2020-10-04T19:00:00,Kristie Mewis,Veronica Latsko
2020-10-04T19:00:00,Lynn Williams,Ryan Williams
2020-10-04T19:00:00,Shea Groom,Kristie Mewis
2020-10-09T17:00:00,Shea Groom,Kristie Mewis
2020-10-09T17:00:00,Veronica Latsko,Kristie Mewis
2020-10-09T17:00:00,Sydney Leroux,Abby Elinsky
2020-10-10T12:30:00,Paige Monaghan,Midge Purce
2020-10-10T12:30:00,Ifeoma Onumonu,Paige Monaghan
2020-10-10T12:30:00,Paige Monaghan,Midge Purce
2020-10-10T12:30:00,Morgan Gautrat,Tierna Davidson
2020-10-10T20:00:00,Christine Sinclair,
2020-10-10T20:00:00,Amber Brooks,Shirley Iveth Cruz
2020-10-10T20:00:00,Christine Sinclair,
2020-10-17T16:00:00,Debinha,Lauren Milliet
2020-10-17T16:00:00,Lynn Williams,Debinha
2020-10-17T16:00:00,Debinha,Meredith Speck
2020-10-17T16:00:00,Marisa Viggiano,
2020-10-17T16:00:00,Kristen Edmonds,Carrie Lawrence
2020-10-17T16:00:00,Ally Haran,Marta
2020-10-17T20:00:00,Sofia Huerta,Shirley Iveth Cruz
2020-10-17T20:00:00,Leah Pruitt,Bethany Balcer
