date,scorer,assist
2022-03-18T19:30:00,CeCe Kizer,Jessica McDonald
2022-03-18T19:30:00,Addie McCain,Lynn Williams
2022-03-18T22:00:00,Sofia Huerta,Angelina
2022-03-18T22:00:00,Christine Sinclair,
2022-03-19T19:00:00,Brianna Pinto,Carson Pickett
2022-03-19T19:00:00,Abby Erceg,Malia Berkely
2022-03-19T21:00:00,Savannah McCaskill,Ali Riley
2022-03-19T21:00:00,Kaleigh Riehl,Marleen Schimmer
2022-03-20T19:00:00,Katie Naughton,
2022-03-20T19:00:00,Mallory Pugh,
2022-03-20T19:00:00,Arin Wright,
2022-03-20T19:00:00,Mallory Pugh,Danielle Colaprico
2022-03-25T19:30:00,Kristie Mewis,
2022-03-25T19:30:00,Ashley Hatch,
2022-03-25T19:30:00,Kirsten Davis,
2022-03-25T19:30:00,Jessica McDonald,
2022-03-25T19:30:00,Maria Sánchez,
2022-03-25T19:30:00,Marisa Viggiano,Maria Sánchez
2022-03-25T19:30:00,Rachel Daly,
2022-03-25T20:30:00,Vanessa DiBernardo,
2022-03-25T20:30:00,Hailie Mace,Lo’eau LaBonta
2022-03-25T20:30:00,Kristen Hamilton,Hailie Mace
2022-03-26T16:00:00,Veronica Latsko,Rose Lavelle
2022-03-26T16:00:00,Alana Cook,Angelina
2022-03-26T16:00:00,Angelina,Veronica Latsko
2022-03-26T16:00:00,Tyler Lussi,Simone Charley
2022-03-26T19:00:00,Merritt Mathias,
2022-03-26T22:00:00,Sophia Smith,Natalia Kuikka
2022-03-30T19:00:00,Midge Purce,Ellie Jean
2022-03-30T19:30:00,Debinha,
2022-03-30T19:30:00,Taylor Smith,Carson Pickett
2022-03-30T19:30:00,Trinity Rodman,Andi Sullivan
2022-03-30T19:30:00,Ashley Hatch,Julia Roddar
2022-03-30T20:30:00,Taylor Leach,Hailie Mace
2022-03-30T20:30:00,Kristen Hamilton,Elyse Bennett
2022-03-30T20:30:00,Lo’eau LaBonta,Elyse Bennett
2022-03-30T22:00:00,Sophia Smith,Natalie Beckman
2022-03-30T22:00:00,Yazmeen Ryan,
2022-03-30T22:00:00,Morgan Weaver,Madison Pogarch
2022-04-02T15:00:00,Hailie Mace (OG),
2022-04-02T15:00:00,Lauren Milliet,
2022-04-02T15:00:00,Gemma Bonner,Emina Ekic
2022-04-02T16:00:00,Jodie Taylor,
2022-04-02T16:00:00,Tegan Ann McGrady (OG),
2022-04-02T16:00:00,Alex Morgan,
2022-04-02T16:00:00,Christen Press,
2022-04-02T16:00:00,Alex Morgan,Christen Westphal
2022-04-02T16:00:00,Amirah Ali,Belle Briede
2022-04-02T20:00:00,Mallory Pugh,Vanessa DiBernardo
2022-04-02T20:00:00,Mallory Pugh,Bianca St-Georges
2022-04-02T22:00:00,Rose Lavelle,Jessica Fishlock
2022-04-03T15:00:00,Debinha,
2022-04-03T15:00:00,Ifeoma Onumonu,Kristie Mewis
2022-04-03T16:00:00,Ashley Sanchez,Trinity Rodman
2022-04-03T16:00:00,Andi Sullivan,Trinity Rodman
