p1,p2,combos,p1g,p1a,p2g,p2a,p1g_p2a,p2g_p1a,goals
Diana Ordóñez,Carson Pickett,4,11,0,1,6,4,0,12
Alex Morgan,Taylor Kornieck,3,15,2,3,3,3,0,18
Debinha,Kerolin,3,12,4,6,4,2,1,18
Sophia Smith,Olivia Lynn Moultrie,3,14,3,3,4,2,1,17
Mallory Pugh,Yuki Nagasato,3,11,6,3,3,1,2,14
Mallory Pugh,Bianca St-Georges,3,11,6,2,2,2,1,13
Mallory Pugh,Ava Cook,3,11,6,2,3,2,1,13
Bethany Balcer,Jessica Fishlock,3,7,1,4,2,2,1,11
Nadia Nadim,Jessica McDonald,3,6,0,3,4,3,0,9
Midge Purce,Ifeoma Onumonu,3,3,3,2,2,1,2,5
McCall Zerboni,Kristie Mewis,3,3,0,2,3,3,0,5
Sophia Smith,Morgan Weaver,2,14,3,7,3,1,1,21
Alex Morgan,Sofia Jakobsson,2,15,2,1,3,2,0,16
Debinha,Theresa Boade,2,12,4,2,1,1,1,14
Mallory Pugh,Amanda Kowalski,2,11,6,3,0,0,2,14
Ashley Hatch,Trinity Rodman,2,9,0,4,2,2,0,13
Lo’eau LaBonta,Kristen Hamilton,2,7,4,6,2,0,2,13
Ashley Hatch,Ashley Sanchez,2,9,0,3,5,2,0,12
Megan Rapinoe,Rose Lavelle,2,7,4,5,1,0,2,12
Morgan Weaver,Hina Sugita,2,7,3,5,4,2,0,12
Ebony Salmon,Shea Groom,2,9,0,1,4,2,0,10
Ebony Salmon,Natalie Ann Jacobs,2,9,0,0,3,2,0,9
Megan Rapinoe,Jordyn Huitema,2,7,4,2,2,2,0,9
Nichelle Prince,Rachel Daly,2,5,3,4,1,0,2,9
Savannah McCaskill,Jun Endo,2,7,2,1,3,1,1,8
CeCe Kizer,Alexis Loera,2,7,3,0,3,2,0,7
Trinity Rodman,Ashley Sanchez,2,4,2,3,5,2,0,7
Sophie Schmidt,Marisa Viggiano,2,3,1,2,2,1,1,5
Makenzy Doniak,Amirah Ali,2,3,3,2,1,0,2,5
Jessica McDonald,Lauren Milliet,2,3,4,1,1,1,1,4
Maria Sánchez,Shea Groom,2,2,4,1,4,1,1,3
Sarah Griffith,Vanessa DiBernardo,2,2,1,1,3,2,0,3
Debinha,Diana Ordóñez,1,12,4,11,0,0,1,23
Sophia Smith,Hina Sugita,1,14,3,5,4,1,0,19
Alex Morgan,Makenzy Doniak,1,15,2,3,3,0,1,18
Alex Morgan,Kristen McNabb,1,15,2,2,0,0,1,17
Sophia Smith,Yazmeen Ryan,1,14,3,2,5,1,0,16
Alex Morgan,Kailen Sheridan,1,15,2,0,1,1,0,15
Alex Morgan,Emily van Egmond,1,15,2,0,2,1,0,15
Sophia Smith,Natalia Kuikka,1,14,3,1,2,1,0,15
Sophia Smith,Kelli Hubly,1,14,3,1,0,0,1,15
Sophia Smith,Becky Sauerbrunn,1,14,3,1,1,1,0,15
Debinha,Kaleigh Kurtz,1,12,4,3,1,0,1,15
Sophia Smith,Meghan Klingenberg,1,14,3,0,2,1,0,14
Debinha,Taylor Smith,1,12,4,2,2,1,0,14
Ebony Salmon,Nichelle Prince,1,9,0,5,3,1,0,14
Lo’eau LaBonta,CeCe Kizer,1,7,4,7,3,0,1,14
Megan Rapinoe,Bethany Balcer,1,7,4,7,1,0,1,14
Debinha,Carson Pickett,1,12,4,1,6,1,0,13
Diana Ordóñez,Fuka Nagano,1,11,0,2,1,1,0,13
CeCe Kizer,Kristen Hamilton,1,7,3,6,2,1,0,13
Debinha,Emily Gray,1,12,4,0,2,1,0,12
Debinha,Ryan Williams,1,12,4,0,3,1,0,12
Mallory Pugh,Samantha Fisher,1,11,6,1,1,1,0,12
Mallory Pugh,Sarah Luebbert,1,11,6,1,1,1,0,12
Diana Ordóñez,Meredith Speck,1,11,0,1,2,1,0,12
Mallory Pugh,Zoe Morse,1,11,6,0,1,1,0,11
Diana Ordóñez,Emily Gray,1,11,0,0,2,1,0,11
Diana Ordóñez,Merritt Mathias,1,11,0,0,3,1,0,11
Diana Ordóñez,Ryan Williams,1,11,0,0,3,1,0,11
Megan Rapinoe,Jessica Fishlock,1,7,4,4,2,0,1,11
CeCe Kizer,Hailie Mace,1,7,3,4,2,0,1,11
Ashley Hatch,Jordan Baggett,1,9,0,1,1,1,0,10
Lo’eau LaBonta,Elyse Bennett,1,7,4,3,2,0,1,10
Savannah McCaskill,Claire Emslie,1,7,2,3,0,0,1,10
CeCe Kizer,Elyse Bennett,1,7,3,3,2,1,0,10
CeCe Kizer,Jessica McDonald,1,7,3,3,4,0,1,10
Kristen Hamilton,Hailie Mace,1,6,2,4,2,1,0,10
Hina Sugita,Christine Sinclair,1,5,4,5,0,0,1,10
Ashley Hatch,Anna Heilferty,1,9,0,0,2,1,0,9
Ebony Salmon,Ryan Gareis,1,9,0,0,2,1,0,9
Morgan Weaver,Yazmeen Ryan,1,7,3,2,5,0,1,9
Savannah McCaskill,Christen Press,1,7,2,2,1,1,0,9
CeCe Kizer,Claire Marie Annie Lavogez,1,7,3,2,1,1,0,9
Kerolin,Kaleigh Kurtz,1,6,4,3,1,1,0,9
Kristen Hamilton,Elyse Bennett,1,6,2,3,2,1,0,9
Rose Lavelle,Jessica Fishlock,1,5,1,4,2,0,1,9
Megan Rapinoe,Sofia Huerta,1,7,4,1,4,1,0,8
Morgan Weaver,Marissa Everett,1,7,3,1,0,0,1,8
Morgan Weaver,Samantha Grace Coffey,1,7,3,1,2,1,0,8
CeCe Kizer,Emily Fox,1,7,3,1,1,0,1,8
Bethany Balcer,Sofia Huerta,1,7,1,1,4,1,0,8
Nadia Nadim,Kirsten Davis,1,6,0,2,1,1,0,8
Kerolin,Theresa Boade,1,6,4,2,1,0,1,8
Kristen Hamilton,Claire Marie Annie Lavogez,1,6,2,2,1,0,1,8
Hina Sugita,Olivia Lynn Moultrie,1,5,4,3,4,1,0,8
Megan Rapinoe,Kim Little,1,7,4,0,1,1,0,7
Lo’eau LaBonta,Kate Del Fava,1,7,4,0,2,1,0,7
Kerolin,Brianna Pinto,1,6,4,1,2,1,0,7
Kerolin,Denise O'Sullivan,1,6,4,1,2,1,0,7
Kerolin,Rylee Baisden,1,6,4,1,0,0,1,7
Nichelle Prince,Marisa Viggiano,1,5,3,2,2,1,0,7
Nichelle Prince,Maria Sánchez,1,5,3,2,4,1,0,7
Hina Sugita,Yazmeen Ryan,1,5,4,2,5,1,0,7
Savannah Marie DeMelo,Jessica McDonald,1,4,2,3,4,0,1,7
Cari Roccaro,Claire Emslie,1,4,1,3,0,0,1,7
Ella Stevens,Yuki Nagasato,1,4,1,3,3,1,0,7
Hailie Mace,Elyse Bennett,1,4,2,3,2,0,1,7
Kristen Hamilton,Kate Del Fava,1,6,2,0,2,1,0,6
Kristen Hamilton,Isabel Rodriguez,1,6,2,0,1,1,0,6
Kerolin,Merritt Mathias,1,6,4,0,3,1,0,6
Rose Lavelle,Sofia Huerta,1,5,1,1,4,1,0,6
Christine Sinclair,Samantha Grace Coffey,1,5,0,1,2,1,0,6
Rachel Daly,Maria Sánchez,1,4,1,2,4,1,0,6
Cari Roccaro,Ali Riley,1,4,1,2,2,1,0,6
Jessica Fishlock,Tziarra King,1,4,2,2,1,1,0,6
Ella Stevens,Sarah Griffith,1,4,1,2,1,1,0,6
Ashley Sanchez,Tara McKeown,1,3,5,3,1,0,1,6
Christine Sinclair,Janine Beckie,1,5,0,0,2,1,0,5
Hina Sugita,Janine Beckie,1,5,4,0,2,1,0,5
Hina Sugita,Meghan Klingenberg,1,5,4,0,2,1,0,5
Rachel Daly,Bri Visalli,1,4,1,1,0,0,1,5
Savannah Marie DeMelo,Gemma Bonner,1,4,2,1,0,0,1,5
Ella Stevens,Danielle Colaprico,1,4,1,1,3,1,0,5
Ella Stevens,Sarah Luebbert,1,4,1,1,1,0,1,5
Midge Purce,Kristie Mewis,1,3,3,2,3,0,1,5
Meggie Dougherty Howard,Julie Doyle,1,3,2,2,0,0,1,5
Taylor Kornieck,Amirah Ali,1,3,3,2,1,1,0,5
Taylor Porter,Yazmeen Ryan,1,3,0,2,5,1,0,5
Yuki Nagasato,Ava Cook,1,3,3,2,3,0,1,5
Olivia Lynn Moultrie,Yazmeen Ryan,1,3,4,2,5,1,0,5
Paige Monaghan,Taylor Smith,1,3,0,2,2,1,0,5
Claire Emslie,Ali Riley,1,3,0,2,2,1,0,5
Trinity Rodman,Audrey Harding,1,4,2,0,1,1,0,4
Savannah Marie DeMelo,Shuang Wang,1,4,2,0,1,1,0,4
Cari Roccaro,Paige Nielsen,1,4,1,0,1,1,0,4
Hailie Mace,Kristen Edmonds,1,4,2,0,1,1,0,4
Meggie Dougherty Howard,Leah Pruitt,1,3,2,1,1,1,0,4
Meggie Dougherty Howard,Ally Watt,1,3,2,1,0,0,1,4
Makenzy Doniak,Sofia Jakobsson,1,3,3,1,3,0,1,4
Tara McKeown,Jordan Baggett,1,3,1,1,1,0,1,4
Olivia Lynn Moultrie,Natalia Kuikka,1,3,4,1,2,0,1,4
Amanda Kowalski,Danielle Colaprico,1,3,0,1,3,1,0,4
Jaedyn Reese Shaw,Sofia Jakobsson,1,3,0,1,3,1,0,4
Kaleigh Kurtz,Brianna Pinto,1,3,1,1,2,1,0,4
Yuki Nagasato,Vanessa DiBernardo,1,3,3,1,3,1,0,4
Maria Sánchez,Elizabeth Eddy,1,2,4,2,0,0,1,4
Sydney Leroux,Gunny Jónsdóttir,1,2,1,2,0,0,1,4
Yazmeen Ryan,Rocky Rodriguez,1,2,5,2,0,0,1,4
Ifeoma Onumonu,Taylor Smith,1,2,2,2,2,0,1,4
