date,half,min,sec,x,y,player,team
2022-04-29,1,2,18,96.6,48.7,Vanessa Gilles,LA
2022-04-29,1,12,39,90.2,64.9,Jun Endo,LA
2022-04-29,2,50,17,94.0,52.4,Debinha,NC
2022-04-30,1,7,14,94.8,45.5,Morgan Weaver,POR
2022-04-30,1,33,36,95.9,54.0,Christine Sinclair,POR
2022-04-30,2,50,39,85.9,27.7,Sophia Smith,POR
2022-04-30,1,1,7,93.5,49.5,Ella Stevens,CHI
2022-04-30,1,10,35,90.2,63.5,Emily Fox,LOU
2022-04-30,1,25,11,98.9,46.0,Bianca St-Georges,CHI
2022-05-01,1,13,52,78.9,51.3,Ashley Sanchez,WAS
2022-05-01,2,52,13,96.3,45.4,Rose Lavelle,RGN
2022-05-01,2,65,54,97.3,42.3,Ashley Hatch,WAS
2022-05-01,2,85,57,95.5,47.0,Jodie Taylor,SD
2022-05-01,1,28,5,96.4,50.1,McCall Zerboni,NJY
2022-05-01,1,29,51,91.3,66.8,Midge Purce,NJY
2022-05-01,1,40,3,92.2,63.3,Kristie Mewis,NJY
2022-05-07,1,45,56,88.5,50.0,Alex Morgan,SD
2022-05-07,2,65,43,88.5,50.0,Alex Morgan,SD
2022-05-07,2,69,2,92.3,37.3,Alex Morgan,SD
2022-05-07,2,90,40,92.5,62.3,Alex Morgan,SD
2022-05-08,1,39,17,88.5,50.0,Rachel Daly,HOU
2022-05-08,2,95,53,90.0,46.6,Bri Visalli,HOU
2022-05-08,1,22,17,85.0,55.5,Jessica McDonald,LOU
2022-05-08,1,32,11,92.7,53.6,Tziarra King,RGN
2022-05-08,1,36,8,97.0,53.6,Tziarra King,RGN
2022-05-08,2,59,18,1.8,50.9,Bethany Balcer,RGN
2022-05-08,1,2,8,96.3,55.3,Sydney Leroux,ORL
2022-05-14,2,50,23,91.8,54.9,Gunny Jónsdóttir,ORL
2022-05-14,2,77,9,94.8,45.1,Elyse Bennett,KC
2022-05-14,2,90,12,92.5,53.4,Kristen Hamilton,KC
2022-05-14,2,95,7,88.5,50.0,Toni Pressley,ORL
2022-05-14,2,76,11,95.9,57.3,Nichelle Prince,HOU
2022-05-14,2,81,36,89.0,53.2,Jessica McDonald,LOU
2022-05-15,1,41,48,84.7,64.0,Christen Press,LA
2022-05-15,2,55,13,88.5,50.0,Alex Morgan,SD
2022-05-15,2,88,19,93.5,52.0,Kaleigh Riehl,SD
2022-05-15,2,89,21,77.4,45.4,Ava Cook,CHI
2022-05-18,1,3,51,93.7,57.7,Sydney Leroux,ORL
2022-05-18,1,43,31,89.9,53.0,Mikayla Cluff,ORL
2022-05-18,2,85,17,86.8,30.2,Brianna Pinto,NC
2022-05-18,1,26,10,71.8,50.9,Savannah Marie DeMelo,LOU
2022-05-18,2,56,28,87.8,28.1,Sophia Smith,POR
2022-05-18,2,62,16,93.3,49.9,Ashley Hatch,WAS
2022-05-21,1,47,32,92.0,57.2,Rachel Daly,HOU
2022-05-21,2,65,13,95.1,32.2,Sophie Schmidt,HOU
2022-05-21,2,69,54,2.7,52.2,Taylor Leach,KC
2022-05-22,1,40,56,84.7,54.2,Alex Morgan,SD
2022-05-22,1,12,34,90.7,41.2,Lauren Milliet,LOU
2022-05-22,1,10,2,97.4,49.9,Sarah Griffith,CHI
2022-05-22,2,53,15,93.5,28.1,Bianca St-Georges,CHI
2022-05-22,2,63,3,81.6,47.2,Mallory Pugh,CHI
2022-05-22,2,82,42,93.2,41.7,,ORL
2022-05-22,2,85,19,93.0,49.3,Mallory Pugh,CHI
2022-05-22,2,86,17,97.0,39.4,Leah Pruitt,ORL
2022-05-25,2,79,7,91.2,57.9,Bethany Balcer,RGN
2022-05-27,1,18,54,80.8,26.2,Trinity Rodman,WAS
2022-05-27,2,65,37,81.9,52.8,Ashley Hatch,WAS
2022-05-27,2,94,49,91.8,47.8,Mikayla Cluff,ORL
2022-05-27,2,97,53,88.8,63.6,Darian Jenkins,ORL
2022-05-28,1,4,29,86.2,58.9,Mallory Pugh,CHI
2022-05-28,1,6,31,96.9,66.7,Hina Sugita,POR
2022-05-28,1,19,10,87.5,58.8,Rachel Hill,CHI
2022-05-28,2,46,44,91.5,48.9,Sophia Smith,POR
2022-05-29,2,74,23,88.8,43.6,Rose Lavelle,RGN
2022-05-29,1,23,43,87.4,47.0,Diana Ordóñez,NC
2022-05-29,1,50,18,91.5,41.2,Rachel Daly,HOU
2022-05-29,2,56,33,88.3,37.7,Ifeoma Onumonu,NJY
2022-05-30,1,2,33,88.5,50.0,Lo’eau LaBonta,KC
2022-06-01,1,9,6,96.0,51.6,Ella Stevens,CHI
2022-06-01,2,85,40,95.3,43.9,Sam Staab,WAS
2022-06-03,1,26,43,90.5,32.0,Nichelle Prince,HOU
2022-06-03,1,31,46,86.5,53.5,Rachel Daly,HOU
2022-06-03,1,38,15,90.8,75.3,Nichelle Prince,HOU
2022-06-03,2,48,9,91.5,66.2,Nichelle Prince,HOU
2022-06-03,2,86,8,91.9,38.3,Michelle Alozie,HOU
2022-06-03,1,14,33,90.3,52.4,Kelli Hubly,POR
2022-06-03,1,17,33,89.9,57.7,Christine Sinclair,POR
2022-06-03,2,67,2,96.0,43.9,Christine Sinclair,POR
2022-06-04,2,46,5,91.6,39.8,Mallory Pugh,CHI
2022-06-04,1,20,8,98.2,45.2,Midge Purce,NJY
2022-06-04,1,3,13,91.0,40.9,Kaleigh Kurtz,NC
2022-06-04,1,45,10,93.9,55.3,Diana Ordóñez,NC
2022-06-04,2,90,33,91.5,60.0,Debinha,NC
2022-06-04,1,10,20,95.8,50.9,Kristen Hamilton,KC
2022-06-04,1,36,5,88.5,50.0,Alex Morgan,SD
2022-06-04,2,62,16,95.4,49.0,Elyse Bennett,KC
2022-06-04,2,89,4,97.4,55.0,Alex Morgan,SD
2022-06-08,1,21,57,88.5,50.0,Sophia Smith,POR
2022-06-08,2,45,21,89.8,48.8,Christine Sinclair,POR
2022-06-08,2,80,35,94.7,50.3,Taylor Kornieck,SD
2022-06-08,2,87,15,94.5,53.3,Taylor Kornieck,SD
2022-06-11,1,5,34,87.9,63.6,Kerolin,NC
2022-06-11,2,50,0,96.7,49.6,Abby Erceg,NC
2022-06-11,2,73,58,88.6,44.3,Ashley Sanchez,WAS
2022-06-11,2,78,45,88.5,50.0,Ashley Hatch,WAS
2022-06-11,2,91,24,98.1,51.4,Kaleigh Kurtz,NC
2022-06-11,1,28,13,93.6,46.8,Gemma Bonner,LOU
2022-06-11,1,35,21,91.3,41.9,Christen Press,LA
2022-06-11,2,46,8,97.7,52.4,Savannah McCaskill,LA
2022-06-11,2,64,47,88.5,50.0,Nadia Nadim,LOU
2022-06-11,2,92,40,88.5,50.0,Savannah McCaskill,LA
2022-06-11,2,83,18,85.0,49.7,Kristen Hamilton,KC
2022-06-12,1,7,11,87.6,57.1,Alex Morgan,SD
2022-06-12,1,37,10,87.6,54.6,Jessica Fishlock,RGN
2022-06-12,1,9,47,78.6,50.3,Mallory Pugh,CHI
2022-06-12,1,0,41,8.8,43.1,Katie Naughton,HOU
2022-06-12,1,22,31,88.5,50.0,Sophia Smith,POR
2022-06-12,2,73,52,91.8,46.0,Olivia Lynn Moultrie,POR
2022-06-12,2,82,0,93.3,38.1,Sophia Smith,POR
2022-06-17,1,33,21,90.3,32.4,Trinity Rodman,WAS
2022-06-17,1,42,15,96.3,58.5,Madison Elwell,WAS
2022-06-17,2,65,6,89.3,40.3,Nadia Nadim,LOU
2022-06-17,2,87,59,96.2,52.8,Nadia Nadim,LOU
2022-06-18,1,7,37,92.5,50.9,Kristen Hamilton,KC
2022-06-18,2,52,8,93.3,43.9,Amanda Kowalski,CHI
2022-06-18,2,58,0,88.5,50.0,Mallory Pugh,CHI
2022-06-18,2,67,24,82.3,68.1,CeCe Kizer,KC
2022-06-18,1,30,16,92.0,57.1,Bethany Balcer,RGN
2022-06-19,1,20,30,91.0,53.1,Hina Sugita,POR
2022-06-19,1,24,30,96.2,54.0,Becky Sauerbrunn,POR
2022-06-19,2,62,10,77.9,48.5,Sophia Smith,POR
2022-06-19,2,78,32,90.9,60.4,Natalia Kuikka,POR
2022-06-19,2,85,49,79.9,46.2,Sophia Smith,POR
2022-06-19,2,90,34,87.8,52.5,Taylor Porter,POR
2022-06-19,1,19,0,91.9,39.0,Alex Morgan,SD
2022-06-19,1,42,18,98.0,46.6,Alex Morgan,SD
2022-06-19,2,68,3,88.8,48.5,Makenzy Doniak,SD
2022-06-19,1,5,20,76.7,53.8,Denise O'Sullivan,NC
2022-06-19,1,14,47,85.1,58.2,Maria Sánchez,HOU
2022-06-19,2,46,46,92.4,54.2,Elizabeth Eddy,HOU
2022-06-19,2,49,30,92.4,67.0,Elizabeth Eddy,HOU
2022-06-19,2,50,53,85.5,67.2,Nichelle Prince,HOU
2022-06-19,2,56,26,91.6,39.1,Diana Ordóñez,NC
2022-06-19,2,58,2,86.9,54.5,Debinha,NC
2022-07-01,1,42,50,88.5,50.0,Lo’eau LaBonta,KC
