Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2013-04-14,Sun,NWSL,Regular Season,Away,D 1–1,Reign,Red Stars,Y,,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,Match Report
2013-04-21,Sun,NWSL,Regular Season,Away,L 1–2,Reign,Thorns,Y,,84,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
2013-04-26,Fri,NWSL,Regular Season,Away,L 0–2,Reign,Kansas City,Y,,78,0,0,0,0,1,1,0,0,0,1,1,0,,,,,,Match Report
2013-05-04,Sat,NWSL,Regular Season,Home,L 0–1,Reign,Kansas City,Y,,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,Match Report
2013-05-11,Sat,NWSL,Regular Season,Away,L 0–2,Reign,Sky Blue,Y,,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
2013-05-16,Thu,NWSL,Regular Season,Home,L 2–4,Reign,Spirit,Y,,90,0,0,0,0,0,0,0,0,4,1,0,0,,,,,,Match Report
2013-05-19,Sun,NWSL,Regular Season,Home,L 0–3,Reign,Sky Blue,Y,,90,0,0,0,0,2,1,0,0,0,1,0,0,,,,,,Match Report
2013-05-25,Sat,NWSL,Regular Season,Home,L 0–1,Reign,Thorns,Y,,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
2013-06-09,Sun,NWSL,Regular Season,Home,L 0–1,Reign,Kansas City,Y,,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
2013-06-16,Sun,NWSL,Regular Season,Away,L 0–2,Reign,Thorns,Y,,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Match Report
2013-06-23,Sun,NWSL,Regular Season,Away,D 1–1,Reign,Flash,Y,,90,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,Match Report
2013-06-26,Wed,NWSL,Regular Season,Away,W 2–1,Reign,Boston,Y,,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
2013-06-29,Sat,NWSL,Regular Season,Home,W 3–1,Reign,Red Stars,Y,,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
2013-07-03,Wed,NWSL,Regular Season,Home,D 1–1,Reign,Boston,Y,,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Match Report
2013-07-11,Thu,NWSL,Regular Season,Home,W 3–2,Reign,Flash,Y,,90,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Match Report
2013-07-14,Sun,NWSL,Regular Season,Home,W 2–1,Reign,Spirit,Y,,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
2013-07-20,Sat,NWSL,Regular Season,Away,L 0–2,Reign,Kansas City,Y,,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
2013-07-25,Thu,NWSL,Regular Season,Home,W 4–1,Reign,Red Stars,Y,,90,0,0,0,0,0,0,0,0,1,2,0,0,,,,,,Match Report
2013-08-03,Sat,NWSL,Regular Season,Away,L 1–3,Reign,Red Stars,Y,,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,Match Report
2013-08-07,Wed,NWSL,Regular Season,Away,L 0–1,Reign,Flash,Y,,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
2013-08-10,Sat,NWSL,Regular Season,Away,L 0–1,Reign,Spirit,Y,,90,0,0,,,0,0,0,0,1,0,0,,,,,,,Match Report
2013-08-17,Sat,NWSL,Regular Season,Home,L 1–2,Reign,Thorns,Y,,90,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,Match Report
