year,team_abbreviation
2016,BOS
2017,BOS
2016,CHI
2017,CHI
2018,CHI
2019,CHI
2021,CHI
2022,CHI
2023,CHI
2016,KC
2017,KC
2016,HOU
2017,HOU
2018,HOU
2019,HOU
2021,HOU
2022,HOU
2023,HOU
2016,NJY
2017,NJY
2018,NJY
2019,NJY
2021,NJY
2022,NJY
2023,NJY
2016,RGN
2017,RGN
2018,RGN
2019,RGN
2021,RGN
2022,RGN
2023,RGN
2016,ORL
2017,ORL
2018,ORL
2019,ORL
2021,ORL
2022,ORL
2023,ORL
2016,POR
2017,POR
2018,POR
2019,POR
2021,POR
2022,POR
2023,POR
2016,WAS
2017,WAS
2018,WAS
2019,WAS
2021,WAS
2022,WAS
2023,WAS
2016,WNY
2017,NC
2018,NC
2019,NC
2021,NC
2022,NC
2023,NC
2018,UTA
2019,UTA
2021,KCC
2022,KCC
2023,KCC
2021,LOU
2022,LOU
2023,LOU
2022,LA
2023,LA
2022,SD
2023,SD
