,Japan-Nigeria,Brazil-Spain,Zambia-Germany,Australia-United States,New Zealand-France,Colombia-Canada,Colombia,France,Canada,New Zealand,United States,Germany,Australia,Zambia,Spain,Japan,Brazil,Nigeria
0,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
1,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
2,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
3,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 0)",True,False,False,True,True,True,True,False,True,True,True,False
4,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(8, 0)","(8, 0)",True,False,False,True,True,True,True,False,True,True,True,False
5,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 8)",False,False,True,True,True,True,True,False,True,True,True,False
6,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
7,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
8,"(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
9,"(0, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
10,"(0, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
11,"(0, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
12,"(0, 0)","(0, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 0)",True,False,False,True,True,True,True,False,True,True,True,False
13,"(0, 0)","(0, 0)","(0, 0)","(8, 0)","(8, 0)","(8, 0)",True,False,False,True,True,True,True,False,True,True,True,False
14,"(0, 0)","(0, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 8)",False,False,True,True,True,True,True,False,True,True,True,False
15,"(0, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
16,"(0, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
17,"(0, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
18,"(0, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
19,"(0, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
20,"(0, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 8)",True,True,True,False,True,True,False,False,True,True,True,False
21,"(0, 0)","(0, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 0)",True,True,False,True,True,True,False,False,True,True,True,False
22,"(0, 0)","(0, 0)","(0, 0)","(0, 8)","(8, 0)","(8, 0)",True,True,False,True,True,True,False,False,True,True,True,False
23,"(0, 0)","(0, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 8)",True,False,True,True,True,True,False,False,True,True,True,False
24,"(0, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
25,"(0, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
26,"(0, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 8)",True,True,True,False,True,True,False,False,True,True,True,False
27,"(0, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 0)",True,True,False,False,True,False,True,True,True,True,True,False
28,"(0, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 0)","(8, 0)",True,True,False,False,True,False,True,True,True,True,True,False
29,"(0, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 8)",False,True,True,False,True,False,True,True,True,True,True,False
30,"(0, 0)","(0, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 0)",True,False,False,True,True,False,True,True,True,True,True,False
31,"(0, 0)","(0, 0)","(8, 0)","(0, 0)","(8, 0)","(8, 0)",True,False,False,True,True,False,True,True,True,True,True,False
32,"(0, 0)","(0, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 8)",False,False,True,True,True,False,True,True,True,True,True,False
33,"(0, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 0)",True,True,False,False,True,False,True,True,True,True,True,False
34,"(0, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 8)","(8, 0)",True,True,False,False,True,False,True,True,True,True,True,False
35,"(0, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 8)",False,True,True,False,True,False,True,True,True,True,True,False
36,"(0, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 0)",True,True,False,False,True,False,True,True,True,True,True,False
37,"(0, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 0)","(8, 0)",True,True,False,False,True,False,True,True,True,True,True,False
38,"(0, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 8)",False,True,True,False,True,False,True,True,True,True,True,False
39,"(0, 0)","(0, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 0)",True,False,False,True,True,False,True,True,True,True,True,False
40,"(0, 0)","(0, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)",True,False,False,True,True,False,True,True,True,True,True,False
41,"(0, 0)","(0, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 8)",False,False,True,True,True,False,True,True,True,True,True,False
42,"(0, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 0)",True,True,False,False,True,False,True,True,True,True,True,False
43,"(0, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 8)","(8, 0)",True,True,False,False,True,False,True,True,True,True,True,False
44,"(0, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 8)",False,True,True,False,True,False,True,True,True,True,True,False
45,"(0, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 0)",True,True,False,False,True,True,False,True,True,True,True,False
46,"(0, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 0)","(8, 0)",True,True,False,False,True,True,False,True,True,True,True,False
47,"(0, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 8)",True,True,True,False,True,False,False,True,True,True,True,False
48,"(0, 0)","(0, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 0)",True,True,False,True,True,False,False,True,True,True,True,False
49,"(0, 0)","(0, 0)","(8, 0)","(0, 8)","(8, 0)","(8, 0)",True,True,False,True,True,False,False,True,True,True,True,False
50,"(0, 0)","(0, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 8)",True,False,True,True,True,False,False,True,True,True,True,False
51,"(0, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 0)",True,True,False,False,True,True,False,True,True,True,True,False
52,"(0, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 8)","(8, 0)",True,True,False,False,True,True,False,True,True,True,True,False
53,"(0, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 8)",True,True,True,False,True,False,False,True,True,True,True,False
54,"(0, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
55,"(0, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
56,"(0, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
57,"(0, 0)","(0, 0)","(0, 8)","(0, 0)","(8, 0)","(0, 0)",True,False,False,True,True,True,True,False,True,True,True,False
58,"(0, 0)","(0, 0)","(0, 8)","(0, 0)","(8, 0)","(8, 0)",True,False,False,True,True,True,True,False,True,True,True,False
59,"(0, 0)","(0, 0)","(0, 8)","(0, 0)","(8, 0)","(0, 8)",False,False,True,True,True,True,True,False,True,True,True,False
60,"(0, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
61,"(0, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
62,"(0, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 8)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
63,"(0, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
64,"(0, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
65,"(0, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 0)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
66,"(0, 0)","(0, 0)","(0, 8)","(8, 0)","(8, 0)","(0, 0)",True,False,False,True,True,True,True,False,True,True,True,False
67,"(0, 0)","(0, 0)","(0, 8)","(8, 0)","(8, 0)","(8, 0)",True,False,False,True,True,True,True,False,True,True,True,False
68,"(0, 0)","(0, 0)","(0, 8)","(8, 0)","(8, 0)","(0, 8)",False,False,True,True,True,True,True,False,True,True,True,False
69,"(0, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
70,"(0, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
71,"(0, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 8)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
72,"(0, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
73,"(0, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
74,"(0, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 0)","(0, 8)",True,True,True,False,True,True,False,False,True,True,True,False
75,"(0, 0)","(0, 0)","(0, 8)","(0, 8)","(8, 0)","(0, 0)",True,True,False,True,True,True,False,False,True,True,True,False
76,"(0, 0)","(0, 0)","(0, 8)","(0, 8)","(8, 0)","(8, 0)",True,True,False,True,True,True,False,False,True,True,True,False
77,"(0, 0)","(0, 0)","(0, 8)","(0, 8)","(8, 0)","(0, 8)",True,False,True,True,True,True,False,False,True,True,True,False
78,"(0, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
79,"(0, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
80,"(0, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 8)","(0, 8)",True,True,True,False,True,True,False,False,True,True,True,False
81,"(0, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
82,"(0, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
83,"(0, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
84,"(0, 0)","(8, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 0)",True,False,False,True,True,True,True,False,True,True,True,False
85,"(0, 0)","(8, 0)","(0, 0)","(0, 0)","(8, 0)","(8, 0)",True,False,False,True,True,True,True,False,True,True,True,False
86,"(0, 0)","(8, 0)","(0, 0)","(0, 0)","(8, 0)","(0, 8)",False,False,True,True,True,True,True,False,True,True,True,False
87,"(0, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
88,"(0, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
89,"(0, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 8)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
90,"(0, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
91,"(0, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
92,"(0, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 0)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
93,"(0, 0)","(8, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 0)",True,False,False,True,True,True,True,False,True,True,True,False
94,"(0, 0)","(8, 0)","(0, 0)","(8, 0)","(8, 0)","(8, 0)",True,False,False,True,True,True,True,False,True,True,True,False
95,"(0, 0)","(8, 0)","(0, 0)","(8, 0)","(8, 0)","(0, 8)",False,False,True,True,True,True,True,False,True,True,True,False
96,"(0, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
97,"(0, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
98,"(0, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 8)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
99,"(0, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
100,"(0, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
101,"(0, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 0)","(0, 8)",True,True,True,False,True,True,False,False,True,True,True,False
102,"(0, 0)","(8, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 0)",True,True,False,True,True,True,False,False,True,True,True,False
103,"(0, 0)","(8, 0)","(0, 0)","(0, 8)","(8, 0)","(8, 0)",True,True,False,True,True,True,False,False,True,True,True,False
104,"(0, 0)","(8, 0)","(0, 0)","(0, 8)","(8, 0)","(0, 8)",True,False,True,True,True,True,False,False,True,True,True,False
105,"(0, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
106,"(0, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
107,"(0, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 8)","(0, 8)",True,True,True,False,True,True,False,False,True,True,True,False
108,"(0, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 0)",True,True,False,False,True,False,True,True,True,True,True,False
109,"(0, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 0)","(8, 0)",True,True,False,False,True,False,True,True,True,True,True,False
110,"(0, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 0)","(0, 8)",False,True,True,False,True,False,True,True,True,True,True,False
111,"(0, 0)","(8, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 0)",True,False,False,True,True,False,True,True,True,True,True,False
112,"(0, 0)","(8, 0)","(8, 0)","(0, 0)","(8, 0)","(8, 0)",True,False,False,True,True,False,True,True,True,True,True,False
113,"(0, 0)","(8, 0)","(8, 0)","(0, 0)","(8, 0)","(0, 8)",False,False,True,True,True,False,True,True,True,True,True,False
114,"(0, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 0)",True,True,False,False,True,False,True,True,True,True,True,False
115,"(0, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 8)","(8, 0)",True,True,False,False,True,False,True,True,True,True,True,False
116,"(0, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 8)","(0, 8)",False,True,True,False,True,False,True,True,True,True,True,False
117,"(0, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 0)",True,True,False,False,True,False,True,True,True,True,True,False
118,"(0, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 0)","(8, 0)",True,True,False,False,True,False,True,True,True,True,True,False
119,"(0, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 0)","(0, 8)",False,True,True,False,True,False,True,True,True,True,True,False
120,"(0, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 0)",True,False,False,True,True,False,True,True,True,True,True,False
121,"(0, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)",True,False,False,True,True,False,True,True,True,True,True,False
122,"(0, 0)","(8, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 8)",False,False,True,True,True,False,True,True,True,True,True,False
123,"(0, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 0)",True,True,False,False,True,False,True,True,True,True,True,False
124,"(0, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 8)","(8, 0)",True,True,False,False,True,False,True,True,True,True,True,False
125,"(0, 0)","(8, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 8)",False,True,True,False,True,False,True,True,True,True,True,False
126,"(0, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 0)",True,True,False,False,True,True,False,True,True,True,True,False
127,"(0, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 0)","(8, 0)",True,True,False,False,True,True,False,True,True,True,True,False
128,"(0, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 8)",True,True,True,False,True,False,False,True,True,True,True,False
129,"(0, 0)","(8, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 0)",True,True,False,True,True,False,False,True,True,True,True,False
130,"(0, 0)","(8, 0)","(8, 0)","(0, 8)","(8, 0)","(8, 0)",True,True,False,True,True,False,False,True,True,True,True,False
131,"(0, 0)","(8, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 8)",True,False,True,True,True,False,False,True,True,True,True,False
132,"(0, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 0)",True,True,False,False,True,True,False,True,True,True,True,False
133,"(0, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 8)","(8, 0)",True,True,False,False,True,True,False,True,True,True,True,False
134,"(0, 0)","(8, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 8)",True,True,True,False,True,False,False,True,True,True,True,False
135,"(0, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
136,"(0, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
137,"(0, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
138,"(0, 0)","(8, 0)","(0, 8)","(0, 0)","(8, 0)","(0, 0)",True,False,False,True,True,True,True,False,True,True,True,False
139,"(0, 0)","(8, 0)","(0, 8)","(0, 0)","(8, 0)","(8, 0)",True,False,False,True,True,True,True,False,True,True,True,False
140,"(0, 0)","(8, 0)","(0, 8)","(0, 0)","(8, 0)","(0, 8)",False,False,True,True,True,True,True,False,True,True,True,False
141,"(0, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
142,"(0, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
143,"(0, 0)","(8, 0)","(0, 8)","(0, 0)","(0, 8)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
144,"(0, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
145,"(0, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
146,"(0, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 0)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
147,"(0, 0)","(8, 0)","(0, 8)","(8, 0)","(8, 0)","(0, 0)",True,False,False,True,True,True,True,False,True,True,True,False
148,"(0, 0)","(8, 0)","(0, 8)","(8, 0)","(8, 0)","(8, 0)",True,False,False,True,True,True,True,False,True,True,True,False
149,"(0, 0)","(8, 0)","(0, 8)","(8, 0)","(8, 0)","(0, 8)",False,False,True,True,True,True,True,False,True,True,True,False
150,"(0, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
151,"(0, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
152,"(0, 0)","(8, 0)","(0, 8)","(8, 0)","(0, 8)","(0, 8)",False,True,True,False,True,True,True,False,True,True,True,False
153,"(0, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
154,"(0, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
155,"(0, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 0)","(0, 8)",True,True,True,False,True,True,False,False,True,True,True,False
156,"(0, 0)","(8, 0)","(0, 8)","(0, 8)","(8, 0)","(0, 0)",True,True,False,True,True,True,False,False,True,True,True,False
157,"(0, 0)","(8, 0)","(0, 8)","(0, 8)","(8, 0)","(8, 0)",True,True,False,True,True,True,False,False,True,True,True,False
158,"(0, 0)","(8, 0)","(0, 8)","(0, 8)","(8, 0)","(0, 8)",True,False,True,True,True,True,False,False,True,True,True,False
159,"(0, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
160,"(0, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
161,"(0, 0)","(8, 0)","(0, 8)","(0, 8)","(0, 8)","(0, 8)",True,True,True,False,True,True,False,False,True,True,True,False
162,"(0, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
163,"(0, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 0)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
164,"(0, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 0)","(0, 8)",True,True,True,False,True,True,True,False,True,True,False,False
165,"(0, 0)","(0, 8)","(0, 0)","(0, 0)","(8, 0)","(0, 0)",True,True,False,True,True,True,True,False,True,True,False,False
166,"(0, 0)","(0, 8)","(0, 0)","(0, 0)","(8, 0)","(8, 0)",True,True,False,True,True,True,True,False,True,True,False,False
167,"(0, 0)","(0, 8)","(0, 0)","(0, 0)","(8, 0)","(0, 8)",True,False,True,True,True,True,True,False,True,True,False,False
168,"(0, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 8)","(0, 0)",True,True,False,False,True,True,True,False,True,True,True,False
169,"(0, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 8)","(8, 0)",True,True,False,False,True,True,True,False,True,True,True,False
170,"(0, 0)","(0, 8)","(0, 0)","(0, 0)","(0, 8)","(0, 8)",True,True,True,False,True,True,True,False,True,True,False,False
