team,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Boston Breakers,BOS,BOS,BOS,BOS,,,,,,,,,,,
FC Kansas City,KC,KC,KC,KC,UTA,UTA,UTA,UTA,KCC,KCC,KCC,KCC,KCC,KCC,KCC
Chicago Red Stars,CHI,,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI
Portland Thorns,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR,POR
Seattle Reign,RGN,RGN,RGN,RGN,RGN,RGN,RGN,RGN,RGN,RGN,RGN,RGN,RGN,RGN,RGN
Sky Blue FC,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY,NJNY
Washington Spirit,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS,WAS
Western New York Flash,WNY,WNY,WNY,WNY,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Houston Dash,,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU
Orlando Pride,,,,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL,ORL
Racing Louisville,,,,,,,,,LOU,LOU,LOU,LOU,LOU,LOU,LOU
Angel City,,,,,,,,,,LA,LA,LA,LA,LA,LA
San Diego Wave,,,,,,,,,,SD,SD,SD,SD,SD,SD
Bay FC,,,,,,,,,,,,SF,SF,SF,SF
Utah Royals,,,,,,,,,,,,UTA,UTA,UTA,UTA
Boston,,,,,,,,,,,,,,B2,B2
