,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NJ/NY Gotham FC,1,7,8,10,10,5,7,8,10,8,9,9,11,11,12
Portland Thorns,2,2,3,7,8,4,3,2,3,3,2,2,1,1,1
Angel City FC,3,6,2,2,2,7,4,6,6,5,7,7,7,7,7
Chicago Red Stars,4,4,6,6,7,3,2,3,2,2,3,4,4,6,6
Washington Spirit,5,3,7,8,9,10,8,7,9,11,11,10,10,10,11
San Diego Wave,6,1,1,1,1,1,1,1,1,1,1,1,2,3,2
North Carolina Courage,7,11,12,12,12,12,12,12,12,12,12,12,12,12,10
OL Reign,8,10,10,9,3,6,6,5,4,4,6,5,6,5,5
Racing Louisville,9,9,9,3,5,8,9,9,8,10,10,11,9,9,9
Houston Dash,10,5,4,4,4,2,5,4,5,6,4,3,3,2,3
Orlando Pride,11,8,5,5,6,9,11,11,11,9,8,8,8,8,8
Kansas City Current,12,12,11,11,11,11,10,10,7,7,5,6,5,4,4
