,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
NJNY,1,2,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,19
POR,1,1,2,4,5,6,8,9,10,11,12,13,14,15,15,17,18,19
LA,1,2,3,4,5,6,8,9,10,11,11,12,13,14,15,16,17,19
CHI,1,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,18,20
WAS,1,1,2,4,5,7,9,10,11,12,13,14,15,16,16,17,18,19
SD,1,2,3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20
NC,1,1,1,3,4,5,6,7,8,9,9,10,11,12,13,15,17,19
RGN,1,2,3,4,6,7,8,9,10,11,12,13,15,16,16,17,18,19
LOU,1,2,3,5,6,7,8,9,10,11,12,13,15,16,16,17,18,19
HOU,1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20
ORL,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
KC,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,20
