player,team_old,team_new
Kealia Watt,CHI,
Tatum Milazzo,CHI,
Sarah Woldmoe,CHI,
Sarah Luebert,CHI,
Mikenna McManus,CHI,
Channing Foster,CHI,
Zoe Morse,CHI,
Brianna Visalli,HOU,
Tiernny Wiltshire,HOU,
Cali Farquharson,HOU,
Lindsey Harris,HOU,
Valérie Gauvin,HOU,
Taylor Leach,KC,
Sydney Schneider,KC,
Jaycie Johnson,KC,
Almuth Schult,LA,
Steffant Ferrer Van Ginkel,LA,
Miri Taylor,LA,
Mary Alice Vignola,LA,
Katie Cousins,LA,
Maia Pérez,LA,
Cheyna Matthews,LOU,
Gemma Bonner,LOU,
Fuka Nagano,NC,
Jaelene Daniels,NC,
Emily Gray,NC,
Ashlyn Harris,NJY,
Kelly Ann Livingstone,NJY,
Kumi Yokoyama,NJY,
Meggie Dougherty Howard,ORL,
Erin McLeod,ORL,
Gunnhildur Jónsdóttir,ORL,
Darian Jenkins,ORL,
Chelsee Washington,ORL,
Toni Pressley,ORL,
Parker Roberts,ORL,
Marissa Everett,POR,
Raquel Rodríguez,POR,
Tobin Heath,RGN,
Sinclaire Miramontez,RGN,
Ryanne Brow,RGN,
Jodi Ulkekul,RGN,
Jimena López,RGN,
Melissa Lowder,SD,
Sydney Pulver,SD,
Marleen Schimmer,SD,
Jackie Altschuld,SD,
Taylor Hansen,SD,
Kayla Bruster,SD,
Jodie Taylor,SD,
Audrey Harding,WAS,
Averie Collins,WAS,
Gaby Vincent,WAS,
Karina Rodriguez,WAS,
Julia Roddar,WAS,
Alia Martin,WAS,
