player,team_old,team_new
Abby Dahlkemper,SD,SD
Abby Erceg,NC,LOU
Abby Smith,POR,NJY
Addie McCain,KC,CHI
Addisyn Merrick,KC,KC
Adriana,,ORL
Adrianna Franch,KC,KC
Alana Cook,RGN,RGN
Alex Chidiac,LOU,LOU
Alex Loera,KC,KC
Alex Morgan,SD,SD
Alexa Spaanstra,,KC
Ali Krieger,NJY,NJY
Ali Riley,LA,LA
Alia Martin,WAS,
Allie Long,NJY,NJY
Ally Prisock,HOU,HOU
Ally Schlegel,,CHI
Ally Watt,ORL,ORL
Allysha Chapman,HOU,HOU
Allyson Swaby,LA,LA
Almuth Schult,LA,
Alyssa Malonson,RGN,RGN
Alyssa Naeher,CHI,CHI
Alyssa Thompson,,LA
Amanda Kowalski,CHI,CHI
Amber Brooks,WAS,WAS
Amirah Ali,SD,SD
Andi Sullivan,WAS,WAS
Angelina,RGN,RGN
Angelina Anderson,,LA
Anna Heilferty,WAS,WAS
Anna Moorhouse,ORL,ORL
Annika Creel,HOU,HOU
Arin Wright,CHI,CHI
Ary Borges,,LOU
Ashley Hatch,WAS,WAS
Ashley Sanchez,WAS,WAS
Ashlyn Harris,NJY,
Aubrey Kingsbury,WAS,WAS
Audrey Harding,WAS,
Ava Cook,CHI,CHI
Averie Collins,WAS,
Bayley Feist,WAS,WAS
Becky Sauerbrunn,POR,POR
Bella Bixby,POR,POR
Belle Briede,SD,SD
Bethany Balcer,RGN,RGN
Bianca St-Georges,CHI,CHI
Brianna Pinto,NC,NC
Brianna Visalli,HOU,
Brittany Isenhour,LA,LA
Brittany Ratcliffe,NC,NC
Bruninha,NJY,NJY
Bárbara Olivieri,,HOU
Caitlin Cosme,ORL,ORL
Cali Farquharson,HOU,
Cameron Tucker,NJY,HOU
Camryn Biegalski,WAS,WAS
Caprice Dydasco,HOU,HOU
Cari Roccaro,LA,CHI
Carly Nelson,,ORL
Carly Telford,SD,
Carrie Lawrence,ORL,ORL
Carson Pickett,NC,LOU
Casey Krueger,CHI,CHI
Casey Murphy,NC,NC
Cassie Miller,KC,KC
Cece Kizer,KC,KC
Celia,ORL,ORL
Channing Foster,CHI,
Chardonnay Curran,KC,KC
Chelsee Washington,ORL,
Chelsie Dawber,CHI,CHI
Cheyna Matthews,LOU,
Chloe Logarzo,KC,
Chloe Ricketts,,WAS
Christen Press,LA,LA
Christen Westphal,SD,SD
Christine Sinclair,POR,POR
Civana Kuhlmann,,WAS
Claire Emslie,LA,LA
Claire Lavogez,KC,KC
Clara Robbins,,NC
Clarisse Le Bihan,LA,LA
Claudia Dickey,RGN,RGN
Courtney Petersen,ORL,HOU
Crystal Dunn,POR,POR
Dani Weatherholt,LA,LA
Danielle Colaprico,CHI,SD
Darian Jenkins,ORL,
Debinha,NC,KC
Delanie Sheehan,NJY,NJY
Denise O'Sullivan,NC,NC
Desiree Scott,KC,KC
Devon Kerr,WAS,HOU
DiDi Haračić,LA,LA
Diana Ordoñez,NC,HOU
Domi Richardson,NJY,
Dorian Bailey,WAS,WAS
Ebony Salmon,HOU,HOU
Elizabeth Ball,KC,KC
Elizabeth Eddy,HOU,
Ella Dederick,HOU,HOU
Ella Stevens,CHI,CHI
Elli Pikkujämsä,,LOU
Ellie Jean,NJY,NJY
Elyse Bennett,KC,RGN
Emily Boyd,CHI,CHI
Emily Curran,HOU,HOU
Emily Fox,LOU,NC
Emily Gray,NC,NC
Emily Madril,,ORL
Emily Menges,POR,POR
Emily Sonnett,WAS,RGN
Emily van Egmond,SD,SD
Emina Ekic,LOU,LOU
Erika Tymrak,ORL,ORL
Erin McLeod,ORL,
Estelle Johnson,NJY,NC
Frankie Tagliaferri,NC,NC
Fuka Nagano,NC,
Gabby Provenzano,POR,POR
Gabby Robinson,,KC
Gabrielle Carle,,WAS
Gaby Vincent,WAS,
Gemma Bonner,LOU,
Gunnhildur Jónsdóttir,ORL,
Hailie Mace,KC,KC
Haley Bugeja,ORL,ORL
Haley Hopkins,,NC
Haley McCutcheon,ORL,ORL
Hanna Glas,,KC
Hannah Betfort,POR,POR
Havana Solaun,,HOU
Hensley Hancuff,NJY,NJY
Hillary Beall,LOU,LOU
Hina Sugita,POR,POR
Hope Breslin,LA,
Ifeoma Onumonu,NJY,NJY
Imani Dorsey,NJY,NJY
Inès Jaurena,,WAS
Izzy D'Aquila,,POR
Izzy Rodriguez,KC,KC
Jackie Altschuld,SD,
Jaedyn Shaw,SD,SD
Jaelene Daniels,NC,
Jaelin Howell,LOU,LOU
Jane Campbell,HOU,HOU
Janine Beckie,POR,POR
Jasmyne Spencer,LA,LA
Jaycie Johnson,KC,
