team,player
SD,Hillary Beall
SD,Morgan Messner
SD,Kailen Sheridan
SD,Abby Dahlkemper
SD,Sierra Enge
SD,Naomi Girma
SD,Hanna Lundkvist
SD,Kristen McNabb
SD,Kaitlyn Torpey
SD,Kennedy Wesley
SD,Christen Westphal
SD,Danielle Colaprico
SD,Savannah McCaskill
SD,Emily van Egmond
SD,Amirah Ali
SD,Melanie Barcenas
SD,Elyse Bennett
SD,Kyra Carusa
SD,Makenzy Doniak
SD,Sofia Jakobsson
SD,Mya Jones
SD,Alex Morgan
SD,Jaedyn Shaw
POR,Kat Asman
POR,Bella Bixby
POR,Shelby Hogan
POR,Lauren Kozal
POR,Kelli Hubly
POR,Meghan Klingenberg
POR,Marie Müller
POR,Meaghan Nally
POR,Isabella Obaze
POR,Nicole Payne
POR,Reyna Reyes
POR,Becky Sauerbrunn
POR,Sam Coffey
POR,Jessie Fleming
POR,Olivia Moultrie
POR,Gabby Provenzano
POR,Hina Sugita
POR,Olivia Wade-Katoa
POR,Janine Beckie
POR,Izzy D'Aquila
POR,Payton Linnehan
POR,Christine Sinclair
POR,Sophia Smith
POR,Morgan Weaver
POR,Marissa Sheva
NC,Marisa Bova
NC,Hensley Hancuff
NC,Casey Murphy
NC,Malia Berkely
NC,Sydney Collins
NC,Julia Dorsey
NC,Kaleigh Kurtz
NC,Estelle Johnson
NC,Maya McCutcheon
NC,Feli Rauch
NC,Talia Staude
NC,Ryan Williams
NC,Jenna Winebrenner
NC,Rikako Kobayashi
NC,Riley Jackson
NC,Manaka Matsukubo
NC,Landy Mertz
NC,Narumi Miura
NC,Denise O'Sullivan
NC,Brianna Pinto
NC,Victoria Pickett
NC,Clara Schilke
NC,Meredith Speck
NC,Dani Weatherholt
NC,Mille Gejl
NC,Haley Hopkins
NC,Tyler Lussi
NC,Kerolin
NC,Ashley Sanchez
NC,Bianca St-Georges
NC,Olivia Wingate
RGN,Claudia Dickey
RGN,Laurel Ivory
RGN,Maia Pérez
RGN,Lauren Barnes
RGN,Ryanne Brown
RGN,Alana Cook
RGN,Shae Holmes
RGN,Sofia Huerta
RGN,Julia Lester
RGN,Jimena López
RGN,Phoebe McClernon
RGN,Lily Woodham
RGN,Olivia Athens
RGN,Jess Fishlock
RGN,Angharad James
RGN,Luany Vitória da Silva Rosa
RGN,Maddie Mercado
RGN,Sam Meza
RGN,Quinn
RGN,Ji So-Yun
RGN,Nikki Stanton
RGN,Olivia Van der Jagt
RGN,Emeri Adames
RGN,Bethany Balcer
RGN,Jordyn Huitema
RGN,Tziarra King
RGN,Veronica Latsko
RGN,McKenzie Weinert
LA,Angelina Anderson
LA,DiDi Haračić
LA,Hannah Stambaugh
LA,Madison Curry
LA,Elizabeth Eddy
LA,Vanessa Gilles
LA,Sarah Gorden
LA,Merritt Mathias
LA,Paige Nielsen
LA,Megan Reid
LA,Ali Riley
LA,Jasmyne Spencer
LA,Gisele Thompson
LA,M. A. Vignola
LA,Meggie Dougherty Howard
LA,Kennedy Fuller
LA,Madison Hammond
LA,Amandine Henry
LA,Clarisse Le Bihan
LA,Lily Nabet
LA,Rocky Rodríguez
LA,Messiah Bright
LA,Claire Emslie
LA,Jun Endo
LA,Katie Johnson
LA,Sydney Leroux
LA,Casey Phair
LA,Christen Press
LA,Alyssa Thompson
GFC,Michelle Betos
GFC,Cassie Miller
GFC,Abby Smith
GFC,Maycee Bell
GFC,Bruninha
GFC,Tierna Davidson
GFC,Kristen Edmonds
GFC,Mandy Freeman
GFC,Sam Hiatt
GFC,Maitane López
GFC,Jenna Nighswonger
GFC,Kelley O'Hara
GFC,Taryn Torres
GFC,Sinead Farrelly
GFC,Rose Lavelle
GFC,Nealy Martin
GFC,Yazmeen Ryan
GFC,Delanie Sheehan
GFC,Emily Sonnett
GFC,McCall Zerboni
GFC,Crystal Dunn
GFC,Esther González
GFC,Svava Gudmundsdóttir
GFC,Midge Purce
GFC,Taylor Smith
GFC,Katie Stengel
GFC,Ella Stevens
GFC,Lynn Williams
ORL,Kaylie Collins
ORL,McKinley Crone
ORL,Sofia Manner
ORL,Anna Moorhouse
ORL,Tori Hansen
ORL,Celia
ORL,Carrie Lawrence
ORL,Brianna Martínez
ORL,Haley McCutcheon
ORL,Megan Montefusco
ORL,Emily Sams
ORL,Rafaelle Souza
ORL,Kylie Strom
ORL,Angelina
ORL,Evelina Duljan
ORL,Morgan Gautrat
ORL,Ally Lemos
ORL,Cori Dyke
ORL,Luana
ORL,Kerry Abello
ORL,Viviana Villacorta
ORL,Adriana
ORL,Amanda Allen
ORL,Barbra Banda
ORL,Simone Charley
ORL,Julie Doyle
ORL,Alex Kerr
ORL,Mariana Larroquette
ORL,Marta
ORL,Ally Watt
ORL,Summer Yates
WAS,Nicole Barnhart
WAS,Lyza Bosselmann
WAS,Aubrey Kingsbury
WAS,Annaïg Butel
WAS,Gabrielle Carle
WAS,Anna Heilferty
WAS,Casey Krueger
WAS,Tara McKeown
WAS,Kate Wiesner
WAS,Croix Bethune
WAS,Courtney Brown
WAS,Hal Hershfelt
WAS,Paige Metayer
WAS,Heather Stainbrook
WAS,Andi Sullivan
WAS,Ashley Hatch
WAS,Civana Kuhlmann
WAS,Makenna Morris
WAS,Brittany Ratcliffe
WAS,Chloe Ricketts
WAS,Trinity Rodman
WAS,Ouleymata Sarr
WAS,Lena Silano
WAS,Riley Tanner
LOU,Jordyn Bloomer
LOU,Katie Lund
LOU,Olivia Sekany
LOU,Abby Erceg
LOU,Ellie Jean
LOU,Lauren Milliet
LOU,Carson Pickett
LOU,Elli Pikkujämsä
LOU,Arin Wright
LOU,Jordan Baggett
LOU,Ary Borges
LOU,Savannah DeMelo
LOU,Marisa DiGrande
LOU,Kayla Fischer
LOU,Taylor Flint
LOU,Jaelin Howell
LOU,Yuuka Kurosaki
LOU,Madalyn Pokorny
LOU,Elexa Bahr
LOU,Milly Clegg
LOU,Parker Goins
LOU,Uchenna Kanu
LOU,Linda Motlhalo
LOU,Emma Sears
LOU,Reilyn Turner
LOU,Kirsten Wright
HOU,Emily Alvarado
HOU,Jane Campbell
HOU,Savannah Madden
HOU,Allysha Chapman
HOU,Madelyn Desiano
HOU,Jyllissa Harris
HOU,Natalie Jacobs
HOU,Katie Lind
HOU,Courtney Petersen
HOU,Sarah Puntigam
HOU,Croix Soto
HOU,Andressa
HOU,Belle Briede
HOU,Sophie Hirst
HOU,Elin Rubensson
HOU,Sophie Schmidt
HOU,Havana Solaun
HOU,Bárbara Olivieri
HOU,Michelle Alozie
HOU,Ryan Gareis
HOU,Paulina Gramaglia
HOU,Cece Kizer
HOU,Yuki Nagasato
HOU,Diana Ordóñez
HOU,Avery Patterson
HOU,María Sánchez
HOU,Amanda West
KCC,Steigleder Regan
KCC,Hanna Glas
KCC,Hailie Mace
KCC,Ellie Wheeler
KCC,Temwa Chawinga
KCC,Elizabeth Ball
KCC,Nichelle Prince
KCC,Bia Zaneratto
KCC,Lo'eau LaBonta
KCC,Desiree Scott
KCC,Stine Ballisager
KCC,Sophie Braun
KCC,Claire Hutton
KCC,Vanessa DiBernardo
KCC,Michelle Cooper
KCC,Izzy Rodriguez
KCC,Mallory Weber
KCC,Adrianna Franch
KCC,Bayley Feist
KCC,Gabrielle Robinson
KCC,Kristen Hamilton
KCC,Jordan Silkowitz
KCC,Hope Hisey
KCC,Alex Pfeiffer
KCC,Alexa Spaanstra
KCC,Lauren
KCC,Claire Lavogez
KCC,Debinha
CHI,Alyssa Naeher
CHI,Sydney Schneider
CHI,Mackenzie Wood
CHI,Hannah Anderson
CHI,Camryn Biegalski
CHI,Samantha Feller
CHI,Natalia Kuikka
CHI,Taylor Malham
CHI,Tatumn Milazzo
CHI,Maximiliane Rall
CHI,Sam Staab
CHI,Julia Bianchi
CHI,Jenna Bike
CHI,Chardonnay Curran
CHI,Bea Franklin
CHI,Sarah Griffith
CHI,Sophie Jones
CHI,Leilanni Nesbeth
CHI,Cari Roccaro
CHI,Ally Cook
CHI,Ava Cook
CHI,Nádia Gomes
CHI,Shea Groom
CHI,Penelope Hocking
CHI,Jameese Joseph
CHI,Ally Schlegel
CHI,Mallory Swanson
BAY,Katelyn Rowland
BAY,Melissa Lowder
BAY,Savy King
BAY,Caprice Dydasco
BAY,Emily Menges
BAY,Jen Beattie
BAY,Maya Doms
BAY,Princess Marfo
BAY,Asisat Oshoala
BAY,Racheal Kundananji
BAY,Deyna Castellanos
BAY,Scarlett Camberos
BAY,Tess Boade
BAY,Jamie Shepherd
BAY,Caroline Conti
BAY,Jordan Brewster
BAY,Joelle Anderson
BAY,Dorian Bailey
BAY,Alyssa Malonson
BAY,Rachel Hill
BAY,Alex Loera
BAY,Kiki Pickett
BAY,Kayla Sharples
BAY,Emmie Allen
BAY,Lysianne Proulx
UTA,Mandy Haught
UTA,Carly Nelson
UTA,Cristina Roque
UTA,Madison Pogarch
UTA,Imani Dorsey
UTA,Lauren Flynn
UTA,Zoe Burns
UTA,Kaleigh Riehl
UTA,Addisyn Merrick
UTA,Kate Del Fava
UTA,Mikayla Cluff
UTA,Dana Foederer
UTA,Emily Gray
UTA,Agnes Nyberg
UTA,Frankie Tagliaferri
UTA,Brecken Mozingo
UTA,Michele Vasconcelos
UTA,Cameron Tucker
UTA,Ifeoma Onumonu
UTA,Paige Monaghan
UTA,Hannah Betfort
UTA,Ally Sentnor
