player,team_old,team_new
Alia Martin,WAS,
Almuth Schult,LA,
Ashlyn Harris,NJY,
Audrey Harding,WAS,
Averie Collins,WAS,
Brianna Visalli,HOU,
Cali Farquharson,HOU,
Channing Foster,CHI,
Chelsee Washington,ORL,
Chloe Logarzo,KC,
Darian Jenkins,ORL,
Domi Richardson,NJY,
Erin McLeod,ORL,
Fuka Nagano,NC,
Gaby Vincent,WAS,
Gemma Bonner,LOU,
Gunnhildur Jónsdóttir,ORL,
Hensley Hancuff,NJY,
Hope Breslin,LA,
Jackie Altschuld,SD,
Jaelene Daniels,NC,
Jaycie Johnson,KC,
Jennifer Cudjoe,NJY,
Jodi Ulkekul,RGN,
Jodie Taylor,SD,
Julia Ashley,HOU,
Julia Roddar,WAS,
Karina Rodriguez,WAS,
Katie Bowen,NC,
Katie Cousins,LA,
Kayla Bruster,SD,
Kealia Watt,CHI,
Kelly Ann Livingstone,NJY,
Kumi Yokoyama,NJY,
Lindsey Harris,HOU,
Lindsey Horan,POR,
Maia Pérez,LA,
Marissa Everett,POR,
Marleen Schimmer,SD,
Melissa Lowder,SD,
Mikenna McManus,CHI,
Miri Taylor,LA,
Nicole Baxter,NJY,
Parker Roberts,ORL,
Paulina Gramaglia,HOU,
Rylee Baisden,NC,
Sarah Luebert,CHI,
Sarah Woldmoe,CHI,
Sinclaire Miramontez,RGN,
Steffany Ferrer Van Ginkel,LA,
Sydney Pulver,SD,
Sydney Schneider,KC,
Taryn Torres,NJY,
Taylor Aylmer,WAS,
Taylor Hansen,SD,
Taylor Leach,KC,
Thais Reiss,ORL,
Tiernny Wiltshire,HOU,
Tobin Heath,RGN,
Toni Pressley,ORL,
Valérie Gauvin,HOU,
Zoe Morse,CHI,
