player,team_old,team_new
Aaliyah Farmer,,CHI
Alba Caño,,BOS
Aldana Cometti,,BAY
Aleigh Gambone,,BOS
Amanda Gutierres,,BOS
Amelia White,,KCC
Andrea Kitahata,,GFC
Annie Karich,,BOS
Anouk Denton,,BAY
Audrey McKeen,,LOU
Ayo Oke,,DEN
Aïssata Traoré,,BOS
Cameron Brooks,,NC
Camryn Miller,,BAY
Cara Martin,,ORL
Carina Lageyre,,LA
Carly Wickenheiser,,NC
Caroline DeLisle,,HOU
Carolyn Calzada,,POR
Cassandra Bogere,,POR
Cate Hardin,,HOU
Chioma Okafor,,NC
Clare Gagne,,KCC
Claudia Martínez,,WAS
Cristiana Girelli,,BAY
Dayana Pierre-Louis,,UTA
Devin Lynch,,DEN
Elise Evans,,CHI
Emerson Elgin,,BOS
Emma Egizii,,CHI
Emma Gaines-Ramos,,WAS
Emma Regan,,DEN
Erin McKinney,,POR
Eva Gaetino,,DEN
Evan O'Steen,,RGN
Evelyn Ijeh,,NC
Faith Nguyen,,LA
Fauzia Najjemba,,BOS
Gianna Paul,,KCC
Guro Reiten,,GFC
Haley Hopkins,,KCC
Hannnah Seabert,,LA
Heather Gilchrist,,BAY
Ivy Younce,,NC
Jasmine Aikey,,DEN
Jennie Immethun,,POR
Jordan Nytes,,DEN
Jordynn Dudley,,GFC
Jorelyn Carabalí,,BOS
Kaká,,BOS
Kalea Eichenberger,,UTA
Kameron Simmonds,,UTA
Karsyn Cherry,,LA
Kat Rader,,HOU
Kate Faasse,,HOU
Katie Lampson,,GFC
Katie Scott,,KCC
Kaylie Collins,,WAS
Keira Barry,,BAY
Kiana Palacios,,UTA
Kolo Suliafu,,KCC
Kössler,,DEN
Laney Rouse,,KCC
Laurel Ansbrow,,BOS
Laurel Ivory,,BOS
Lauryn Thompson,,NC
Laís Araújo,,BOS
Leah Klenke,,HOU
Lia Godfrey,,SD
Linda Ullmark,,HOU
Lindsey Heaps,,DEN
Lourdes Bosch,,DEN
Lucia Di Guglielmo,,WAS
Luisa Agudelo,,SD
Macy Blackburn,,LOU
Maddie Padelski,,POR
Madi White,,NC
Madison Haugen,,WAS
Maithé López,,LA
Maja Lardner,,LOU
Mary Long,,KCC
Meg Boade,,DEN
Meila Brewer,,KCC
Melissa,,DEN
Mimi Van Zanten,,SD
Mirann Gacioch,,LOU
Molly Pritchard,,NC
Molly Skurcenski,,WAS
Nahikari Garcia,,DEN
Natalie Means,,DEN
Natalie Mitchell,,LOU
Natasha Flint,,DEN
Nicki Hernandez,,BOS
Olivia Sekany,,LOU
Olivia Thomas,,DEN
Rajanah Reed,,LA
Reagan Raabe,,ORL
Renee Lyles,,POR
Rocky Rodríguez,,KCC
Ruby Hladek,,RGN
Sammy Smith,,BOS
Sara Wojdelko,,WAS
Seven Castain,,ORL
Shae Harvey,,POR
Sofia Cedeño,,RGN
Solai Washington,,ORL
Sophia Lowenberg,,BOS
Talia Sommer,,GFC
Tamara Bolt,,WAS
Tatum Wynalda,,SD
Taylor Suarez,,LA
Taylor White,,LOU
Teagan Wy,,GFC
Tessa Dellarose,,CHI
Uno Shiragaki,,NC
Yuna McCormack,,DEN
Élisabeth Tsé,,WAS
