player,team_old,team_new
Brenna Ochoa,,CHI
Carlee Giammona,,CHI
Sophie Jones,,CHI
Meagan McClelland,,CHI
Julia Bianchi,,CHI
Brenna Lovera,,CHI
Bayleigh Chaviers,,CHI
Tatumn Milazzo,,CHI
Meg Brandt,,CHI
Morgan Messner,,CHI
Ally Schlegel,,CHI
Sami Feller,,CHI
Penelope Hocking,,CHI
Abby Boyan,,CHI
Meghan Cavanaugh,,CHI
Havana Solaun,,HOU
Libby Moore,,HOU
Wasila Diwura-Soala,,HOU
Sophie Hirst,,HOU
Madelyn Desiano,,HOU
Hailey Davidson,,HOU
Savannah Madden,,HOU
Lindsi Jennings,,HOU
Grace Barbara,,HOU
Jylissa Harris,,HOU
Brionna Halverson,,HOU
Danielle Murguia,,HOU
Chai Cortez,,HOU
Gabby Robinson,,KC
Ella Shamburger,,KC
Ashley Orkus,,KC
Michelle Cooper,,KC
Rylan Childers,,KC
Jordan Silkowitz,,KC
Mykiaa Minniss,,KC
Alexa Spaanstra,,KC
Mimmi Larsson,,KC
Molly McLaughlin,,LA
M.A. Vignola,,LA
Mia Minestrella,,LA
Angelina Anderson,,LA
Giselle Thompson,,LA
Kelsey Hill,,LA
Rachel Diodati,,LA
Mackenzie Pluck,,LA
Alyssa Thompson,,LA
Riley Parker,,LOU
Ary Borges,,LOU
Brianna Martinez,,LOU
Elli Pikkujämsä,,LOU
Uchenna Kanu,,LOU
Kayla Fischer,,LOU
Jadyn Edwards,,LOU
Emilly Gray,,NC
Eliana Beard,,NC
Olivia Wingate,,NC
Nikia Smith,,NC
Sarah Clark,,NC
Sydney Collins,,NC
Haley Hopkins,,NC
Millie Farrow,,NC
Croix Soto,,NC
Mille Gejl Jensen,,NC
Clara Robbins,,NC
Mandy Haught,,NJY
Svava Rós Guðmundsdóttir,,NJY
Carly Nelson,,ORL
Emily Madril,,ORL
Adriana,,ORL
Kristen Scott,,ORL
Messiah Bright,,ORL
Tori Hansen,,ORL
Summer Yates,,ORL
McKinley Crone,,ORL
Rocky Rodriguez,,POR
Izzy D'Aquila,,POR
Lauren DeBeau,,POR
Lauren Kozal,,POR
Reyna Reyes,,POR
Shae Holmes,,RGN
Natalie Viggiano,,RGN
Jimena Lopez,,RGN
Ryanne Brown,,RGN
Megan Dougherty Howard,,SD
Abbey Burdette,,WAS
Paige Metayer,,WAS
Nicole Douglas,,WAS
Melina Rebimbas,,WAS
Mariana Speckmaier,,WAS
Lyza Bosselmann,,WAS
Katie Murray,,WAS
Jordan Thompson,,WAS
Gabrielle Carle,,WAS
Delaney Graham,,WAS
Civana Kuhlmann,,WAS
Chloe Ricketts,,WAS
Riley Tanner,,WAS
Lena Silano,,WAS
