player,team_old,team_new
A'ja Wilson,LV,LV
AD Durr,NY,ATL
AD Durr,ATL,ATL
Aari McDonald,ATL,ATL
Aerial Powers,MIN,MIN
Aisha Sheppard,LV,LV
Alaina Coates,IND,
Alanna Smith,IND,CHI
Alexis Peterson,,LV
Alisia Jenkins,,WSH
Allie Quigley,CHI,
Allisha Gray,DAL,ATL
Alysha Clark,WSH,LV
Alyssa Thomas,CONN,CONN
Amanda Zahui B.,,WSH
Amy Atwell,LA,
Angel McCoughtry,MIN,
Anneli Maley,CHI,CHI
Arella Guirantes,,SEA
Ariel Atkins,WSH,WSH
Arike Ogunbowale,DAL,DAL
Astou Ndour-Fall,,CHI
Awak Kuier,DAL,DAL
Azura Stevens,CHI,LA
Beatrice Mompremier,ATL,ATL
Bernadett Hatar,,IND
Betnijah Laney,NY,NY
Breanna Stewart,SEA,NY
Bria Hartley,CONN,
Bria Hartley,IND,
Briann January,SEA,
Brianna Turner,PHX,PHX
Bridget Carleton,MIN,MIN
Brionna Jones,CONN,CONN
Brittney Griner,,PHX
Brittney Sykes,LA,WSH
Candace Parker,CHI,LV
Cayla George,,LV
Charli Collier,DAL,DAL
Chelsea Gray,LV,LV
Chelsey Perry,,IND
Chennedy Carter,LA,LA
Cheyenne Parker,ATL,ATL
Chiney Ogwumike,LA,LA
Courtney Range,,LV
Courtney Vandersloot,CHI,NY
Courtney Williams,CONN,CHI
Crystal Dangerfield,NY,DAL
Crystal Dangerfield,IND,DAL
Damiris Dantas,MIN,MIN
Dana Evans,CHI,CHI
Danielle Robinson,IND,ATL
DeWanna Bonner,CONN,CONN
Dearica Hamby,LV,LA
Destanni Henderson,IND,IND
Destiny Slocum,ATL,
DiDi Richards,NY,NY
DiJonai Carrington,CONN,CONN
Diamond DeShields,PHX,DAL
Diana Taurasi,PHX,PHX
Elena Delle Donne,WSH,WSH
Elissa Cunane,MIN,
Elizabeth Williams,WSH,CHI
Emily Engstler,IND,IND
Emma Cannon,PHX,IND
Emma Cannon,IND,IND
Emma Meesseman,CHI,
Epiphanny Prince,SEA,NY
Erica Wheeler,ATL,IND
Evina Westbrook,MIN,WSH
Evina Westbrook,WSH,WSH
Ezi Magbegor,SEA,SEA
Feyonda Fitzgerald,,CHI
Gabby Williams,SEA,SEA
Han Xu,NY,NY
Hannah Sjerven,MIN,
Iliana Rupert,LV,ATL
Isabelle Harrison,DAL,CHI
Jackie Young,LV,LV
Jade Melbourne,,SEA
Jantel Lavender,SEA,
Jasmine Dickey,DAL,DAL
Jasmine Thomas,CONN,LA
Jasmine Walker,LA,SEA
Jazmine Jones,CONN,WSH
Jazmine Jones,WSH,WSH
Jennie Simms,PHX,PHX
Jessica Shepard,MIN,MIN
Jewell Loyd,SEA,SEA
Jocelyn Willoughby,NY,NY
Jonquel Jones,CONN,NY
Jordin Canada,LA,LA
Joyner Holmes,CONN,
Julie Allemand,CHI,
Kaela Davis,CHI,
Kaela Davis,SEA,
Kaela Davis,PHX,
Kahleah Copper,CHI,CHI
Kaila Charles,ATL,SEA
Kalani Brown,,DAL
Kamiah Smalls,MIN,
Karlie Samuelson,PHX,LA
Katie Benzan,WSH,
Katie Lou Samuelson,LA,LA
Kayla McBride,MIN,MIN
Kayla Thornton,DAL,NY
Kelsey Mitchell,IND,IND
Kelsey Plum,LV,LV
Kennedy Burke,WSH,
Khayla Pointer,IND,IND
Kia Nurse,,SEA
Kia Vaughn,ATL,ATL
Kiah Stokes,LV,LV
Kiana Williams,CONN,MIN
Kiana Williams,SEA,MIN
Kianna Smith,LA,CONN
Kierstan Bell,LV,LV
Kristi Toliver,LA,WSH
Kristine Anigwe,PHX,CHI
Kristy Wallace,ATL,IND
Lauren Cox,,CONN
Layshia Clarendon,,LA
Lexie Brown,LA,LA
Lexie Hull,IND,IND
Li Yueru,CHI,CHI
Lindsay Allen,MIN,MIN
Liz Cambage,LA,
Lorela Cubaj,NY,
Marina Mabrey,DAL,CHI
Marine Johannes,NY,NY
Maya Caldwell,ATL,IND
Maya Dodson,,MIN
Megan Gustafson,PHX,PHX
Megan Walker,ATL,
Mercedes Russell,SEA,SEA
Michaela Onyenwere,NY,PHX
Mikiah Herbert Harrigan,,CONN
Monique Billings,ATL,ATL
Moriah Jefferson,DAL,PHX
Moriah Jefferson,MIN,PHX
Myisha Hines-Allen,WSH,WSH
NaLyssa Smith,IND,IND
Napheesa Collier,MIN,MIN
Natalie Achonwa,MIN,MIN
Natasha Cloud,WSH,WSH
Natasha Howard,NY,DAL
Natisha Hiedeman,CONN,CONN
Naz Hillmon,ATL,ATL
Nia Clouden,CONN,CONN
Nia Coffey,ATL,ATL
Nikolina Milic,MIN,MIN
Nirra Fields,,CONN
Nneka Ogwumike,LA,
Odyssey Sims,CONN,
Odyssey Sims,MIN,
Olivia Nelson-Ododa,LA,CONN
Queen Egbo,IND,IND
Rachel Banham,MIN,MIN
Rae Burrell,LA,LA
Raina Perez,SEA,
Rebecca Allen,NY,CONN
Rebekah Gardner,CHI,CHI
Rennia Davis,MIN,IND
Rennia Davis,IND,IND
Reshanda Gray,SEA,LA
Reshanda Gray,PHX,LA
Rhyne Howard,ATL,ATL
Riquna Williams,LV,LV
Robyn Parks,,CHI
Rui Machida,WSH,
Ruthy Hebard,CHI,CHI
Sabrina Ionescu,NY,NY
Sam Thomas,PHX,PHX
Sami Whitcomb,NY,SEA
Satou Sabally,DAL,DAL
Shakira Austin,WSH,WSH
Shatori Walker-Kimbrough,WSH,WSH
Shey Peddy,PHX,PHX
Sika Koné,,NY
Skylar Diggins-Smith,PHX,PHX
Sophie Cunningham,PHX,PHX
Sparkle Taylor,CHI,
Stefanie Dolson,NY,NY
Stephanie Jones,CONN,WSH
Stephanie Jones,WSH,WSH
Stephanie Talbot,SEA,LA
Stephanie Watts,,MIN
Sue Bird,SEA,
Sydney Colson,LV,LV
Sydney Wiese,,PHX
Sylvia Fowles,MIN,
Teaira McCowan,DAL,DAL
Theresa Plaisance,LV,SEA
Tianna Hawkins,WSH,WSH
Tiffany Hayes,ATL,CONN
Tiffany Mitchell,IND,MIN
Tina Charles,SEA,
Tina Charles,PHX,
Tina Krajisnik,CHI,
Tyasha Harris,DAL,CONN
Veronica Burton,DAL,DAL
Victoria Macaulay,,CONN
Victoria Vivians,IND,IND
Yvonne Anderson,CONN,
Yvonne Turner,MIN,SEA
Yvonne Turner,PHX,SEA
Yvonne Turner,ATL,SEA
