team,player
LV,Kierstan Bell
LV,Alysha Clark
LV,Sydney Colson
LV,Cayla George
LV,Chelsea Gray
LV,Candace Parker
LV,Alexis Peterson
LV,Kelsey Plum
LV,Courtney Range
LV,Aisha Sheppard
LV,Kiah Stokes
LV,Riquna Williams
LV,A'ja Wilson
LV,Jackie Young
CHI,Kristine Anigwe
CHI,Kahleah Copper
CHI,Dana Evans
CHI,Feyonda Fitzgerald
CHI,Rebekah Gardner
CHI,Isabelle Harrison
CHI,Ruthy Hebard
CHI,Marina Mabrey
CHI,Anneli Maley
CHI,Astou Ndour-Fall
CHI,Robyn Parks
CHI,Alanna Smith
CHI,Courtney Williams
CHI,Elizabeth Williams
CHI,Li Yueru
CONN,Rebecca Allen
CONN,DeWanna Bonner
CONN,DiJonai Carrington
CONN,Nia Clouden
CONN,Lauren Cox
CONN,Nirra Fields
CONN,Mikiah Herbert Harrigan
CONN,Tyasha Harris
CONN,Tiffany Hayes
CONN,Natisha Hiedeman
CONN,Brionna Jones
CONN,Victoria Macaulay
CONN,Olivia Nelson-Ododa
CONN,Kianna Smith
CONN,Alyssa Thomas
DAL,Kalani Brown
DAL,Veronica Burton
DAL,Charli Collier
DAL,Crystal Dangerfield
DAL,Diamond DeShields
DAL,Jasmine Dickey
DAL,Natasha Howard
DAL,Awak Kuier
DAL,Teaira McCowan
DAL,Arike Ogunbowale
DAL,Satou Sabally
SEA,Kaila Charles
SEA,Arella Guirantes
SEA,Jewell Loyd
SEA,Ezi Magbegor
SEA,Jade Melbourne
SEA,Kia Nurse
SEA,Theresa Plaisance
SEA,Mercedes Russell
SEA,Yvonne Turner
SEA,Jasmine Walker
SEA,Sami Whitcomb
SEA,Gabby Williams
MIN,Natalie Achonwa
MIN,Lindsay Allen
MIN,Rachel Banham
MIN,Bridget Carleton
MIN,Napheesa Collier
MIN,Damiris Dantas
MIN,Maya Dodson
MIN,Kayla McBride
MIN,Nikolina Milic
MIN,Tiffany Mitchell
MIN,Aerial Powers
MIN,Jessica Shepard
MIN,Stephanie Watts
MIN,Kiana Williams
PHX,Sophie Cunningham
PHX,Skylar Diggins-Smith
PHX,Brittney Griner
PHX,Megan Gustafson
PHX,Moriah Jefferson
PHX,Michaela Onyenwere
PHX,Shey Peddy
PHX,Jennie Simms
PHX,Diana Taurasi
PHX,Sam Thomas
PHX,Brianna Turner
PHX,Sydney Wiese
WSH,Ariel Atkins
WSH,Shakira Austin
WSH,Natasha Cloud
WSH,Elena Delle Donne
WSH,Tianna Hawkins
WSH,Myisha Hines-Allen
WSH,Alisia Jenkins
WSH,Jazmine Jones
WSH,Stephanie Jones
WSH,Brittney Sykes
WSH,Kristi Toliver
WSH,Shatori Walker-Kimbrough
WSH,Evina Westbrook
WSH,Amanda Zahui B.
NY,Stefanie Dolson
NY,Sabrina Ionescu
NY,Marine Johannes
NY,Jonquel Jones
NY,Sika Koné
NY,Betnijah Laney
NY,Epiphanny Prince
NY,DiDi Richards
NY,Breanna Stewart
NY,Kayla Thornton
NY,Courtney Vandersloot
NY,Jocelyn Willoughby
NY,Han Xu
LA,Lexie Brown
LA,Rae Burrell
LA,Jordin Canada
LA,Chennedy Carter
LA,Layshia Clarendon
LA,Reshanda Gray
LA,Dearica Hamby
LA,Chiney Ogwumike
LA,Karlie Samuelson
LA,Katie Lou Samuelson
LA,Azura Stevens
LA,Stephanie Talbot
LA,Jasmine Thomas
ATL,Monique Billings
ATL,Nia Coffey
ATL,AD Durr
ATL,Allisha Gray
ATL,Naz Hillmon
ATL,Rhyne Howard
ATL,Aari McDonald
ATL,Beatrice Mompremier
ATL,Cheyenne Parker
ATL,Danielle Robinson
ATL,Iliana Rupert
ATL,Kia Vaughn
IND,Maya Caldwell
IND,Emma Cannon
IND,Rennia Davis
IND,Queen Egbo
IND,Emily Engstler
IND,Bernadett Hatar
IND,Destanni Henderson
IND,Lexie Hull
IND,Kelsey Mitchell
IND,Chelsey Perry
IND,Khayla Pointer
IND,NaLyssa Smith
IND,Victoria Vivians
IND,Kristy Wallace
IND,Erica Wheeler
