player,team_old,team_new
Megan Walker,ATL,
Destiny Slocum,ATL,
Allie Quigley,CHI,
Sparkle Taylor,CHI,
Tina Krajisnik,CHI,
Kaela Davis,CHI,
Emma Meesseman,CHI,
Julie Allemand,CHI,
Yvonne Anderson,CONN,
Odyssey Sims,CONN,
Bria Hartley,CONN,
Joyner Holmes,CONN,
Alaina Coates,IND,
Bria Hartley,IND,
Nneka Ogwumike,LA,
Amy Atwell,LA,
Liz Cambage,LA,
Sylvia Fowles,MIN,
Odyssey Sims,MIN,
Angel McCoughtry,MIN,
Hannah Sjerven,MIN,
Elissa Cunane,MIN,
Kamiah Smalls,MIN,
Lorela Cubaj,NY,
Kaela Davis,PHX,
Tina Charles,PHX,
Jantel Lavender,SEA,
Briann January,SEA,
Raina Perez,SEA,
Kaela Davis,SEA,
Sue Bird,SEA,
Tina Charles,SEA,
Katie Benzan,WSH,
Rui Machida,WSH,
Kennedy Burke,WSH,
