RGN-WAS,LOU-ORL,POR-NJY,NC-SD,KCC-CHI,HOU-LA,clinched,eliminated
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","[POR,SD]","[LA,KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)","[POR,SD,NC]","[KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)","[POR,SD,NC]","[KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)","[POR,SD]","[LA,CHI,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)","[POR,SD,NC]","[CHI,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)","[POR,SD,NC]","[CHI,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)","[POR,SD]","[LA,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)","[POR,SD,NC]",[KCC]
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)","[POR,SD,NC]",[KCC]
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)","[POR,SD,RGN]","[LA,KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)","[POR,SD,RGN]","[KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)","[POR,SD]","[KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)","(1, 0)","[POR,SD,RGN]","[LA,CHI,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 0)","[POR,SD,RGN]","[CHI,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","[POR,SD]","[CHI,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)","(1, 0)","[POR,SD,RGN]","[LA,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)","[POR,SD,RGN]",[KCC]
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 1)","[POR,SD]",[KCC]
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)","(1, 0)","[SD,POR,RGN]","[LA,KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 0)","[SD,POR,RGN]","[KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)","(0, 1)","[SD,POR]","[KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","[SD,POR,RGN]","[LA,CHI,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","[SD,POR,RGN]","[CHI,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)","[SD,POR]","[CHI,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)","[SD,POR,RGN]","[LA,KCC]"
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)","[SD,POR,RGN]",[KCC]
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)","[SD,POR]",[KCC]
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)","[POR,SD]","[LA,KCC,CHI]"
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)","[POR,SD,NC]","[KCC,CHI]"
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)","[POR,SD,NC]","[KCC,CHI]"
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)","[POR,SD]","[LA,CHI,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)","[POR,SD,NC]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","[POR,SD,NC]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)","(1, 0)","[POR,SD]","[LA,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 0)","[POR,SD,NC]",[KCC]
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)","(0, 1)","[POR,SD,NC]",[KCC]
