POR-NJY,NC-SD,KCC-CHI,HOU-LA,clinched,host,bye,eliminated
"(1, 0)","(1, 0)","(1, 0)","(1, 0)","[POR,SD]","[POR,SD]",[],"[LA,KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(0, 0)","[POR,SD,NC]","[POR,SD]",[],"[KCC,CHI]"
"(1, 0)","(1, 0)","(1, 0)","(0, 1)","[POR,SD,NC]","[POR,SD]",[],"[KCC,CHI]"
"(1, 0)","(1, 0)","(0, 0)","(1, 0)","[POR,SD]","[POR,SD]",[],"[LA,CHI,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(0, 0)","[POR,SD,NC]","[POR,SD]",[],"[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 0)","(0, 1)","[POR,SD,NC]","[POR,SD]",[],"[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(1, 0)","[POR,SD]","[POR,SD]",[],"[LA,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","[POR,SD,NC]","[POR,SD]",[],"[LA,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","[POR,SD,NC]","[POR,SD]",[],"[HOU,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","[POR,SD]","[POR,SD]","[POR,SD]","[LA,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","[POR,SD]","[POR,SD]","[POR,SD]","[KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(0, 1)","[POR,SD]","[POR,SD]","[POR,SD]","[KCC,CHI]"
"(1, 0)","(0, 0)","(0, 0)","(1, 0)","[POR,SD]","[POR,SD]","[POR,SD]","[LA,CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 0)","[POR,SD]","[POR,SD]","[POR,SD]","[CHI,KCC]"
"(1, 0)","(0, 0)","(0, 0)","(0, 1)","[POR,SD]","[POR,SD]","[POR,SD]","[CHI,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(1, 0)","[POR,SD]","[POR,SD]","[POR,SD]","[LA,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 0)","[POR,SD]","[POR,SD]","[POR,SD]","[LA,KCC]"
"(1, 0)","(0, 0)","(0, 1)","(0, 1)","[POR,SD]","[POR,SD]","[POR,SD]","[HOU,KCC]"
"(1, 0)","(0, 1)","(1, 0)","(1, 0)","[SD,POR]","[SD,POR]","[SD,POR]","[LA,KCC,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(0, 0)","[SD,POR]","[SD,POR]","[SD,POR]","[KCC,CHI]"
"(1, 0)","(0, 1)","(1, 0)","(0, 1)","[SD,POR]","[SD,POR]","[SD,POR]","[KCC,CHI]"
"(1, 0)","(0, 1)","(0, 0)","(1, 0)","[SD,POR]","[SD,POR]","[SD,POR]","[LA,CHI,KCC]"
"(1, 0)","(0, 1)","(0, 0)","(0, 0)","[SD,POR]","[SD,POR]","[SD,POR]","[CHI,KCC]"
"(1, 0)","(0, 1)","(0, 0)","(0, 1)","[SD,POR]","[SD,POR]","[SD,POR]","[CHI,KCC]"
"(1, 0)","(0, 1)","(0, 1)","(1, 0)","[SD,POR]","[SD,POR]","[SD,POR]","[LA,KCC]"
"(1, 0)","(0, 1)","(0, 1)","(0, 0)","[SD,POR]","[SD,POR]","[SD,POR]",[KCC]
"(1, 0)","(0, 1)","(0, 1)","(0, 1)","[SD,POR]","[SD,POR]","[SD,POR]",[KCC]
"(0, 0)","(1, 0)","(1, 0)","(1, 0)","[POR,SD]","[POR,SD]",[],"[LA,KCC,CHI]"
"(0, 0)","(1, 0)","(1, 0)","(0, 0)","[POR,SD,NC]","[POR,SD]",[],"[KCC,CHI]"
"(0, 0)","(1, 0)","(1, 0)","(0, 1)","[POR,SD,NC]","[POR,SD]",[],"[KCC,CHI]"
"(0, 0)","(1, 0)","(0, 0)","(1, 0)","[POR,SD]","[POR,SD]",[],"[LA,CHI,KCC]"
"(0, 0)","(1, 0)","(0, 0)","(0, 0)","[POR,SD,NC]","[POR,SD]",[],"[CHI,KCC]"
"(0, 0)","(1, 0)","(0, 0)","(0, 1)","[POR,SD,NC]","[POR,SD]",[],"[CHI,KCC]"
"(0, 0)","(1, 0)","(0, 1)","(1, 0)","[POR,SD]","[POR,SD]",[],"[LA,KCC]"
"(0, 0)","(1, 0)","(0, 1)","(0, 0)","[POR,SD,NC]","[POR,SD]",[],"[LA,KCC]"
"(0, 0)","(1, 0)","(0, 1)","(0, 1)","[POR,SD,NC]","[POR,SD]",[],"[HOU,KCC]"
"(0, 0)","(0, 0)","(1, 0)","(1, 0)","[SD,POR]","[SD,POR]",[],"[LA,KCC,CHI]"
"(0, 0)","(0, 0)","(1, 0)","(0, 0)","[SD,POR]","[SD,POR]",[],"[KCC,CHI]"
"(0, 0)","(0, 0)","(1, 0)","(0, 1)","[SD,POR]","[SD,POR]",[],"[KCC,CHI]"
"(0, 0)","(0, 0)","(0, 0)","(1, 0)","[SD,POR]","[SD,POR]",[],"[LA,CHI,KCC]"
"(0, 0)","(0, 0)","(0, 0)","(0, 0)","[SD,POR]","[SD,POR]",[],"[CHI,KCC]"
"(0, 0)","(0, 0)","(0, 0)","(0, 1)","[SD,POR]","[SD,POR]",[],"[CHI,KCC]"
"(0, 0)","(0, 0)","(0, 1)","(1, 0)","[SD,POR]","[SD,POR]",[],"[LA,KCC]"
