season,team,date
2013,KC,2013-08-04
2013,NJNY,2013-08-07
2013,POR,2013-08-07
2013,WNY,2013-08-07
2014,RGN,2014-07-17
2014,KC,2014-08-02
2014,POR,2014-08-17
2014,CHI,2014-08-20
2015,RGN,2015-08-12
2015,CHI,2015-08-23
2015,KC,2015-08-27
2015,WAS,2015-08-27
2016,WAS,2016-09-03
2016,POR,2016-09-07
2016,CHI,2016-09-24
2016,WNY,2016-09-24
2017,NC,2017-08-30
2017,POR,2017-09-03
2017,CHI,2017-09-23
2017,ORL,2017-09-24
2018,NC,2018-07-14
2018,RGN,2018-08-21
2018,POR,2018-08-25
2018,CHI,2018-09-04
2019,NC,2019-09-17
2019,CHI,2019-09-21
2019,POR,2019-09-21
2019,RGN,2019-09-29
2021,POR,2021-10-10
2021,RGN,2021-10-13
2021,WAS,2021-10-17
2021,CHI,2021-10-29
2021,NJNY,2021-10-30
2021,NC,2021-10-31
2022,POR,2022-09-21
2022,RGN,2022-09-24
2022,SD,2022-09-25
2022,KCC,2022-09-25
2022,HOU,2022-09-30
2022,CHI,2022-10-02
2023,SD,2023-09-30
2023,POR,2023-10-07
2023,NC,2023-10-15
2023,RGN,2023-10-15
2023,LA,2023-10-15
2023,NJNY,2023-10-15
