Date,Result,Diff
2013-04-14,D,0
2013-04-21,L,1
2013-04-26,L,2
2013-05-04,L,1
2013-05-11,L,2
2013-05-16,L,2
2013-05-19,L,3
2013-05-25,L,1
2013-06-09,L,1
2013-06-16,L,2
2013-06-23,D,0
2013-06-26,W,1
2013-06-29,W,2
2013-07-03,D,0
2013-07-11,W,1
2013-07-14,W,1
2013-07-20,L,2
2013-07-25,W,3
2013-08-03,L,2
2013-08-07,L,1
2013-08-10,L,1
2013-08-17,L,1
2014-04-13,W,3
2014-04-23,W,2
2014-04-27,W,2
2014-04-30,W,2
2014-05-03,W,1
2014-05-10,W,1
2014-05-14,W,1
2014-05-21,D,0
2014-05-25,D,0
2014-06-01,W,2
2014-06-07,W,2
2014-06-19,W,2
2014-06-22,W,1
2014-06-28,D,0
2014-07-02,W,1
2014-07-06,W,1
2014-07-12,L,1
2014-07-20,D,0
2014-07-27,W,5
2014-07-30,W,3
2014-08-02,D,0
2014-08-06,W,3
2014-08-09,D,0
2014-08-17,L,1
2014-08-24,W,1
2014-08-31,L,1
2015-04-12,W,4
2015-04-18,L,1
2015-04-23,L,1
2015-05-02,W,2
2015-05-09,D,0
2015-05-30,D,0
2015-06-06,W,3
2015-06-21,W,1
2015-06-27,W,1
2015-07-03,D,0
2015-07-11,W,2
2015-07-18,L,3
2015-07-22,W,1
2015-07-26,W,3
2015-08-01,W,1
2015-08-12,W,1
2015-08-21,W,3
2015-08-26,W,2
2015-08-29,D,0
2015-09-05,W,1
2015-09-13,W,3
2015-10-01,L,1
2016-04-17,L,1
2016-04-24,W,3
2016-05-01,W,1
2016-05-08,L,2
2016-05-14,D,0
2016-05-22,L,1
2016-05-29,D,0
2016-06-12,W,1
2016-06-19,D,0
2016-06-25,D,0
2016-07-02,W,2
2016-07-09,L,1
2016-07-16,D,0
2016-07-23,W,3
2016-07-30,L,1
2016-08-27,W,2
2016-09-04,D,0
2016-09-07,L,1
2016-09-11,W,2
2016-09-25,W,1
2017-04-15,D,0
2017-04-22,W,4
2017-04-29,L,3
2017-05-06,D,0
2017-05-13,W,4
2017-05-21,D,0
2017-05-27,W,2
2017-06-04,L,1
2017-06-17,D,0
2017-06-24,D,0
2017-06-28,W,1
2017-07-01,W,2
2017-07-08,L,2
2017-07-15,D,0
2017-07-22,W,1
2017-08-05,L,1
2017-08-13,L,1
2017-08-16,W,1
2017-08-19,L,1
2017-08-26,L,1
2017-09-03,W,1
2017-09-07,D,0
2017-09-24,L,1
2017-09-30,W,1
2018-03-24,W,1
2018-04-15,W,1
2018-04-18,L,1
2018-04-28,D,0
2018-05-05,W,1
2018-05-12,W,3
2018-05-19,D,0
2018-05-23,L,1
2018-05-26,W,1
2018-06-03,D,0
2018-06-16,D,0
2018-06-23,L,3
2018-06-27,D,0
2018-06-30,W,1
2018-07-07,W,2
2018-07-11,W,1
2018-07-14,L,1
2018-07-21,D,0
2018-08-05,W,2
2018-08-11,W,1
2018-08-15,D,0
2018-08-21,W,2
2018-08-25,D,0
2018-09-07,L,2
2018-09-15,L,1
2019-04-14,D,0
2019-04-21,D,0
2019-04-28,L,3
2019-05-04,D,0
2019-05-18,W,1
2019-05-27,W,1
2019-06-02,D,0
2019-06-15,D,0
2019-06-23,W,1
2019-06-28,W,2
2019-07-05,W,1
2019-07-13,L,2
2019-07-28,L,4
2019-08-02,W,1
2019-08-07,W,1
2019-08-11,L,2
2019-08-18,D,0
2019-08-24,L,1
2019-09-07,W,2
2019-09-14,D,0
2019-09-21,L,1
2019-09-25,W,1
2019-09-29,W,2
2019-10-12,D,0
2019-10-20,L,3
2020-06-30,D,0
2020-07-04,L,2
2020-07-08,W,1
2020-07-13,D,0
2020-07-18,L,1
2020-09-26,D,0
2020-09-30,L,3
2020-10-10,L,1
2020-10-17,W,2
2021-04-16,D,0
2021-04-21,L,2
2021-04-27,W,1
2021-05-03,W,1
2021-05-15,D,0
2021-05-23,W,1
2021-05-30,L,1
2021-06-05,L,1
2021-06-19,L,1
2021-06-22,W,2
2021-06-26,L,3
2021-07-02,L,2
2021-07-11,W,2
2021-07-18,L,2
2021-07-24,W,2
2021-07-31,W,2
2021-08-07,W,4
2021-08-14,L,1
2021-08-21,W,1
2021-08-29,W,1
2021-09-01,W,1
2021-09-04,D,0
2021-09-12,W,3
2021-09-26,W,3
2021-10-10,W,1
2021-10-13,D,0
2021-10-16,L,2
2021-10-30,W,3
2021-11-14,L,1
2022-03-18,D,0
2022-03-26,W,2
2022-04-02,W,1
2022-04-14,W,2
2022-04-17,W,1
2022-04-23,D,0
2022-05-01,L,1
2022-05-04,L,1
2022-05-08,D,0
2022-05-13,D,0
2022-05-22,D,0
2022-05-25,W,1
2022-05-29,W,1
2022-06-04,L,1
2022-06-12,D,0
2022-06-18,W,1
2022-07-01,W,2
2022-07-10,D,0
2022-07-17,L,1
2022-07-30,W,1
2022-08-02,D,0
2022-08-07,L,1
2022-08-14,W,3
2022-08-26,W,1
