Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,Sat,2014-04-12,19:00 (17:00),Kansas City,1–1,Sky Blue,3107,,Dimitar Chavdarov,Match Report,
Regular Season,Sun,2014-04-13,19:00 (16:00),Spirit,1–3,Flash,2306,Maureen Hendricks Field at Maryland Socc...,Miguel Panduro,Match Report,
Regular Season,Sat,2014-04-12,19:00 (17:00),Dash,0–1,Thorns,8097,BBVA Compass Stadium,Christina Unkel,Match Report,
Regular Season,Sun,2014-04-13,19:00,Reign,3–0,Boston,3021,,Katja Koroleva,Match Report,
Regular Season,Sat,2014-04-19,19:00 (16:00),Spirit,3–1,Kansas City,2577,Maureen Hendricks Field at Maryland Socc...,Matt Franz,Match Report,
Regular Season,Sat,2014-04-19,19:00 (16:00),Sky Blue,1–1,Thorns,2983,,Miguel Panduro,Match Report,
Regular Season,Sat,2014-04-19,19:00 (17:00),Red Stars,1–0,Flash,15743,Toyota Park,Christina Unkel,Match Report,
Regular Season,Sun,2014-04-20,19:00 (16:00),Boston,2–3,Dash,2018,,Josh Wilkens,Match Report,
Regular Season,Wed,2014-04-23,19:00,Reign,3–1,Spirit,1754,,Josh Wilkens,Match Report,
Regular Season,Sat,2014-04-26,19:00 (17:00),Red Stars,0–1,Spirit,1822,,Mark Allatin,Match Report,
Regular Season,Sun,2014-04-27,19:00 (16:00),Boston,3–2,Sky Blue,1263,,Juliana Duncan,Match Report,
Regular Season,Sat,2014-04-26,19:00,Thorns,3–1,Kansas City,14124,Providence Park,Katja Koroleva,Match Report,
Regular Season,Sun,2014-04-27,19:00,Reign,2–0,Dash,2290,,Dimitar Chavdarov,Match Report,
Regular Season,Wed,2014-04-30,19:00 (16:00),Sky Blue,0–2,Reign,775,,Matt Franz,Match Report,
Regular Season,Wed,2014-04-30,19:00 (17:00),Kansas City,1–0,Red Stars,1679,,Josh Wilkens,Match Report,
Regular Season,Sat,2014-05-03,19:00 (16:00),Spirit,1–2,Reign,4667,Maureen Hendricks Field at Maryland Socc...,Elvis Mahmutovic,Match Report,
Regular Season,Sat,2014-05-03,19:00 (16:00),Flash,1–1,Thorns,3674,,Matt Franz,Match Report,
Regular Season,Sat,2014-05-03,19:00 (16:00),Sky Blue,1–0,Boston,1294,,Mark Allatin,Match Report,
Regular Season,Sat,2014-05-03,19:00 (17:00),Dash,0–4,Kansas City,5198,BBVA Compass Stadium,Juliana Duncan,Match Report,
Regular Season,Wed,2014-05-07,19:00 (16:00),Sky Blue,1–1,Red Stars,604,,Dimitar Chavdarov,Match Report,
Regular Season,Wed,2014-05-07,19:00 (16:00),Flash,2–1,Kansas City,2463,,Mark Allatin,Match Report,
Regular Season,Sat,2014-05-10,19:00,Thorns,0–1,Reign,14128,Providence Park,Boris Senic,Match Report,
Regular Season,Sun,2014-05-11,19:00 (16:00),Flash,2–0,Sky Blue,3107,,Elvis Mahmutovic,Match Report,
Regular Season,Sun,2014-05-11,19:00 (17:00),Kansas City,2–1,Spirit,1797,,Matthew Mercier,Match Report,
Regular Season,Sun,2014-05-11,19:00 (17:00),Red Stars,1–0,Dash,1039,,Miguel Panduro,Match Report,
Regular Season,Thu,2014-05-15,19:00 (16:00),Boston,1–3,Red Stars,1696,,Mark Allatin,Match Report,
Regular Season,Wed,2014-05-14,19:00,Reign,3–2,Kansas City,2875,,Timon Berry,Match Report,
Regular Season,Wed,2014-05-14,19:00 (17:00),Dash,0–1,Thorns,3931,BBVA Compass Stadium,Josh Wilkens,Match Report,
Regular Season,Sat,2014-05-17,19:00 (16:00),Spirit,3–2,Flash,4598,Maureen Hendricks Field at Maryland Socc...,Katja Koroleva,Match Report,
Regular Season,Sun,2014-05-18,19:00 (16:00),Boston,1–4,Red Stars,2123,,Kristen Salazar,Match Report,
Regular Season,Sun,2014-05-18,19:00 (17:00),Kansas City,2–2,Dash,1483,,Elvis Mahmutovic,Match Report,
Regular Season,Wed,2014-05-21,19:00 (16:00),Spirit,3–3,Sky Blue,2545,Maureen Hendricks Field at Maryland Socc...,Boris Senic,Match Report,
Regular Season,Wed,2014-05-21,19:00 (17:00),Kansas City,1–1,Reign,2011,,Dimitar Chavdarov,Match Report,
Regular Season,Wed,2014-05-21,19:00,Thorns,2–1,Flash,10920,Providence Park,Mark Allatin,Match Report,
Regular Season,Fri,2014-05-23,19:00 (17:00),Dash,1–3,Red Stars,4868,BBVA Compass Stadium,Timon Berry,Match Report,
Regular Season,Sat,2014-05-24,19:00,Thorns,0–1,Sky Blue,13427,Providence Park,Bernhard Hosu,Match Report,
Regular Season,Sun,2014-05-25,19:00 (16:00),Boston,0–2,Kansas City,2622,,Katja Koroleva,Match Report,
Regular Season,Mon,2014-05-26,19:00 (16:00),Spirit,3–2,Dash,2865,Maureen Hendricks Field at Maryland Socc...,Matt Franz,Match Report,
Regular Season,Sun,2014-05-25,19:00,Reign,2–2,Flash,4018,,Josh Wilkens,Match Report,
Regular Season,Wed,2014-05-28,19:00 (16:00),Boston,4–1,Thorns,1556,,Boris Senic,Match Report,
Regular Season,Wed,2014-05-28,19:00 (16:00),Sky Blue,0–2,Red Stars,786,,Matthew Mercier,Match Report,
Regular Season,Sat,2014-05-31,19:00 (16:00),Flash,1–2,Dash,3555,,Kristen Salazar,Match Report,
Regular Season,Sun,2014-06-01,19:00 (16:00),Sky Blue,1–3,Reign,2876,,Christina Unkel,Match Report,
Regular Season,Sun,2014-06-01,19:00 (16:00),Boston,2–3,Spirit,2876,,Juliana Duncan,Match Report,
Regular Season,Wed,2014-06-04,19:00 (17:00),Red Stars,0–1,Spirit,1450,,Josh Wilkens,Match Report,
Regular Season,Wed,2014-06-04,19:00 (17:00),Kansas City,1–0,Flash,2674,,Christopher Spivey,Match Report,
Regular Season,Sat,2014-06-07,19:00,Thorns,0–5,Flash,13838,Providence Park,Juliana Duncan,Match Report,
Regular Season,Sat,2014-06-07,19:00 (17:00),Kansas City,2–0,Boston,1457,,Greg Dopka,Match Report,
Regular Season,Sun,2014-06-08,19:00 (16:00),Sky Blue,0–3,Dash,1457,,Michael Zapata,Match Report,
Regular Season,Sat,2014-06-07,19:00,Reign,3–1,Red Stars,4222,,Dimitar Chavdarov,Match Report,
Regular Season,Wed,2014-06-11,19:00 (16:00),Boston,2–0,Spirit,1429,,Timon Berry,Match Report,
Regular Season,Wed,2014-06-11,19:00 (17:00),Dash,2–1,Flash,4483,BBVA Compass Stadium,Matthew Mercier,Match Report,
Regular Season,Sat,2014-06-14,19:00 (17:00),Dash,1–2,Kansas City,3852,BBVA Compass Stadium,Bernhard Hosu,Match Report,
Regular Season,Sun,2014-06-15,19:00 (17:00),Red Stars,2–2,Sky Blue,1211,,Juliana Duncan,Match Report,
Regular Season,Sun,2014-06-15,19:00,Thorns,2–0,Spirit,10056,Providence Park,Michael Zapata,Match Report,
Regular Season,Wed,2014-06-18,19:00 (16:00),Flash,2–0,Red Stars,1786,,Mark Allatin,Match Report,
Regular Season,Thu,2014-06-19,19:00 (16:00),Boston,0–2,Reign,2714,,David Mon,Match Report,
Regular Season,Sat,2014-06-21,19:00 (16:00),Spirit,1–6,Thorns,3806,Maureen Hendricks Field at Maryland Socc...,Kristen Salazar,Match Report,
Regular Season,Sun,2014-06-22,19:00 (16:00),Sky Blue,1–1,Boston,1212,,Greg Dopka,Match Report,
Regular Season,Sun,2014-06-22,19:00 (16:00),Flash,1–2,Reign,3444,,Boris Senic,Match Report,
Regular Season,Sat,2014-06-21,19:00 (17:00),Kansas City,1–0,Red Stars,1493,,Christina Unkel,Match Report,
Regular Season,Wed,2014-06-25,19:00,Thorns,1–2,Sky Blue,10477,Providence Park,Bernhard Hosu,Match Report,
Regular Season,Fri,2014-06-27,19:00 (16:00),Flash,2–1,Boston,2837,,Christina Unkel,Match Report,
Regular Season,Sat,2014-06-28,19:00,Reign,0–0,Sky Blue,5770,,Christopher Spivey,Match Report,
Regular Season,Sat,2014-06-28,19:00 (17:00),Dash,0–1,Spirit,4050,BBVA Compass Stadium,Margaret Domka,Match Report,
Regular Season,Sat,2014-06-28,19:00 (17:00),Kansas City,1–0,Thorns,2421,,Josh Wilkens,Match Report,
Regular Season,Wed,2014-07-02,19:00 (16:00),Spirit,3–3,Boston,2673,Maureen Hendricks Field at Maryland Socc...,Dimitar Chavdarov,Match Report,
Regular Season,Wed,2014-07-02,19:00 (16:00),Flash,1–2,Reign,3789,,Greg Dopka,Match Report,
Regular Season,Fri,2014-07-04,19:00,Thorns,2–2,Red Stars,13084,Providence Park,Timon Berry,Match Report,
Regular Season,Sat,2014-07-05,19:00 (17:00),Dash,1–4,Flash,3693,BBVA Compass Stadium,Katja Koroleva,Match Report,
Regular Season,Sun,2014-07-06,19:00 (16:00),Sky Blue,0–5,Kansas City,1349,,Margaret Domka,Match Report,
Regular Season,Sun,2014-07-06,19:00,Reign,3–2,Boston,3705,,Mark Allatin,Match Report,
Regular Season,Wed,2014-07-09,19:00 (17:00),Red Stars,1–1,Thorns,2101,,Boris Senic,Match Report,
Regular Season,Fri,2014-07-11,19:00 (17:00),Dash,2–1,Boston,4063,BBVA Compass Stadium,Bernhard Hosu,Match Report,
Regular Season,Sat,2014-07-12,19:00 (16:00),Flash,0–1,Spirit,3134,,Christopher Spivey,Match Report,
Regular Season,Sat,2014-07-12,19:00 (17:00),Red Stars,1–0,Reign,3032,,Margaret Domka,Match Report,
Regular Season,Sun,2014-07-13,19:00,Thorns,7–1,Kansas City,9672,Providence Park,Christina Unkel,Match Report,
Regular Season,Thu,2014-07-17,19:00 (17:00),Red Stars,1–1,Thorns,2014,,Josh Wilkens,Match Report,
Regular Season,Fri,2014-07-18,19:00 (16:00),Flash,1–1,Kansas City,2916,,Elvis Mahmutovic,Match Report,
Regular Season,Thu,2014-07-17,19:00 (17:00),Dash,1–1,Spirit,3561,BBVA Compass Stadium,Michael Zapata,Match Report,
Regular Season,Sun,2014-07-20,19:00 (16:00),Sky Blue,4–2,Spirit,1740,,Bernhard Hosu,Match Report,
Regular Season,Sun,2014-07-20,19:00,Reign,1–1,Red Stars,3030,,David Mon,Match Report,
Regular Season,Sun,2014-07-20,19:00,Thorns,6–3,Boston,14383,Providence Park,Margaret Domka,Match Report,
Regular Season,Wed,2014-07-23,19:00 (16:00),Spirit,1–1,Thorns,3854,Maureen Hendricks Field at Maryland Socc...,Katja Koroleva,Match Report,
Regular Season,Fri,2014-07-25,19:00 (16:00),Flash,2–4,Boston,3081,,Timon Berry,Match Report,
Regular Season,Sat,2014-07-26,19:00 (17:00),Red Stars,0–0,Dash,1494,,Christina Unkel,Match Report,
Regular Season,Sun,2014-07-27,19:00,Reign,5–0,Thorns,5957,,Boris Senic,Match Report,
Regular Season,Sun,2014-07-27,19:00 (17:00),Kansas City,2–1,Sky Blue,1852,,David Mon,Match Report,
Regular Season,Wed,2014-07-30,19:00 (16:00),Spirit,2–1,Kansas City,2744,Maureen Hendricks Field at Maryland Socc...,Kristen Salazar,Match Report,
Regular Season,Thu,2014-07-31,19:00 (16:00),Sky Blue,1–0,Flash,3471,,Josh Wilkens,Match Report,
Regular Season,Wed,2014-07-30,19:00 (17:00),Dash,1–4,Reign,4862,BBVA Compass Stadium,Timon Berry,Match Report,
Regular Season,Sat,2014-08-02,19:00 (16:00),Spirit,2–1,Red Stars,3102,Maureen Hendricks Field at Maryland Socc...,Christopher Spivey,Match Report,
Regular Season,Sat,2014-08-02,19:00 (17:00),Kansas City,1–1,Reign,3029,,Bernhard Hosu,Match Report,
Regular Season,Sun,2014-08-03,19:00 (16:00),Boston,3–4,Flash,3754,,Mark Allatin,Match Report,
Regular Season,Sun,2014-08-03,19:00,Thorns,1–0,Dash,19123,Providence Park,Katja Koroleva,Match Report,
Regular Season,Wed,2014-08-06,19:00,Reign,4–1,Dash,3875,,Michael Zapata,Match Report,
Regular Season,Wed,2014-08-06,19:00 (17:00),Kansas City,2–1,Boston,1212,,David Mon,Match Report,
Regular Season,Sat,2014-08-09,19:00 (17:00),Red Stars,2–1,Kansas City,2111,,Katja Koroleva,Match Report,
Regular Season,Sun,2014-08-10,19:00 (16:00),Boston,2–0,Thorns,4191,,Timon Berry,Match Report,
Regular Season,Sat,2014-08-09,19:00 (17:00),Dash,1–3,Sky Blue,5143,BBVA Compass Stadium,Mark Allatin,Match Report,
Regular Season,Sat,2014-08-09,19:00,Reign,1–1,Spirit,3479,,Elvis Mahmutovic,Match Report,
Regular Season,Wed,2014-08-13,19:00 (16:00),Flash,2–3,Sky Blue,4339,,Christopher Spivey,Match Report,
Regular Season,Wed,2014-08-13,19:00 (17:00),Red Stars,2–0,Boston,1311,,Bernhard Hosu,Match Report,
Regular Season,Sat,2014-08-16,19:00 (16:00),Spirit,0–1,Sky Blue,4282,Maureen Hendricks Field at Maryland Socc...,David Mon,Match Report,
Regular Season,Sun,2014-08-17,19:00 (16:00),Boston,1–0,Dash,3006,,Matt Franz,Match Report,
Regular Season,Sat,2014-08-16,19:00 (17:00),Red Stars,3–3,Flash,2065,,Boris Senic,Match Report,
Regular Season,Sun,2014-08-17,19:00,Thorns,1–0,Reign,17109,Providence Park,Elvis Mahmutovic,Match Report,
Regular Season,Wed,2014-08-20,19:00 (16:00),Sky Blue,1–0,Dash,1328,,Bernhard Hosu,Match Report,
Semi-finals,Sat,2014-08-23,19:00 (17:00),Kansas City,2–0,Thorns,2997,,Christopher Spivey,Match Report,
Semi-finals,Sun,2014-08-24,19:00,Reign,2–1,Spirit,4540,,Timon Berry,Match Report,
Final,Sun,2014-08-31,19:00,Reign,1–2,Kansas City,4252,,Margaret Domka,Match Report,
