date,season,team_score,opp_score,result
2013-04-14,2013,1,1,D
2013-04-21,2013,1,2,L
2013-04-26,2013,0,2,L
2013-05-04,2013,0,1,L
2013-05-11,2013,0,2,L
2013-05-16,2013,2,4,L
2013-05-19,2013,0,3,L
2013-05-25,2013,0,1,L
2013-06-09,2013,0,1,L
2013-06-16,2013,0,2,L
2013-06-23,2013,1,1,D
2013-06-26,2013,2,1,W
2013-06-29,2013,3,1,W
2013-07-03,2013,1,1,D
2013-07-11,2013,3,2,W
2013-07-14,2013,2,1,W
2013-07-20,2013,0,2,L
2013-07-25,2013,4,1,W
2013-08-03,2013,1,3,L
2013-08-07,2013,0,1,L
2013-08-10,2013,0,1,L
2013-08-17,2013,1,2,L
2014-04-13,2014,3,0,W
2014-04-23,2014,3,1,W
2014-04-27,2014,2,0,W
2014-04-30,2014,2,0,W
2014-05-03,2014,2,1,W
2014-05-10,2014,1,0,W
2014-05-14,2014,3,2,W
2014-05-21,2014,1,1,D
2014-05-25,2014,2,2,D
2014-06-01,2014,3,1,W
2014-06-07,2014,3,1,W
2014-06-19,2014,2,0,W
2014-06-22,2014,2,1,W
2014-06-28,2014,0,0,D
2014-07-02,2014,2,1,W
2014-07-06,2014,3,2,W
2014-07-12,2014,0,1,L
2014-07-20,2014,1,1,D
2014-07-27,2014,5,0,W
2014-07-30,2014,4,1,W
2014-08-02,2014,1,1,D
2014-08-06,2014,4,1,W
2014-08-09,2014,1,1,D
2014-08-17,2014,0,1,L
2015-04-12,2015,5,1,W
2015-04-18,2015,2,3,L
2015-04-23,2015,0,1,L
2015-05-02,2015,3,1,W
2015-05-09,2015,1,1,D
2015-05-30,2015,0,0,D
2015-06-06,2015,3,0,W
2015-06-21,2015,3,2,W
2015-06-27,2015,2,1,W
2015-07-03,2015,1,1,D
2015-07-11,2015,4,2,W
2015-07-18,2015,0,3,L
2015-07-22,2015,1,0,W
2015-07-26,2015,3,0,W
2015-08-01,2015,2,1,W
2015-08-12,2015,2,1,W
2015-08-21,2015,3,0,W
2015-08-26,2015,3,1,W
2015-08-29,2015,1,1,D
2015-09-05,2015,2,1,W
2016-04-17,2016,1,2,L
2016-04-24,2016,3,0,W
2016-05-01,2016,1,0,W
2016-05-08,2016,0,2,L
2016-05-14,2016,1,1,D
2016-05-22,2016,1,2,L
2016-05-29,2016,0,0,D
2016-06-12,2016,1,0,W
2016-06-19,2016,0,0,D
2016-06-25,2016,0,0,D
2016-07-02,2016,2,0,W
2016-07-09,2016,2,3,L
2016-07-16,2016,1,1,D
2016-07-23,2016,5,2,W
2016-07-30,2016,0,1,L
2016-08-27,2016,3,1,W
2016-09-04,2016,2,2,D
2016-09-07,2016,1,2,L
2016-09-11,2016,2,0,W
2016-09-25,2016,3,2,W
2017-04-15,2017,1,1,D
2017-04-22,2017,5,1,W
2017-04-29,2017,0,3,L
2017-05-06,2017,2,2,D
2017-05-13,2017,6,2,W
2017-05-21,2017,1,1,D
2017-05-27,2017,2,0,W
2017-06-04,2017,0,1,L
2017-06-17,2017,2,2,D
2017-06-24,2017,1,1,D
2017-06-28,2017,2,1,W
2017-07-01,2017,2,0,W
2017-07-08,2017,0,2,L
