date,time,home,away,is_challenge_cup
2022-04-29,19:30:00,LA,NC,False
2022-04-30,15:00:00,POR,KC,False
2022-04-30,19:00:00,CHI,LOU,False
2022-05-01,17:00:00,WAS,RGN,False
2022-05-01,18:00:00,HOU,SD,False
2022-05-01,19:00:00,ORL,NJY,False
2022-05-07,19:00:00,SD,NJY,False
2022-05-08,16:00:00,KC,HOU,False
2022-05-08,15:00:00,RGN,LOU,False
2022-05-08,17:00:00,LA,ORL,False
2022-05-13,19:30:00,POR,RGN,False
2022-05-14,18:30:00,ORL,KC,False
2022-05-14,20:00:00,LOU,HOU,False
2022-05-15,14:00:00,SD,CHI,False
2022-05-15,17:00:00,WAS,LA,False
2022-05-18,19:00:00,NC,ORL,False
2022-05-18,19:30:00,LOU,SD,False
2022-05-18,19:00:00,POR,WAS,False
2022-05-21,15:00:00,POR,HOU,False
2022-05-21,19:30:00,LA,KC,False
2022-05-22,14:00:00,NC,SD,False
2022-05-22,17:00:00,NJY,LOU,False
2022-05-22,15:00:00,RGN,WAS,False
2022-05-22,19:00:00,ORL,CHI,False
2022-05-25,19:00:00,RGN,KC,False
2022-05-27,19:00:00,ORL,WAS,False
2022-05-28,19:00:00,CHI,POR,False
2022-05-29,12:00:00,RGN,SD,False
2022-05-29,18:00:00,HOU,NC,False
2022-05-29,17:00:00,LA,NJY,False
2022-05-30,14:00:00,KC,LOU,False
2022-06-01,19:30:00,WAS,CHI,False
2022-06-03,19:30:00,HOU,ORL,False
2022-06-03,19:30:00,POR,LA,False
2022-06-04,14:00:00,CHI,RGN,False
2022-06-04,19:00:00,NJY,WAS,False
2022-06-04,20:00:00,LOU,NC,False
2022-06-04,19:30:00,KC,SD,False
2022-06-07,19:00:00,LA,HOU,False
2022-06-08,19:00:00,CHI,WAS,False
2022-06-08,19:00:00,SD,POR,False
2022-06-11,19:00:00,WAS,NC,False
2022-06-11,20:00:00,LOU,LA,False
2022-06-11,19:30:00,KC,NJY,False
2022-06-12,14:00:00,SD,RGN,False
2022-06-12,17:00:00,CHI,ORL,False
2022-06-12,18:00:00,HOU,POR,False
2022-06-17,19:30:00,WAS,LOU,False
2022-06-18,19:30:00,KC,CHI,False
2022-06-18,19:00:00,RGN,LA,False
2022-06-19,12:00:00,POR,ORL,False
2022-06-19,16:00:00,NJY,SD,False
2022-06-19,17:00:00,NC,HOU,False
2022-07-01,19:30:00,HOU,KC,False
2022-07-01,19:00:00,RGN,NC,False
2022-07-01,19:30:00,LA,POR,False
2022-07-02,19:00:00,NJY,CHI,False
2022-07-03,14:00:00,SD,WAS,False
2022-07-03,20:00:00,ORL,LOU,False
2022-07-08,19:00:00,ORL,HOU,False
2022-07-08,20:00:00,LOU,NJY,False
2022-07-09,19:30:00,LA,SD,False
2022-07-10,17:00:00,WAS,KC,False
2022-07-10,17:00:00,CHI,NC,False
2022-07-10,15:00:00,RGN,POR,False
2022-07-15,19:00:00,SD,LOU,False
2022-07-16,19:30:00,HOU,CHI,False
2022-07-16,19:30:00,POR,NJY,False
2022-07-17,17:00:00,WAS,ORL,False
2022-07-17,18:00:00,KC,RGN,False
2022-07-29,19:30:00,NC,WAS,False
2022-07-29,20:00:00,LOU,POR,False
2022-07-30,19:00:00,CHI,SD,False
2022-07-30,19:30:00,LA,RGN,False
2022-07-31,17:00:00,NJY,HOU,False
2022-07-31,18:00:00,KC,ORL,False
2022-08-02,20:00:00,LOU,RGN,False
2022-08-05,20:00:00,LOU,WAS,False
2022-08-05,19:30:00,POR,NC,False
2022-08-07,14:00:00,SD,KC,False
2022-08-07,17:00:00,CHI,NJY,False
2022-08-07,15:00:00,RGN,HOU,False
2022-08-07,19:00:00,ORL,LA,False
2022-08-10,20:30:00,WAS,POR,False
2022-08-12,19:30:00,HOU,LOU,False
2022-08-13,20:00:00,NC,KC,False
2022-08-13,19:30:00,SD,ORL,False
2022-08-14,12:00:00,RGN,NJY,False
2022-08-14,17:00:00,LA,CHI,False
2022-08-17,19:30:00,HOU,NJY,False
2022-08-19,19:00:00,KC,LA,False
2022-08-20,19:00:00,NJY,ORL,False
2022-08-20,19:00:00,NC,CHI,False
2022-08-20,19:00:00,SD,HOU,False
2022-08-24,19:00:00,NC,POR,False
2022-08-26,19:30:00,ORL,RGN,False
2022-08-27,19:30:00,LOU,CHI,False
2022-08-27,19:30:00,HOU,WAS,False
2022-08-27,19:30:00,POR,SD,False
2022-08-28,17:00:00,NJY,LA,False
2022-08-28,18:00:00,KC,NC,False
2022-09-04,17:00:00,NJY,NC,False
2022-09-09,19:00:00,ORL,POR,False
2022-09-09,19:00:00,RGN,CHI,False
2022-09-10,13:00:00,WAS,SD,False
2022-09-10,19:00:00,NC,LOU,False
2022-09-11,18:00:00,NJY,KC,False
2022-09-11,18:00:00,HOU,LA,False
2022-09-14,19:00:00,NC,LA,False
2022-09-14,19:00:00,CHI,KC,False
2022-09-16,19:30:00,LOU,ORL,False
2022-09-17,19:00:00,WAS,NJY,False
2022-09-17,19:30:00,NC,RGN,False
2022-09-17,19:00:00,CHI,HOU,False
2022-09-17,19:00:00,SD,LA,False
2022-09-18,16:00:00,KC,POR,False
2022-09-21,19:00:00,NJY,RGN,False
2022-09-21,19:00:00,ORL,NC,False
2022-09-21,19:00:00,POR,LOU,False
2022-09-21,19:30:00,LA,WAS,False
2022-09-24,19:00:00,NC,NJY,False
2022-09-24,19:30:00,HOU,RGN,False
2022-09-25,13:00:00,POR,CHI,False
2022-09-25,16:00:00,KC,WAS,False
2022-09-25,19:00:00,ORL,SD,False
2022-09-25,17:00:00,LA,LOU,False
2022-09-30,19:00:00,SD,NC,False
2022-10-01,18:00:00,NJY,POR,False
2022-10-01,19:00:00,WAS,HOU,False
2022-10-01,19:30:00,LOU,KC,False
2022-10-01,19:00:00,RGN,ORL,False
2022-10-02,17:00:00,CHI,LA,False
2022-10-16,16:00:00,HOU,KC,False
2022-10-16,19:00:00,SD,CHI,False
2022-10-23,14:00:00,POR,SD,False
2022-10-23,16:30:00,RGN,KC,False
