season,team,points,goals_for,goals_against,goals_diff,wins,draws,losses
2022,RGN,40,32,19,13,11.0,7.0,4.0
2022,POR,39,49,24,25,10.0,9.0,3.0
2022,SD,36,32,21,11,10.0,6.0,6.0
2022,HOU,36,35,27,8,10.0,6.0,6.0
2022,KCC,36,29,29,0,10.0,6.0,6.0
2022,CHI,33,34,28,6,9.0,6.0,7.0
2022,NC,32,46,33,13,9.0,5.0,8.0
2022,LA,29,23,27,-4,8.0,5.0,9.0
2022,LOU,23,23,35,-12,5.0,8.0,9.0
2022,ORL,22,22,45,-23,5.0,7.0,10.0
2022,WAS,19,26,33,-7,3.0,10.0,9.0
2022,NJNY,13,16,46,-30,4.0,1.0,17.0
2023,SD,37,31,22,9,11.0,4.0,7.0
2023,POR,35,42,32,10,10.0,5.0,7.0
2023,NC,33,29,22,7,9.0,6.0,7.0
2023,RGN,32,29,24,5,9.0,5.0,8.0
2023,LA,31,31,30,1,8.0,7.0,7.0
2023,NJNY,31,25,24,1,8.0,7.0,7.0
2023,ORL,31,27,28,-1,10.0,1.0,11.0
2023,WAS,30,26,29,-3,7.0,9.0,6.0
2023,LOU,27,25,24,1,6.0,9.0,7.0
2023,HOU,26,16,18,-2,6.0,8.0,8.0
2023,KCC,26,30,36,-6,8.0,2.0,12.0
2023,CHI,24,28,50,-22,7.0,3.0,12.0
