season,team,points,goals_for,goals_against,goal_differential
2022,CHI,19,17,10,7
2022,HOU,15,16,12,4
2022,NJY,12,7,18,-11
2022,RGN,16,9,6,3
2022,ORL,9,11,26,-15
2022,POR,17,22,8,14
2022,WAS,9,10,12,-2
2022,NC,9,17,19,-2
2022,KCC,12,10,14,-4
2022,LOU,10,12,16,-4
2022,LA,14,8,10,-2
2022,SD,18,16,8,8
2023,CHI,10,14,23,-9
2023,HOU,15,9,9,0
2023,NJY,17,12,9,3
2023,RGN,16,17,13,4
2023,ORL,10,7,15,-8
2023,POR,19,25,11,14
2023,WAS,17,13,9,4
2023,NC,14,10,11,-1
2023,KCC,9,10,18,-8
2023,LOU,11,13,12,1
2023,LA,9,13,19,-6
2023,SD,19,17,11,6
