date,home,away,is_challenge_cup,is_playoff,home_goals,away_goals,home_penalty,away_penalty,won_on_penalties
2023-03-25,NC,KC,False,True,1,0,0,0,False
2023-03-25,SD,CHI,False,True,3,2,0,0,False
2023-03-26,WAS,RGN,False,True,1,0,0,0,False
2023-03-26,POR,ORL,False,True,4,0,0,0,False
2023-03-26,HOU,LOU,False,True,0,0,0,0,False
2023-03-26,LA,NJY,False,True,1,2,0,0,False
2023-04-01,KC,POR,False,True,0,0,0,0,False
2023-04-01,LOU,WAS,False,True,0,0,0,0,False
2023-04-01,NJY,RGN,False,True,0,0,0,0,False
2023-04-01,CHI,HOU,False,True,0,0,0,0,False
2023-04-01,SD,NC,False,True,0,0,0,0,False
2023-04-02,ORL,LA,False,True,0,0,0,0,False
2023-04-14,POR,HOU,False,True,0,0,0,0,False
2023-04-15,NC,WAS,False,True,0,0,0,0,False
2023-04-15,ORL,NJY,False,True,0,0,0,0,False
2023-04-15,LA,LOU,False,True,0,0,0,0,False
2023-04-15,RGN,SD,False,True,0,0,0,0,False
2023-04-15,CHI,KC,False,True,0,0,0,0,False
2023-04-19,ORL,NC,True,True,0,0,0,0,False
2023-04-19,LA,RGN,True,True,0,0,0,0,False
2023-04-19,SD,POR,True,True,0,0,0,0,False
2023-04-19,HOU,KC,True,True,0,0,0,0,False
2023-04-19,NJY,WAS,True,True,0,0,0,0,False
2023-04-22,RGN,CHI,False,True,0,0,0,0,False
2023-04-22,POR,LOU,False,True,0,0,0,0,False
2023-04-22,WAS,HOU,False,True,0,0,0,0,False
2023-04-22,NJY,NC,False,True,0,0,0,0,False
2023-04-23,KC,ORL,False,True,0,0,0,0,False
2023-04-23,LA,SD,False,True,0,0,0,0,False
2023-04-28,HOU,NC,False,True,0,0,0,0,False
2023-04-29,POR,LA,False,True,0,0,0,0,False
2023-04-29,SD,ORL,False,True,0,0,0,0,False
2023-04-29,CHI,WAS,False,True,0,0,0,0,False
2023-04-29,LOU,RGN,False,True,0,0,0,0,False
2023-04-30,KC,NJY,False,True,0,0,0,0,False
2023-05-03,NC,NJY,True,True,0,0,0,0,False
2023-05-03,HOU,CHI,True,True,0,0,0,0,False
2023-05-03,RGN,LA,True,True,0,0,0,0,False
2023-05-06,NC,POR,False,True,0,0,0,0,False
2023-05-06,RGN,HOU,False,True,0,0,0,0,False
2023-05-06,WAS,SD,False,True,0,0,0,0,False
2023-05-06,ORL,LOU,False,True,0,0,0,0,False
2023-05-07,CHI,NJY,False,True,0,0,0,0,False
2023-05-07,LA,KC,False,True,0,0,0,0,False
2023-05-10,WAS,ORL,True,True,0,0,0,0,False
2023-05-12,LOU,CHI,False,True,0,0,0,0,False
2023-05-12,HOU,POR,False,True,0,0,0,0,False
2023-05-13,LA,WAS,False,True,0,0,0,0,False
2023-05-14,KC,SD,False,True,0,0,0,0,False
2023-05-14,NJY,ORL,False,True,0,0,0,0,False
2023-05-14,NC,RGN,False,True,0,0,0,0,False
2023-05-17,LOU,KC,True,True,0,0,0,0,False
2023-05-20,HOU,SD,False,True,0,0,0,0,False
2023-05-20,ORL,WAS,False,True,0,0,0,0,False
2023-05-20,KC,LOU,False,True,0,0,0,0,False
2023-05-20,NC,LA,False,True,0,0,0,0,False
2023-05-21,POR,CHI,False,True,0,0,0,0,False
2023-05-21,RGN,NJY,False,True,0,0,0,0,False
2023-05-26,SD,POR,False,True,0,0,0,0,False
2023-05-26,KC,HOU,False,True,0,0,0,0,False
2023-05-27,CHI,ORL,False,True,0,0,0,0,False
2023-05-27,LOU,NC,False,True,0,0,0,0,False
2023-05-27,RGN,LA,False,True,0,0,0,0,False
2023-05-28,WAS,NJY,False,True,0,0,0,0,False
2023-05-31,CHI,LOU,True,True,0,0,0,0,False
2023-05-31,SD,RGN,True,True,0,0,0,0,False
2023-05-31,POR,LA,True,True,0,0,0,0,False
2023-06-03,WAS,LOU,False,True,0,0,0,0,False
2023-06-03,RGN,POR,False,True,0,0,0,0,False
2023-06-03,HOU,ORL,False,True,0,0,0,0,False
2023-06-03,KC,NC,False,True,0,0,0,0,False
2023-06-04,NJY,SD,False,True,0,0,0,0,False
2023-06-04,LA,CHI,False,True,0,0,0,0,False
2023-06-07,NJY,ORL,True,True,0,0,0,0,False
2023-06-09,LOU,SD,False,True,0,0,0,0,False
2023-06-09,CHI,NC,False,True,0,0,0,0,False
2023-06-10,RGN,KC,False,True,0,0,0,0,False
2023-06-10,WAS,LA,False,True,0,0,0,0,False
2023-06-11,ORL,POR,False,True,0,0,0,0,False
2023-06-11,HOU,NJY,False,True,0,0,0,0,False
2023-06-14,KC,CHI,True,True,0,0,0,0,False
2023-06-14,LOU,HOU,True,True,0,0,0,0,False
2023-06-14,WAS,NC,True,True,0,0,0,0,False
2023-06-17,NC,ORL,False,True,0,0,0,0,False
2023-06-17,HOU,RGN,False,True,0,0,0,0,False
2023-06-17,SD,LA,False,True,0,0,0,0,False
2023-06-18,CHI,POR,False,True,0,0,0,0,False
2023-06-18,KC,WAS,False,True,0,0,0,0,False
2023-06-18,LOU,NJY,False,True,0,0,0,0,False
2023-06-23,POR,WAS,False,True,0,0,0,0,False
2023-06-24,ORL,KC,False,True,0,0,0,0,False
2023-06-24,NC,LOU,False,True,0,0,0,0,False
2023-06-24,SD,RGN,False,True,0,0,0,0,False
2023-06-25,LA,HOU,False,True,0,0,0,0,False
2023-06-25,NJY,CHI,False,True,0,0,0,0,False
2023-06-28,ORL,NJY,True,True,0,0,0,0,False
2023-06-28,POR,RGN,True,True,0,0,0,0,False
2023-06-28,LA,SD,True,True,0,0,0,0,False
2023-07-01,POR,KC,False,True,0,0,0,0,False
2023-07-01,CHI,SD,False,True,0,0,0,0,False
2023-07-01,NC,HOU,False,True,0,0,0,0,False
2023-07-01,WAS,ORL,False,True,0,0,0,0,False
2023-07-01,RGN,LOU,False,True,0,0,0,0,False
2023-07-02,NJY,LA,False,True,0,0,0,0,False
2023-07-07,LOU,KC,False,True,0,0,0,0,False
2023-07-07,HOU,CHI,False,True,0,0,0,0,False
2023-07-07,ORL,RGN,False,True,0,0,0,0,False
2023-07-08,SD,WAS,False,True,0,0,0,0,False
2023-07-09,NJY,POR,False,True,0,0,0,0,False
2023-07-09,LA,NC,False,True,0,0,0,0,False
2023-07-21,POR,SD,True,True,0,0,0,0,False
2023-07-21,LOU,CHI,True,True,0,0,0,0,False
2023-07-22,KC,HOU,True,True,0,0,0,0,False
2023-07-22,NC,WAS,True,True,0,0,0,0,False
2023-07-28,RGN,SD,True,True,0,0,0,0,False
2023-07-28,WAS,NJY,True,True,0,0,0,0,False
2023-07-29,CHI,KC,True,True,0,0,0,0,False
2023-07-29,NC,ORL,True,True,0,0,0,0,False
2023-07-29,HOU,LOU,True,True,0,0,0,0,False
2023-07-29,LA,POR,True,True,0,0,0,0,False
2023-08-04,ORL,WAS,True,True,0,0,0,0,False
2023-08-04,KC,LOU,True,True,0,0,0,0,False
2023-08-05,CHI,HOU,True,True,0,0,0,0,False
2023-08-05,SD,LA,True,True,0,0,0,0,False
2023-08-05,NJY,NC,True,True,0,0,0,0,False
2023-08-06,RGN,POR,True,True,0,0,0,0,False
2023-08-18,KC,RGN,False,True,0,0,0,0,False
2023-08-19,LOU,LA,False,True,0,0,0,0,False
2023-08-19,HOU,WAS,False,True,0,0,0,0,False
2023-08-19,SD,NJY,False,True,0,0,0,0,False
2023-08-20,ORL,CHI,False,True,0,0,0,0,False
2023-08-20,POR,NC,False,True,0,0,0,0,False
2023-08-25,ORL,SD,False,True,0,0,0,0,False
2023-08-26,HOU,KC,False,True,0,0,0,0,False
2023-08-27,LA,RGN,False,True,0,0,0,0,False
2023-08-27,NJY,LOU,False,True,0,0,0,0,False
2023-08-27,NC,CHI,False,True,0,0,0,0,False
2023-08-27,WAS,POR,False,True,0,0,0,0,False
2023-09-01,KC,LA,False,True,0,0,0,0,False
2023-09-02,NC,NJY,False,True,0,0,0,0,False
2023-09-02,LOU,POR,False,True,0,0,0,0,False
2023-09-03,WAS,CHI,False,True,0,0,0,0,False
2023-09-03,RGN,ORL,False,True,0,0,0,0,False
2023-09-03,SD,HOU,False,True,0,0,0,0,False
2023-09-15,LOU,HOU,False,True,0,0,0,0,False
2023-09-16,POR,RGN,False,True,0,0,0,0,False
