stadium,city,state,games,goals,avg_goals,capacity,max_attendance,elevation,surface
Providence Park,Portland,OR,133,411,3.090225564,25218,25218,78,turf
Shell Energy Stadium,Houston,TX,115,305,2.652173913,22039,21284,45,grass
SeatGeek Stadium,Bridgeview,IL,95,251,2.642105263,20000,17388,613,grass
WakeMed Soccer Park,Cary,NC,86,245,2.848837209,10000,10434,495,grass
Exploria Stadium,Orlando,FL,79,220,2.784810127,25500,14452,108,grass
Yurcak Field,Piscataway,NJ,77,200,2.597402597,5000,5547,95,grass
Maryland SoccerPlex,Germantown,MD,77,198,2.571428571,5000,5750,404,grass
Memorial Stadium,Seattle,WA,58,176,3.034482759,12000,6303,100,turf
Sahlen's Stadium,Rochester,NY,44,131,2.977272727,13768,9129,505,turf
Lynn Family Stadium,Louisville,KY,43,116,2.697674419,15304,10360,451,grass
Red Bull Arena,Harrison,NJ,40,80,2,25000,15058,10,grass
Audi Field,Washington,DC,36,89,2.472222222,20000,19471,18,grass
Children's Mercy Park,Kansas City,KS,34,94,2.764705882,18467,15671,869,grass
Jordan Field,Boston,MA,32,86,2.6875,4100,4379,46,turf
Lumen Field,Seattle,WA,32,77,2.40625,68740,42054,16,turf
Benedictine U. Stadium,Lisle,IL,30,75,2.5,3000,3560,676,turf
Rio Tinto Stadium,Sandy,UT,29,59,2.034482759,20213,19203,4450,grass
Swope Soccer Village,Kansas City,MO,29,63,2.172413793,3557,3557,910,grass
Cheney Stadium,Tacoma,WA,28,75,2.678571429,6500,7479,249,grass
BMO Stadium,Los Angeles,CA,26,67,2.576923077,22000,22000,164,grass
Zions Bank Stadium,Herriman,UT,20,28,1.4,5000,0,4738,turf
Snapdragon Stadium,San Diego,CA,19,48,2.526315789,35000,32262,82,grass
Segra Field,Leesburg,VA,13,33,2.538461538,5000,4236,342,turf
Durwood Stadium,Kansas City,MO,13,27,2.076923077,3218,3107,882,turf
Legends Field,Kansas City,KS,13,25,1.923076923,10385,6345,1000,grass
Harvard Stadium,Allston,MA,12,45,3.75,30323,4191,10,turf
Shawnee Mission Stadium,Overland Park,KS,12,28,2.333333333,6150,6784,1059,turf
Starfire Stadium,Tukwila,WA,12,37,3.083333333,4500,4252,32,turf
Torero Stadium,San Diego,CA,12,33,2.75,6000,6100,190,grass
Dilboy Stadium,Somerville,MA,11,38,3.454545455,3500,3113,10,turf
Camping World Stadium,Orlando,FL,10,24,2.4,60219,23403,98,turf
MSU Soccer Park,Montclair,NJ,4,12,3,5000,,411,turf
Subaru Park,Chester,PA,2,3,1.5,18500,9532,11,grass
Titan Stadium,Fullerton,CA,2,3,1.5,10000,6307,397,turf
Daytona Speedway Stadium,Daytona Beach,FL,1,4,4,,7573,26,grass
Soldier Field,Chicago,IL,1,1,1,61500,23951,590,grass
Frontier Field,Rochester,NY,1,5,5,13500,4314,499,grass
Osceola County Stadium,Kissimmee,FL,1,3,3,5300,,68,grass
