date,team,subs,minutes,result,goal_differential,total_minutes,sub_goals,sub_assists
2022-04-29,LA,1,[82],W,1,82,0,0
2022-04-29,NC,3,"[76, 77, 90]",L,-1,243,0,0
2022-04-30,POR,5,"[46, 46, 74, 81, 82]",W,3,329,1,0
2022-04-30,KCC,5,"[19, 46, 65, 65, 74]",L,-3,269,0,0
2022-04-30,CHI,4,"[46, 61, 70, 80]",W,1,257,0,0
2022-04-30,LOU,2,"[32, 75]",L,-1,107,0,0
2022-05-01,WAS,5,"[59, 59, 59, 72, 86]",W,1,335,0,0
2022-05-01,RGN,5,"[70, 70, 77, 77, 87]",L,-1,381,0,0
2022-05-01,HOU,4,"[62, 72, 85, 85]",L,-1,304,0,0
2022-05-01,SD,5,"[66, 66, 75, 75, 85]",W,1,367,1,1
2022-05-01,ORL,5,"[46, 46, 72, 72, 84]",L,-3,320,0,0
2022-05-01,NJY,5,"[46, 78, 78, 84, 92]",W,3,378,0,0
2022-05-07,SD,5,"[35, 64, 64, 81, 82]",W,4,326,0,0
2022-05-07,NJY,3,"[62, 68, 85]",L,-4,215,0,0
2022-05-08,KCC,5,"[46, 59, 70, 79, 79]",L,-2,333,0,0
2022-05-08,HOU,3,"[57, 74, 83]",W,2,214,1,0
2022-05-08,RGN,4,"[55, 74, 78, 78]",D,0,285,0,0
2022-05-08,LOU,2,"[62, 91]",D,0,153,0,0
2022-05-08,LA,1,[46],L,-1,46,0,0
2022-05-08,ORL,2,"[72, 94]",W,1,166,0,0
2022-05-13,POR,3,"[63, 74, 87]",D,0,224,0,0
2022-05-13,RGN,2,"[67, 75]",D,0,142,0,0
2022-05-14,ORL,5,"[46, 60, 73, 91, 92]",D,0,362,0,0
2022-05-14,KCC,5,"[62, 62, 72, 72, 84]",D,0,352,1,1
2022-05-14,LOU,4,"[56, 67, 82, 82]",D,0,287,0,0
2022-05-14,HOU,4,"[64, 72, 91, 92]",D,0,319,0,0
2022-05-15,SD,4,"[34, 62, 82, 82]",W,1,260,0,1
2022-05-15,CHI,4,"[57, 57, 74, 83]",L,-1,271,0,0
2022-05-15,WAS,3,"[46, 58, 75]",L,-1,179,0,0
2022-05-15,LA,4,"[46, 89, 95, 97]",W,1,327,0,0
2022-05-18,NC,5,"[46, 46, 54, 72, 75]",L,-1,293,1,0
2022-05-18,ORL,5,"[46, 46, 46, 61, 89]",W,1,288,0,0
2022-05-18,LOU,4,"[72, 72, 81, 90]",W,1,315,0,0
2022-05-18,SD,5,"[17, 46, 67, 67, 77]",L,-1,274,0,0
2022-05-18,POR,4,"[46, 46, 58, 87]",D,0,237,0,0
2022-05-18,WAS,2,"[62, 73]",D,0,135,0,0
2022-05-21,POR,5,"[46, 46, 65, 70, 79]",L,-2,306,0,0
2022-05-21,HOU,3,"[67, 82, 92]",W,2,241,0,0
2022-05-21,LA,4,"[62, 62, 90, 94]",W,1,308,0,0
2022-05-21,KCC,4,"[68, 68, 80, 85]",L,-1,301,0,0
