team,avg_subs,sub_0_min,sub_1_min,sub_2_min,sub_3_min,sub_4_min,sub_0_count,sub_1_count,sub_2_count,sub_3_count,sub_4_count
CHI,4.0,60.5,67.0,72.78947368421052,75.57142857142857,83.0,20,20,19,14,7
HOU,3.8421052631578947,58.31578947368421,66.94117647058823,76.29411764705883,80.58333333333333,90.42857142857143,19,17,17,12,7
KCC,3.85,56.35,69.45,81.26315789473684,84.33333333333333,89.16666666666667,20,20,19,12,6
LA,4.380952380952381,59.19047619047619,64.52380952380952,70.76190476190476,79.0,82.54545454545455,21,21,21,18,11
LOU,4.1,60.5,68.6,74.05263157894737,84.11764705882354,84.16666666666667,20,20,19,17,6
NC,3.6,63.8421052631579,69.73684210526316,78.25,83.0,84.71428571428571,19,19,16,11,7
NJY,4.222222222222222,59.0,68.05555555555556,75.70588235294117,79.5,84.22222222222223,18,18,17,14,9
ORL,4.0,58.35,69.05,78.78947368421052,83.28571428571429,84.0,20,20,19,14,7
POR,4.428571428571429,57.19047619047619,65.28571428571429,70.55,76.11764705882354,80.21428571428571,21,21,20,17,14
RGN,4.111111111111111,62.55555555555556,71.61111111111111,77.5,85.28571428571429,86.28571428571429,18,18,16,14,7
SD,4.045454545454546,53.86363636363637,63.86363636363637,75.81818181818181,83.82352941176471,84.0,22,22,22,17,6
WAS,3.5238095238095237,62.857142857142854,72.66666666666667,80.0625,89.27272727272727,87.4,21,21,16,11,5
