,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26
Angel City FC,0,5,2,2,4,2,5,0,2,0,3,3,4,5,0,3,0,2,0,0,3,0,0,2,0,25,8,6,23,4,2,5,2,42,14,7,2,2,7,5,5,0,6,4,4,20,12,14,20,7,8,4
Chicago Red Stars,2,5,4,11,6,9,15,8,11,6,9,4,5,7,20,12,16,4,6,22,23,28,15,10,33,12,11,12,24,9,18,12,26,8,16,12,11,9,15,7,20,6,15,10,30,89,29,3,5,5,0,4
Houston Dash,2,10,8,8,6,7,7,8,11,9,7,11,7,30,26,11,23,22,12,12,34,23,15,14,27,31,8,15,16,11,12,18,27,24,34,33,9,23,18,17,17,18,6,14,9,10,10,9,10,8,8,10
Kansas City Current,9,12,17,19,10,22,22,8,7,7,10,16,9,5,6,10,6,11,8,7,7,4,7,7,14,8,7,9,11,10,11,9,8,8,7,4,3,14,5,0,11,11,2,19,15,13,9,9,15,10,9,17
North Carolina Courage,0,2,2,7,0,7,3,0,2,7,2,1,1,6,4,5,10,9,5,2,11,4,0,5,12,3,8,6,4,5,3,4,8,4,0,5,5,4,18,4,4,3,0,7,5,0,3,0,1,2,0,0
NJ/NY Gotham FC,0,0,0,2,0,0,0,0,0,3,2,0,0,3,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,3,0,3,0,0,4,2,3,2,0,3,0,0,3,0
OL Reign,4,0,4,3,2,0,2,4,0,3,4,9,2,9,20,22,14,12,7,24,34,29,16,33,47,21,9,16,22,15,19,17,20,32,68,15,12,11,16,15,32,19,10,12,9,41,12,3,4,16,10,2
Orlando Pride,7,5,5,4,9,7,7,13,15,13,12,13,15,23,45,35,22,30,21,56,61,89,48,33,76,44,60,23,50,26,24,28,34,33,35,58,24,19,38,87,39,19,26,7,3,9,0,13,18,7,5,6
Portland Thorns,0,2,5,3,0,2,0,11,4,4,4,9,7,27,29,32,14,53,18,25,49,36,26,18,46,27,23,33,48,22,31,24,61,72,38,22,31,13,33,40,41,21,11,24,18,41,6,9,10,5,11,3
Racing Louisville FC,0,4,4,2,2,2,0,0,3,0,0,5,2,10,20,0,13,5,13,7,6,3,3,8,17,4,8,2,4,6,7,8,23,13,12,8,4,4,12,5,5,4,11,7,0,0,2,3,0,3,3,0
San Diego Wave FC,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,2,0,0,0,0,2,3,0,0,0,0,2,0,6,2,0,0,5,4,15,6,5
Washington Spirit,15,18,14,17,11,11,18,14,11,18,12,15,23,25,27,18,28,19,26,39,43,34,45,28,59,40,28,30,39,21,43,46,25,32,43,28,33,31,47,65,34,34,42,32,43,100,60,20,21,17,20,13
