name,minutes
Adrianna Franch,0
Alana Cook,405
Alex Morgan,411
Alyssa Naeher,360
Alyssa Thompson,90
Andi Sullivan,412
Ashley Hatch,179
Ashley Sanchez,335
Becky Sauerbrunn,388
Casey Krueger,45
Casey Murphy,270
Crystal Dunn,261
Emily Fox,495
Emily Sonnett,189
Hailie Mace,0
Julie Ertz,69
Kelley O'Hara,45
Kristie Mewis,192
Lindsey Horan,500
Lynn Williams,160
Mallory Swanson,426
Megan Rapinoe,41
Midge Purce,78
Naomi Girma,360
Rose Lavelle,299
Sam Coffey,0
Sofia Huerta,270
Sophia Smith,135
Taylor Kornieck,93
Tierna Davidson,62
Trinity Rodman,360
