p1,p2,minutes
Adriana Franch,Adriana Franch,180
Adriana Franch,Crystal Dunn,63
Adriana Franch,Tierna Davidson,180
Adriana Franch,Becky Sauerbrunn,162
Adriana Franch,Kelley O'Hara,180
Adriana Franch,Kristie Mewis,103
Adriana Franch,Andi Sullivan,90
Adriana Franch,Rose Lavelle,149
Adriana Franch,Mallory Swanson,103
Adriana Franch,Carli Lloyd,117
Adriana Franch,Lynn Williams,74
Adriana Franch,Catarina Macario,77
Adriana Franch,Abby Dahlkemper,18
Adriana Franch,Alex Morgan,94
Adriana Franch,Tobin Heath,62
Adriana Franch,Sophia Smith,75
Adriana Franch,Emily Sonnett,27
Adriana Franch,Jane Campbell,0
Adriana Franch,Casey Krueger,68
Adriana Franch,Lindsey Horan,90
Adriana Franch,Megan Rapinoe,46
Adriana Franch,Emily Fox,22
Adriana Franch,Casey Murphy,0
Adriana Franch,Alana Cook,0
Adriana Franch,Ashley Hatch,0
Adriana Franch,Midge Purce,0
Adriana Franch,Bethany Balcer,0
Adriana Franch,Sofia Huerta,0
Adriana Franch,Ashley Sanchez,0
Adriana Franch,Morgan Weaver,0
Adriana Franch,Imani Dorsey,0
Adriana Franch,Morgan Gautrat,0
Adriana Franch,Trinity Rodman,0
Adriana Franch,Alyssa Naeher,0
Adriana Franch,Jaelin Howell,0
Adriana Franch,Aubrey Kingsbury,0
Adriana Franch,Naomi Girma,0
Adriana Franch,Sam Mewis,0
Adriana Franch,Taylor Kornieck,0
Adriana Franch,Carson Pickett,0
Adriana Franch,Hailie Mace,0
Adriana Franch,Sam Coffey,0
Adriana Franch,Alyssa Thompson,0
Adriana Franch,Julie Ertz,0
Crystal Dunn,Adriana Franch,63
Crystal Dunn,Crystal Dunn,411
Crystal Dunn,Tierna Davidson,63
Crystal Dunn,Becky Sauerbrunn,318
Crystal Dunn,Kelley O'Hara,63
Crystal Dunn,Kristie Mewis,59
Crystal Dunn,Andi Sullivan,283
Crystal Dunn,Rose Lavelle,317
Crystal Dunn,Mallory Swanson,314
Crystal Dunn,Carli Lloyd,63
Crystal Dunn,Lynn Williams,63
Crystal Dunn,Catarina Macario,4
Crystal Dunn,Abby Dahlkemper,0
Crystal Dunn,Alex Morgan,251
Crystal Dunn,Tobin Heath,0
Crystal Dunn,Sophia Smith,136
Crystal Dunn,Emily Sonnett,0
Crystal Dunn,Jane Campbell,0
Crystal Dunn,Casey Krueger,0
Crystal Dunn,Lindsey Horan,293
Crystal Dunn,Megan Rapinoe,39
Crystal Dunn,Emily Fox,220
Crystal Dunn,Casey Murphy,101
Crystal Dunn,Alana Cook,174
Crystal Dunn,Ashley Hatch,74
Crystal Dunn,Midge Purce,46
Crystal Dunn,Bethany Balcer,0
Crystal Dunn,Sofia Huerta,101
Crystal Dunn,Ashley Sanchez,134
Crystal Dunn,Morgan Weaver,0
Crystal Dunn,Imani Dorsey,0
Crystal Dunn,Morgan Gautrat,0
Crystal Dunn,Trinity Rodman,211
Crystal Dunn,Alyssa Naeher,247
Crystal Dunn,Jaelin Howell,0
Crystal Dunn,Aubrey Kingsbury,0
Crystal Dunn,Naomi Girma,267
Crystal Dunn,Sam Mewis,0
Crystal Dunn,Taylor Kornieck,73
Crystal Dunn,Carson Pickett,0
Crystal Dunn,Hailie Mace,27
Crystal Dunn,Sam Coffey,82
Crystal Dunn,Alyssa Thompson,24
Crystal Dunn,Julie Ertz,0
Tierna Davidson,Adriana Franch,180
Tierna Davidson,Crystal Dunn,63
Tierna Davidson,Tierna Davidson,759
Tierna Davidson,Becky Sauerbrunn,176
Tierna Davidson,Kelley O'Hara,359
Tierna Davidson,Kristie Mewis,319
Tierna Davidson,Andi Sullivan,576
Tierna Davidson,Rose Lavelle,472
Tierna Davidson,Mallory Swanson,382
Tierna Davidson,Carli Lloyd,183
Tierna Davidson,Lynn Williams,293
Tierna Davidson,Catarina Macario,345
Tierna Davidson,Abby Dahlkemper,150
Tierna Davidson,Alex Morgan,177
Tierna Davidson,Tobin Heath,62
Tierna Davidson,Sophia Smith,365
Tierna Davidson,Emily Sonnett,283
Tierna Davidson,Jane Campbell,132
Tierna Davidson,Casey Krueger,173
Tierna Davidson,Lindsey Horan,372
Tierna Davidson,Megan Rapinoe,62
Tierna Davidson,Emily Fox,396
Tierna Davidson,Casey Murphy,403
Tierna Davidson,Alana Cook,443
Tierna Davidson,Ashley Hatch,242
Tierna Davidson,Midge Purce,179
Tierna Davidson,Bethany Balcer,12
Tierna Davidson,Sofia Huerta,235
Tierna Davidson,Ashley Sanchez,183
Tierna Davidson,Morgan Weaver,36
Tierna Davidson,Imani Dorsey,13
Tierna Davidson,Morgan Gautrat,46
Tierna Davidson,Trinity Rodman,90
Tierna Davidson,Alyssa Naeher,44
Tierna Davidson,Jaelin Howell,39
Tierna Davidson,Aubrey Kingsbury,0
Tierna Davidson,Naomi Girma,0
Tierna Davidson,Sam Mewis,0
Tierna Davidson,Taylor Kornieck,0
Tierna Davidson,Carson Pickett,0
Tierna Davidson,Hailie Mace,0
Tierna Davidson,Sam Coffey,0
Tierna Davidson,Alyssa Thompson,61
Tierna Davidson,Julie Ertz,44
Becky Sauerbrunn,Adriana Franch,162
Becky Sauerbrunn,Crystal Dunn,318
Becky Sauerbrunn,Tierna Davidson,176
Becky Sauerbrunn,Becky Sauerbrunn,1404
Becky Sauerbrunn,Kelley O'Hara,434
Becky Sauerbrunn,Kristie Mewis,341
Becky Sauerbrunn,Andi Sullivan,1117
Becky Sauerbrunn,Rose Lavelle,961
Becky Sauerbrunn,Mallory Swanson,832
Becky Sauerbrunn,Carli Lloyd,128
Becky Sauerbrunn,Lynn Williams,188
Becky Sauerbrunn,Catarina Macario,152
Becky Sauerbrunn,Abby Dahlkemper,48
Becky Sauerbrunn,Alex Morgan,969
Becky Sauerbrunn,Tobin Heath,85
Becky Sauerbrunn,Sophia Smith,850
Becky Sauerbrunn,Emily Sonnett,365
Becky Sauerbrunn,Jane Campbell,48
Becky Sauerbrunn,Casey Krueger,68
Becky Sauerbrunn,Lindsey Horan,1088
Becky Sauerbrunn,Megan Rapinoe,257
Becky Sauerbrunn,Emily Fox,881
Becky Sauerbrunn,Casey Murphy,511
Becky Sauerbrunn,Alana Cook,757
Becky Sauerbrunn,Ashley Hatch,166
Becky Sauerbrunn,Midge Purce,277
Becky Sauerbrunn,Bethany Balcer,6
Becky Sauerbrunn,Sofia Huerta,591
Becky Sauerbrunn,Ashley Sanchez,473
Becky Sauerbrunn,Morgan Weaver,10
Becky Sauerbrunn,Imani Dorsey,4
Becky Sauerbrunn,Morgan Gautrat,0
Becky Sauerbrunn,Trinity Rodman,301
Becky Sauerbrunn,Alyssa Naeher,683
