date,time,home,away,local_std_time,day,avg_temp
2024-03-16,13:00:00,KCC,POR,11:00:00,03-16,52.4
2024-03-16,16:00:00,LOU,ORL,15:00:00,03-16,61.2
2024-03-16,19:00:00,NC,HOU,18:00:00,03-16,54.4
2024-03-16,19:30:00,UTA,CHI,16:30:00,03-16,52.2
2024-03-16,22:00:00,LA,BFC,18:00:00,03-16,59.0
2024-03-17,18:00:00,RGN,WAS,14:00:00,03-17,55.2
2024-03-22,20:00:00,ORL,LA,19:00:00,03-22,71.8
2024-03-22,21:30:00,UTA,NC,18:30:00,03-22,43.8
2024-03-23,16:00:00,CHI,RGN,14:00:00,03-23,51.2
2024-03-23,19:30:00,WAS,BFC,18:30:00,03-23,56.4
2024-03-23,20:30:00,HOU,LOU,18:30:00,03-23,71.8
2024-03-23,22:00:00,SD,KCC,18:00:00,03-23,63.0
2024-03-24,19:00:00,POR,NJNY,15:00:00,03-24,53.4
2024-03-29,19:00:00,ORL,CHI,18:00:00,03-29,78.8
2024-03-29,22:00:00,SD,RGN,18:00:00,03-29,60.0
2024-03-30,14:30:00,KCC,LA,12:30:00,03-30,54.4
2024-03-30,19:00:00,NC,NJNY,18:00:00,03-30,70.0
2024-03-30,19:30:00,POR,LOU,15:30:00,03-30,57.0
2024-03-30,22:00:00,BFC,HOU,18:00:00,03-30,60.2
2024-03-31,13:00:00,WAS,UTA,12:00:00,03-31,60.8
2024-04-12,20:00:00,HOU,WAS,18:00:00,04-12,76.0
2024-04-12,21:30:00,UTA,ORL,18:30:00,04-12,49.0
2024-04-13,19:00:00,LOU,SD,18:00:00,04-13,67.8
2024-04-13,19:00:00,NC,POR,18:00:00,04-13,75.6
2024-04-13,21:30:00,CHI,LA,19:30:00,04-13,50.4
2024-04-14,18:00:00,NJNY,KCC,17:00:00,04-14,68.2
2024-04-14,20:00:00,BFC,RGN,16:00:00,04-14,65.8
2024-04-19,20:00:00,ORL,SD,19:00:00,04-19,73.8
2024-04-20,13:00:00,WAS,NJNY,12:00:00,04-20,67.2
2024-04-20,17:00:00,LOU,UTA,16:00:00,04-20,68.6
2024-04-20,19:30:00,KCC,BFC,17:30:00,04-20,61.0
2024-04-20,22:00:00,POR,HOU,18:00:00,04-20,59.8
2024-04-21,18:00:00,RGN,CHI,14:00:00,04-21,57.4
2024-04-21,19:30:00,LA,NC,15:30:00,04-21,65.6
2024-04-26,19:30:00,WAS,ORL,18:30:00,04-26,61.2
2024-04-26,22:00:00,LA,KCC,18:00:00,04-26,60.2
2024-04-27,19:00:00,NC,RGN,18:00:00,04-27,70.0
2024-04-27,19:30:00,UTA,HOU,16:30:00,04-27,67.6
2024-04-27,19:30:00,CHI,POR,17:30:00,04-27,54.4
2024-04-27,22:00:00,SD,BFC,18:00:00,04-27,62.2
2024-04-28,17:00:00,NJNY,LOU,16:00:00,04-28,62.2
2024-05-01,19:00:00,ORL,NC,18:00:00,05-01,80.4
2024-05-01,20:00:00,CHI,WAS,18:00:00,05-01,60.6
2024-05-01,22:00:00,BFC,POR,18:00:00,05-01,63.0
2024-05-03,21:30:00,UTA,LA,18:30:00,05-03,63.0
2024-05-03,22:00:00,RGN,SD,18:00:00,05-03,58.0
2024-05-04,19:30:00,NJNY,NC,18:30:00,05-04,59.2
2024-05-04,22:00:00,POR,WAS,18:00:00,05-04,65.0
2024-05-05,13:00:00,HOU,KCC,11:00:00,05-05,83.0
2024-05-05,18:00:00,ORL,LOU,17:00:00,05-05,86.0
2024-05-05,20:00:00,BFC,CHI,16:00:00,05-05,69.4
2024-05-08,20:00:00,HOU,NJNY,18:00:00,05-08,79.4
2024-05-08,22:00:00,SD,UTA,18:00:00,05-08,65.0
2024-05-08,22:00:00,RGN,KCC,18:00:00,05-08,62.8
2024-05-10,20:00:00,LOU,WAS,19:00:00,05-10,67.4
2024-05-11,19:30:00,ORL,BFC,18:30:00,05-11,78.0
2024-05-11,22:00:00,POR,RGN,18:00:00,05-11,68.4
2024-05-12,17:30:00,CHI,UTA,15:30:00,05-12,65.8
2024-05-12,18:00:00,KCC,NC,16:00:00,05-12,70.6
2024-05-12,19:30:00,LA,HOU,15:30:00,05-12,66.4
2024-05-12,20:00:00,SD,NJNY,16:00:00,05-12,68.6
2024-05-17,20:00:00,HOU,POR,18:00:00,05-17,81.4
2024-05-17,20:00:00,NC,UTA,19:00:00,05-17,74.8
2024-05-17,22:30:00,BFC,SD,18:30:00,05-17,60.6
2024-05-18,19:30:00,WAS,LA,18:30:00,05-18,70.4
2024-05-18,21:30:00,KCC,LOU,19:30:00,05-18,69.8
2024-05-19,17:00:00,NJNY,CHI,16:00:00,05-19,74.4
2024-05-19,18:00:00,RGN,ORL,14:00:00,05-19,63.2
2024-05-23,22:00:00,LA,SD,18:00:00,05-23,61.2
2024-05-24,19:00:00,ORL,POR,18:00:00,05-24,80.8
2024-05-24,19:30:00,WAS,RGN,18:30:00,05-24,68.2
2024-05-24,20:00:00,HOU,NC,18:00:00,05-24,81.2
