team,federation
China,AFC
Norway,UEFA
Denmark,UEFA
New Zealand,OFC
United States,CONCACAF
Sweden,UEFA
Brazil,CONMEBOL
Japan,AFC
Germany,UEFA
Italy,UEFA
Chinese Taipei,AFC
Nigeria,CAF
England,UEFA
Canada,CONCACAF
Australia,AFC
North Korea,AFC
Mexico,CONCACAF
Russia,UEFA
Ghana,CAF
France,UEFA
South Korea,AFC
Argentina,CONMEBOL
Colombia,CONMEBOL
Equatorial Guinea,CAF
Netherlands,UEFA
Thailand,AFC
Ivory Coast,CAF
Cameroon,CAF
Switzerland,UEFA
Ecuador,CONMEBOL
Costa Rica,CONCACAF
Spain,UEFA
South Africa,CAF
Jamaica,CONCACAF
Scotland,UEFA
Chile,CONMEBOL
Philippines,AFC
Ireland,UEFA
Zambia,CAF
Haiti,CONCACAF
Vietnam,AFC
Portugal,UEFA
Panama,CONCACAF
Morocco,CAF
