team,1991,1995,1999,2003,2007,2011,2015,2019,2023,federation
Legend,X,X,X,X,X,X,X,X,X,Legend
Australia,,G,G,G,Q,Q,Q,16,?,AFC
China,Q,4,2,Q,Q,,Q,16,?,AFC
Chinese Taipei,Q,,,,,,,,,AFC
Japan,G,Q,G,G,G,1,2,16,?,AFC
North Korea,,,G,G,Q,G,,,,AFC
Philippines,,,,,,,,,?,AFC
South Korea,,,,G,,,16,G,?,AFC
Thailand,,,,,,,G,G,,AFC
Vietnam,,,,,,,,,?,AFC
New Zealand,G,,,,G,G,G,G,?,OFC
Cameroon,,,,,,,16,16,,CAF
Equatorial Guinea,,,,,,G,,,,CAF
Ghana,,,G,G,G,,,,,CAF
Ivory Coast,,,,,,,G,,,CAF
Morocco,,,,,,,,,?,CAF
Nigeria,G,G,Q,G,G,G,G,16,?,CAF
South Africa,,,,,,,,G,?,CAF
Zambia,,,,,,,,,?,CAF
Canada,,G,G,4,G,G,Q,16,?,CONCACAF
Costa Rica,,,,,,,G,,?,CONCACAF
Haiti,,,,,,,,,?,CONCACAF
Jamaica,,,,,,,,G,?,CONCACAF
Mexico,,,G,,,G,G,,,CONCACAF
Panama,,,,,,,,,?,CONCACAF
United States,1,3,1,3,3,2,1,1,?,CONCACAF
Denmark,Q,Q,G,,G,,,,?,UEFA
England,,Q,,,Q,Q,3,4,?,UEFA
France,,,,G,,4,Q,Q,?,UEFA
Germany,4,2,Q,1,1,Q,4,Q,?,UEFA
Ireland,,,,,,,,,?,UEFA
Italy,Q,,G,,,,,Q,?,UEFA
Netherlands,,,,,,,16,2,?,UEFA
Norway,2,1,4,Q,4,G,16,Q,?,UEFA
Portugal,,,,,,,,,?,UEFA
Russia,,,Q,Q,,,,,,UEFA
Scotland,,,,,,,,G,,UEFA
Spain,,,,,,,G,16,?,UEFA
Sweden,3,Q,Q,2,G,3,16,3,?,UEFA
Switzerland,,,,,,,16,,?,UEFA
Argentina,,,,G,G,,,G,?,CONMEBOL
Brazil,G,G,3,Q,2,Q,16,16,?,CONMEBOL
Chile,,,,,,,,G,,CONMEBOL
Colombia,,,,,,G,16,,?,CONMEBOL
Ecuador,,,,,,,G,,,CONMEBOL
