home,away,score_progression
NZL,NOR,"[(0, [0, 0]), (48, [1, 0])]"
AUS,IRL,"[(0, [0, 0]), (52, [1, 0])]"
NGA,CAN,"[(0, [0, 0])]"
PHI,SUI,"[(0, [0, 0]), (45, [0, 1]), (64, [0, 2])]"
ESP,CRC,"[(0, [0, 0]), (21, [1, 0]), (23, [2, 0]), (27, [3, 0])]"
USA,VIE,"[(0, [0, 0]), (14, [1, 0]), (45, [2, 0]), (77, [3, 0])]"
ZAM,JPN,"[(0, [0, 0]), (43, [0, 1]), (55, [0, 2]), (62, [0, 3]), (71, [0, 4]), (90, [0, 5])]"
ENG,HAI,"[(0, [0, 0]), (29, [1, 0])]"
DEN,CHN,"[(0, [0, 0]), (90, [1, 0])]"
SWE,RSA,"[(0, [0, 0]), (48, [0, 1]), (65, [1, 1]), (90, [2, 1])]"
NED,POR,"[(0, [0, 0]), (13, [1, 0])]"
FRA,JAM,"[(0, [0, 0])]"
ITA,ARG,"[(0, [0, 0]), (87, [1, 0])]"
GER,MAR,"[(0, [0, 0]), (11, [1, 0]), (39, [2, 0]), (46, [3, 0]), (54, [4, 0]), (79, [5, 0]), (90, [6, 0])]"
BRA,PAN,"[(0, [0, 0]), (19, [1, 0]), (39, [2, 0]), (48, [3, 0]), (70, [4, 0])]"
COL,KOR,"[(0, [0, 0]), (30, [1, 0]), (39, [2, 0])]"
NZL,PHI,"[(0, [0, 0]), (24, [0, 1])]"
SUI,NOR,"[(0, [0, 0])]"
JPN,CRC,"[(0, [0, 0]), (25, [1, 0]), (27, [2, 0])]"
ESP,ZAM,"[(0, [0, 0]), (9, [1, 0]), (13, [2, 0]), (69, [3, 0]), (70, [4, 0]), (85, [5, 0])]"
CAN,IRL,"[(0, [0, 0]), (4, [0, 1]), (45, [1, 1]), (53, [2, 1])]"
USA,NED,"[(0, [0, 0]), (17, [0, 1]), (62, [1, 1])]"
POR,VIE,"[(0, [0, 0]), (7, [1, 0]), (21, [2, 0])]"
AUS,NGA,"[(0, [0, 0]), (45, [1, 0]), (45, [1, 1]), (65, [1, 2]), (72, [1, 3]), (90, [2, 3])]"
ARG,RSA,"[(0, [0, 0]), (30, [0, 1]), (66, [0, 2]), (74, [1, 2]), (79, [2, 2])]"
ENG,DEN,"[(0, [0, 0]), (6, [1, 0])]"
CHN,HAI,"[(0, [0, 0]), (74, [1, 0])]"
SWE,ITA,"[(0, [0, 0]), (39, [1, 0]), (44, [2, 0]), (45, [3, 0]), (50, [4, 0]), (90, [5, 0])]"
FRA,BRA,"[(0, [0, 0]), (17, [1, 0]), (58, [1, 1]), (83, [2, 1])]"
PAN,JAM,"[(0, [0, 0]), (56, [0, 1])]"
KOR,MAR,"[(0, [0, 0]), (6, [0, 1])]"
NOR,PHI,"[(0, [0, 0]), (6, [1, 0]), (17, [2, 0]), (31, [3, 0]), (48, [4, 0]), (53, [5, 0]), (90, [6, 0])]"
SUI,NZL,"[(0, [0, 0])]"
GER,COL,"[(0, [0, 0]), (52, [0, 1]), (89, [1, 1]), (90, [1, 2])]"
CRC,ZAM,"[(0, [0, 0]), (3, [0, 1]), (31, [0, 2]), (47, [1, 2]), (90, [1, 3])]"
JPN,ESP,"[(0, [0, 0]), (12, [1, 0]), (29, [2, 0]), (40, [3, 0]), (82, [4, 0])]"
IRL,NGA,"[(0, [0, 0])]"
CAN,AUS,"[(0, [0, 0]), (9, [0, 1]), (39, [0, 2]), (58, [0, 3]), (90, [0, 4])]"
VIE,NED,"[(0, [0, 0]), (8, [0, 1]), (11, [0, 2]), (18, [0, 3]), (23, [0, 4]), (45, [0, 5]), (57, [0, 6]), (83, [0, 7])]"
POR,USA,"[(0, [0, 0])]"
HAI,DEN,"[(0, [0, 0]), (21, [0, 1]), (90, [0, 2])]"
CHN,ENG,"[(0, [0, 0]), (4, [0, 1]), (26, [0, 2]), (41, [0, 3]), (57, [1, 3]), (65, [1, 4]), (77, [1, 5]), (84, [1, 6])]"
RSA,ITA,"[(0, [0, 0]), (11, [0, 1]), (32, [1, 1]), (67, [2, 1]), (74, [2, 2]), (90, [3, 2])]"
ARG,SWE,"[(0, [0, 0]), (66, [0, 1]), (90, [0, 2])]"
JAM,BRA,"[(0, [0, 0])]"
PAN,FRA,"[(0, [0, 0]), (21, [1, 1]), (28, [1, 2]), (37, [1, 3]), (45, [1, 4]), (52, [1, 5]), (64, [2, 5]), (87, [3, 5]), (90, [3, 6])]"
KOR,GER,"[(0, [0, 0]), (6, [1, 0]), (42, [1, 1])]"
MAR,COL,"[(0, [0, 0]), (45, [1, 0])]"
