match_number,date,stage,home,away,attendance,home_score,away_score,home_penalty_score,away_penalty_score,home_placeholder,away_placeholder,completed,humidity,temperature,wind,group,stadium,winner,match_id,result_id,competition_id,stage_id,season_id
1,2003-09-20T12:00:00Z,Group Matches,NOR,FRA,,2,0,,,B1,B2,0,,,,B,Lincoln Financial Field,NOR,69290001,34214,103,6930,6929
2,2003-09-20T14:45:00Z,Group Matches,NGA,PRK,,0,3,,,A3,A4,0,,,,A,Lincoln Financial Field,PRK,69290002,34125,103,6930,6929
3,2003-09-20T17:45:00Z,Group Matches,GER,CAN,,4,1,,,C1,C2,0,,,,C,MAPFRE Stadium,GER,69290003,34221,103,6930,6929
4,2003-09-20T20:30:00Z,Group Matches,JPN,ARG,,6,0,,,C3,C4,0,,,,C,MAPFRE Stadium,JPN,69290004,34222,103,6930,6929
5,2003-09-21T12:30:00Z,Group Matches,USA,SWE,,3,1,,,USA,A2,0,,,,A,RFK Stadium,USA,69290005,34124,103,6930,6929
6,2003-09-21T15:15:00Z,Group Matches,BRA,KOR,,3,0,,,B3,B4,0,,,,B,RFK Stadium,BRA,69290006,34215,103,6930,6929
7,2003-09-21T17:30:00Z,Group Matches,AUS,RUS,,1,2,,,D3,D4,0,,,,D,Home Depot Center,RUS,69290007,34228,103,6930,6929
8,2003-09-21T20:15:00Z,Group Matches,CHN,GHA,,1,0,,,D1,D2,0,,,,D,Home Depot Center,CHN,69290008,34227,103,6930,6929
9,2003-09-24T17:01:00Z,Group Matches,NOR,BRA,,1,4,,,B1,B3,0,,,,B,RFK Stadium,BRA,69290009,34217,103,6930,6929
11,2003-09-24T17:45:00Z,Group Matches,GER,JPN,,3,0,,,C1,C3,0,,,,C,MAPFRE Stadium,GER,69290011,34223,103,6930,6929
10,2003-09-24T19:45:00Z,Group Matches,FRA,KOR,,1,0,,,B2,B4,0,,,,B,RFK Stadium,FRA,69290010,34218,103,6930,6929
12,2003-09-24T20:30:00Z,Group Matches,CAN,ARG,,3,0,,,C2,C4,0,,,,C,MAPFRE Stadium,CAN,69290012,34224,103,6930,6929
13,2003-09-25T16:45:00Z,Group Matches,SWE,PRK,,1,0,,,A2,A4,0,,,,A,Lincoln Financial Field,SWE,69290013,34211,103,6930,6929
15,2003-09-25T16:15:00Z,Group Matches,GHA,RUS,,0,3,,,D2,D4,0,,,,D,Home Depot Center,RUS,69290015,34230,103,6930,6929
14,2003-09-25T19:31:00Z,Group Matches,USA,NGA,,5,0,,,USA,A3,0,,,,A,Lincoln Financial Field,USA,69290014,34126,103,6930,6929
16,2003-09-25T19:01:00Z,Group Matches,CHN,AUS,,1,1,,,D1,D3,0,,,,D,Home Depot Center,,69290016,34229,103,6930,6929
17,2003-09-27T12:45:00Z,Group Matches,KOR,NOR,,1,7,,,B4,B1,0,,,,B,Gillette Stadium,NOR,69290017,34219,103,6930,6929
19,2003-09-27T12:45:00Z,Group Matches,FRA,BRA,,1,1,,,B2,B3,0,,,,B,RFK Stadium,,69290019,34220,103,6930,6929
20,2003-09-27T15:30:00Z,Group Matches,ARG,GER,,1,6,,,C4,C1,0,,,,C,RFK Stadium,GER,69290020,34225,103,6930,6929
18,2003-09-27T15:30:00Z,Group Matches,CAN,JPN,,3,1,,,C2,C3,0,,,,C,Gillette Stadium,CAN,69290018,34226,103,6930,6929
21,2003-09-28T13:00:00Z,Group Matches,SWE,NGA,,3,0,,,A2,A3,0,,,,A,MAPFRE Stadium,SWE,69290021,34213,103,6930,6929
22,2003-09-28T15:45:00Z,Group Matches,PRK,USA,,0,3,,,A4,USA,0,,,,A,MAPFRE Stadium,USA,69290022,34212,103,6930,6929
23,2003-09-28T17:15:00Z,Group Matches,GHA,AUS,,2,1,,,D2,D3,0,,,,D,Civic Stadium,GHA,69290023,34232,103,6930,6929
24,2003-09-28T20:00:00Z,Group Matches,CHN,RUS,,1,0,,,D1,D4,0,,,,D,Civic Stadium,CHN,69290024,34231,103,6930,6929
26,2003-10-01T16:30:00Z,Quarter-final,BRA,SWE,,1,2,,,1.A,2.B,0,,,,,Gillette Stadium,SWE,69290026,34233,103,6935,6929
25,2003-10-01T19:30:00Z,Quarter-final,USA,NOR,,1,0,,,1.B,2.A,0,,,,,Gillette Stadium,USA,69290025,34234,103,6935,6929
27,2003-10-02T16:30:00Z,Quarter-final,GER,RUS,,7,1,,,1.C,2.D,0,,,,,Civic Stadium,GER,69290027,34235,103,6935,6929
28,2003-10-02T19:30:00Z,Quarter-final,CHN,CAN,,0,1,,,1.D,2.C,0,,,,,Civic Stadium,CAN,69290028,34236,103,6935,6929
29,2003-10-05T16:36:00Z,Semi-final,USA,GER,,0,3,,,W25,W27,0,,,,,Civic Stadium,GER,69290029,34237,103,6936,6929
30,2003-10-05T19:30:00Z,Semi-final,SWE,CAN,,2,1,,,W26,W28,0,,,,,Civic Stadium,SWE,69290030,34238,103,6936,6929
31,2003-10-11T12:30:00Z,Match for third place,USA,CAN,,3,1,,,L29,L30,0,,,,,Home Depot Center,USA,69290031,34239,103,6937,6929
32,2003-10-12T10:00:00Z,Final,GER,SWE,,2,1,,,W29,W30,0,,,,,Home Depot Center,GER,69290032,34240,103,6938,6929
