player,team,group_1,group_2,group_3,round_of_16,quarterfinals,semifinals,finals
Victoria Esson,New Zealand,90,90,90,,,,
Ria Percival,New Zealand,90,83,71,,,,
CJ Bott,New Zealand,90,90,90,,,,
Malia Steinmetz,New Zealand,90,90,90,,,,
Ali Riley,New Zealand,90,90,90,,,,
Betsy Hassett,New Zealand,90,45,29,,,,
Rebekah Stott,New Zealand,69,90,61,,,,
Katie Bowen,New Zealand,90,90,90,,,,
Jacqui Hand,New Zealand,89,90,90,,,,
Hannah Wilkinson,New Zealand,85,90,81,,,,
Indiah-Paige Riley,New Zealand,90,45,45,,,,
Erin Nayler,New Zealand,0,0,0,,,,
Anna Leat,New Zealand,0,0,0,,,,
Claudia Bunge,New Zealand,21,0,29,,,,
Michaela Foster,New Zealand,0,0,0,,,,
Daisy Cleverley,New Zealand,0,0,0,,,,
Gabi Rennie,New Zealand,1,0,9,,,,
Annalie Longo,New Zealand,0,45,61,,,,
Olivia Chance,New Zealand,0,45,45,,,,
Paige Satchell,New Zealand,5,0,0,,,,
Grace Jale,New Zealand,0,7,19,,,,
Liz Anton,New Zealand,0,0,0,,,,
Milly Clegg,New Zealand,0,0,0,,,,
Aurora Mikalsen,Norway,90,90,90,90,,,
Tuva Hansen,Norway,90,72,90,73,,,
Maren Mjelde,Norway,90,90,90,90,,,
Ingrid Syrstad Engen,Norway,90,3,23,90,,,
Caroline Graham Hansen,Norway,90,34,81,90,,,
Guro Reiten,Norway,90,90,90,90,,,
Thea Bjelde,Norway,89,87,67,87,,,
Ada Hegerberg,Norway,90,0,0,17,,,
Mathilde Harviken,Norway,90,90,80,90,,,
Julie Blakstad,Norway,55,0,0,0,,,
Frida Maanum,Norway,73,90,67,28,,,
Cecilie Fiskerstrand,Norway,0,0,0,0,,,
Guro Pettersen,Norway,0,0,0,0,,,
Anja Sønstevold,Norway,1,18,23,0,,,
Sara Hørte,Norway,0,0,0,3,,,
Guro Bergsvand,Norway,0,0,10,0,,,
Vilde Bøe Risa,Norway,17,87,90,62,,,
Karina Sævik,Norway,0,18,23,28,,,
Amalie Eikeland,Norway,0,56,0,0,,,
Marit Bratberg Lund,Norway,0,3,0,0,,,
Emilie Haavi,Norway,35,90,67,62,,,
Anna Jøsendal,Norway,0,0,9,0,,,
Sophie Román Haug,Norway,0,72,90,90,,,
Mackenzie Arnold,Australia,90,90,90,90,,,
Cortnee Vine,Australia,74,81,16,11,,,
Steph Catley,Australia,90,90,90,90,,,
Caitlin Foord,Australia,90,90,90,89,,,
Mary Fowler,Australia,84,0,90,89,,,
Alanna Kennedy,Australia,90,90,90,90,,,
Clare Hunt,Australia,90,90,90,90,,,
Hayley Raso,Australia,90,84,74,79,,,
Katrina Gorry,Australia,90,90,89,90,,,
Ellie Carpenter,Australia,90,90,90,90,,,
Kyra Cooney-Cross,Australia,90,90,90,90,,,
Lydia Williams,Australia,0,0,0,0,,,
Teagan Micah,Australia,0,0,0,0,,,
Courtney Nevin,Australia,0,0,0,0,,,
Aivi Luik,Australia,0,0,0,0,,,
Clare Polkinghorne,Australia,6,9,7,1,,,
Clare Wheeler,Australia,0,0,0,0,,,
Alex Chidiac,Australia,0,6,0,0,,,
Emily van Egmond,Australia,16,90,83,79,,,
Tameka Yallop,Australia,0,0,0,1,,,
Kyah Simon,Australia,0,0,0,0,,,
Sam Kerr,Australia,0,0,0,11,,,
Charlotte Grant,Australia,0,0,1,0,,,
Courtney Brosnan,Republic of Ireland,90,90,90,,,,
Louise Quinn,Republic of Ireland,90,90,90,,,,
Niamh Fahey,Republic of Ireland,90,90,89,,,,
Megan Connolly,Republic of Ireland,90,90,90,,,,
Ruesha Littlejohn,Republic of Ireland,90,64,90,,,,
Denise O'Sullivan,Republic of Ireland,90,90,90,,,,
Katie McCabe,Republic of Ireland,90,90,90,,,,
Heather Payne,Republic of Ireland,90,0,83,,,,
Sinead Farrelly,Republic of Ireland,62,64,90,,,,
Kyra Carusa,Republic of Ireland,86,64,90,,,,
Marissa Sheva,Republic of Ireland,62,33,7,,,,
Grace Moloney,Republic of Ireland,0,0,0,,,,
Megan Walsh,Republic of Ireland,0,0,0,,,,
Claire O'Riordan,Republic of Ireland,0,0,0,,,,
Chloe Mustaki,Republic of Ireland,0,0,0,,,,
Diane Caldwell,Republic of Ireland,0,0,1,,,,
Amber Barrett,Republic of Ireland,0,26,0,,,,
Lily Agg,Republic of Ireland,0,26,82,,,,
Áine O'Gorman,Republic of Ireland,0,57,0,,,,
Lucy Quinn,Republic of Ireland,28,45,0,,,,
Abbie Larkin,Republic of Ireland,28,45,8,,,,
Ciara Grant,Republic of Ireland,0,0,0,,,,
Izzy Atkinson,Republic of Ireland,4,26,0,,,,
Chiamaka Nnadozie,Nigeria,90,90,90,120,,,
Ashleigh Plumptre,Nigeria,90,76,90,120,,,
Osinachi Ohale,Nigeria,90,90,90,120,,,
Ifeoma Onumonu,Nigeria,84,62,24,57,,,
Toni Payne,Nigeria,90,89,90,113,,,
Asisat Oshoala,Nigeria,89,27,66,63,,,
Christy Ucheibe,Nigeria,90,90,90,120,,,
Deborah Abiodun,Nigeria,89,0,0,0,,,
Blessing Demehin,Nigeria,90,90,83,120,,,
Francisca Ordega,Nigeria,72,0,0,40,,,
Michelle Alozie,Nigeria,90,90,90,120,,,
Tochukwu Oluehi,Nigeria,0,0,0,0,,,
Yewande Balogun,Nigeria,0,0,0,0,,,
Glory Ogbonna,Nigeria,0,14,0,0,,,
Onome Ebi,Nigeria,0,1,7,0,,,
Gift Monday,Nigeria,0,0,23,0,,,
Uchenna Kanu,Nigeria,18,63,67,80,,,
Jennifer Echegini,Nigeria,1,15,0,30,,,
Rofiat Imuran,Nigeria,0,0,0,0,,,
Esther Okoronkwo,Nigeria,6,28,0,0,,,
Kailen Sheridan,Canada,90,90,90,,,,
Kadeisha Buchanan,Canada,90,45,90,,,,
Quinn,Canada,90,90,77,,,,
Deanne Rose,Canada,45,0,45,,,,
Julia Grosso,Canada,81,45,45,,,,
Jayde Riviere,Canada,70,89,45,,,,
Jordyn Huitema,Canada,90,90,45,,,,
Ashley Lawrence,Canada,90,90,90,,,,
Christine Sinclair,Canada,70,45,45,,,,
Vanessa Gilles,Canada,90,90,90,,,,
Adriana Leon,Canada,63,58,63,,,,
Sabrina D'Angelo,Canada,0,0,0,,,,
Lysianne Proulx,Canada,0,0,0,,,,
Allysha Chapman,Canada,20,1,45,,,,
Shelina Zadorsky,Canada,0,45,0,,,,
Evelyne Viens,Canada,27,45,27,,,,
Sophie Schmidt,Canada,20,45,45,,,,
Nichelle Prince,Canada,9,0,0,,,,
Gabrielle Carle,Canada,0,0,0,,,,
Jessie Fleming,Canada,0,90,90,,,,
Cloé Lacasse,Canada,45,32,45,,,,
Simi Awujo,Canada,0,0,0,,,,
Olivia Smith,Canada,0,0,13,,,,
Olivia McDaniel,Philippines,90,90,90,,,,
Jessika Cowart,Philippines,90,82,90,,,,
Jaclyn Sawicki,Philippines,90,90,73,,,,
Hali Long,Philippines,90,90,90,,,,
Sarina Bolden,Philippines,80,82,73,,,,
Sara Eggesvik,Philippines,69,63,90,,,,
Angela Beard,Philippines,90,90,90,,,,
Sofia Harrison,Philippines,90,90,10,,,,
Alicia Barker,Philippines,90,69,56,,,,
Quinley Quezada,Philippines,69,69,81,,,,
Katrina Guillou,Philippines,90,90,90,,,,
Kaiya Jota,Philippines,0,0,0,,,,
Kiara Fontanilla,Philippines,0,0,0,,,,
Malea Cesar,Philippines,0,0,0,,,,
Tahnai Annis,Philippines,0,21,0,,,,
Isabella Flanigan,Philippines,21,27,56,,,,
Chandler McDaniel,Philippines,10,0,17,,,,
Anicka Castañeda,Philippines,0,0,0,,,,
Ryley Bugay,Philippines,0,8,17,,,,
Meryll Serrano,Philippines,21,0,9,,,,
Carleigh Frilles,Philippines,0,8,0,,,,
Dominique Randle,Philippines,0,21,34,,,,
Reina Bonta,Philippines,0,0,0,,,,
Gaëlle Thalmann,Switzerland,90,90,90,90,,,
Julia Stierli,Switzerland,90,90,90,90,,,
Noelle Maritz,Switzerland,90,90,90,90,,,
Géraldine Reuteler,Switzerland,89,77,70,45,,,
Ana-Maria Crnogorčević,Switzerland,90,90,89,90,,,
Ramona Bachmann,Switzerland,69,89,84,90,,,
Coumba Sow,Switzerland,90,90,90,45,,,
Lia Wälti,Switzerland,74,90,90,90,,,
Luana Bühler,Switzerland,90,0,0,0,,,
Seraina Piubel,Switzerland,89,87,84,74,,,
Eseosa Aigbogun,Switzerland,90,90,90,45,,,
Livia Peng,Switzerland,0,0,0,0,,,
Seraina Friedli,Switzerland,0,0,0,0,,,
Lara Marti,Switzerland,0,0,0,7,,,
Laura Felber,Switzerland,0,0,0,0,,,
Amira Arfaoui,Switzerland,0,0,0,0,,,
Nadine Riesen,Switzerland,1,90,90,83,,,
Marion Rey,Switzerland,0,1,0,0,,,
Sandrine Mauron,Switzerland,16,13,6,45,,,
Viola Calligaris,Switzerland,0,0,6,45,,,
