"Player_Name","Team","Min","Matchday"
"Erin McLeod","Canada",90,2015-06-06
"Kadeisha Buchanan","Canada",90,2015-06-06
"Josée Bélanger","Canada",90,2015-06-06
"Lauren Sesselmann","Canada",90,2015-06-06
"Desiree Scott","Canada",71,2015-06-06
"Christine Sinclair","Canada",90,2015-06-06
"Sophie Schmidt","Canada",90,2015-06-06
"Melissa Tancredi","Canada",77,2015-06-06
"Allysha Chapman","Canada",90,2015-06-06
"Jonelle Filigno","Canada",61,2015-06-06
"Ashley Lawrence","Canada",90,2015-06-06
"Stephanie Labbé","Canada",0,2015-06-06
"Karina LeBlanc","Canada",0,2015-06-06
"Emily Zurrer","Canada",0,2015-06-06
"Carmelina Moscato","Canada",0,2015-06-06
"Robyn Gayle","Canada",0,2015-06-06
"Kaylyn Kyle","Canada",29,2015-06-06
"Rhian Wilkinson","Canada",0,2015-06-06
"Diana Matheson","Canada",0,2015-06-06
"Jessie Fleming","Canada",19,2015-06-06
"Selenia Iacchelli","Canada",0,2015-06-06
"Adriana Leon","Canada",13,2015-06-06
"Marie-Ève Nault","Canada",0,2015-06-06
"Wang Fei","China PR",90,2015-06-06
"Liu Shanshan","China PR",90,2015-06-06
"Wu Haiyan","China PR",90,2015-06-06
"Li Dongna","China PR",90,2015-06-06
"Wang Shanshan","China PR",90,2015-06-06
"Li Ying","China PR",62,2015-06-06
"Zhao Rong","China PR",90,2015-06-06
"Gu Yasha","China PR",87,2015-06-06
"Tan Ruyin","China PR",90,2015-06-06
"Wang Lisi","China PR",42,2015-06-06
"Ren Guixin","China PR",90,2015-06-06
"Zhang Yue","China PR",0,2015-06-06
"Zhao Lina","China PR",0,2015-06-06
"Pang Fengyue","China PR",0,2015-06-06
"Li Jiayue","China PR",0,2015-06-06
"Xu Yanlu","China PR",0,2015-06-06
"Ma Jun","China PR",3,2015-06-06
"Wang Shuang","China PR",0,2015-06-06
"Tang Jiali","China PR",0,2015-06-06
"Lei Jiahui","China PR",0,2015-06-06
"Lou Jiahui","China PR",0,2015-06-06
"Han Peng","China PR",48,2015-06-06
"Zhang Rui","China PR",28,2015-06-06
"Ingrid Hjelmseth","Norway",90,2015-06-07
"Gry Tofte Ims","Norway",90,2015-06-07
"Maren Mjelde","Norway",90,2015-06-07
"Trine Rønning","Norway",63,2015-06-07
"Solveig Gulbrandsen","Norway",69,2015-06-07
"Isabell Herlovsen","Norway",90,2015-06-07
"Nora Holstad Berge","Norway",45,2015-06-07
"Ingrid Moe Wold","Norway",90,2015-06-07
"Lene Mykjåland","Norway",90,2015-06-07
"Kristine Minde","Norway",90,2015-06-07
"Ada Hegerberg","Norway",90,2015-06-07
"Silje Vesterbekkmo","Norway",0,2015-06-07
"Cecilie Fiskerstrand","Norway",0,2015-06-07
"Maria Thorisdottir","Norway",0,2015-06-07
"Marita Skammelsrud Lund","Norway",45,2015-06-07
"Lisa-Marie Karlseng Utland","Norway",0,2015-06-07
"Anja Sønstevold","Norway",0,2015-06-07
"Ingrid Schjelderup","Norway",0,2015-06-07
"Marit Sandvei","Norway",0,2015-06-07
"Elise Thorsnes","Norway",27,2015-06-07
"Melissa Bjånesøy","Norway",0,2015-06-07
"Emilie Haavi","Norway",21,2015-06-07
"Hege Hansen","Norway",0,2015-06-07
"Waraporn Boonsing","Thailand",90,2015-06-07
"Natthakarn Chinwong","Thailand",90,2015-06-07
"Duangnapa Sritala","Thailand",90,2015-06-07
"Pikul Khueanpet","Thailand",90,2015-06-07
"Silawan Intamee","Thailand",90,2015-06-07
"Naphat Seesraum","Thailand",59,2015-06-07
"Warunee Phetwiset","Thailand",90,2015-06-07
"Sunisa Srangthaisong","Thailand",90,2015-06-07
"Rattikan Thongsombut","Thailand",90,2015-06-07
"Anootsara Maijarern","Thailand",90,2015-06-07
"Kanjana Sungngoen","Thailand",90,2015-06-07
"Yada Sengyong","Thailand",0,2015-06-07
"Sukanya Chor Charoenying","Thailand",0,2015-06-07
"Darut Changplook","Thailand",0,2015-06-07
"Ainon Phancha","Thailand",0,2015-06-07
"Alisa Rukpinij","Thailand",0,2015-06-07
"Orathai Srimanee","Thailand",31,2015-06-07
"Thanatta Chawong","Thailand",0,2015-06-07
"Nattaya Duanjanthuek","Thailand",0,2015-06-07
"Khwanrudi Saengchan","Thailand",0,2015-06-07
"Taneekarn Dangda","Thailand",0,2015-06-07
"Wilaiporn Boothduang","Thailand",0,2015-06-07
"Nisa Romyen","Thailand",0,2015-06-07
"Nadine Angerer","Germany",90,2015-06-07
"Saskia Bartusiak","Germany",90,2015-06-07
"Leonie Maier","Germany",90,2015-06-07
"Annike Krahn","Germany",90,2015-06-07
"Simone Laudehr","Germany",73,2015-06-07
"Anja Mittag","Germany",90,2015-06-07
"Célia Šašić","Germany",45,2015-06-07
"Melanie Leupolz","Germany",17,2015-06-07
"Alexandra Popp","Germany",90,2015-06-07
"Lena Goeßling","Germany",90,2015-06-07
"Tabea Kemme","Germany",90,2015-06-07
"Almuth Schult","Germany",0,2015-06-07
"Laura Benkarth","Germany",0,2015-06-07
"Bianca Schmidt","Germany",0,2015-06-07
"Melanie Behringer","Germany",73,2015-06-07
"Pauline Bremer","Germany",0,2015-06-07
"Lena Lotzen","Germany",0,2015-06-07
"Dzsenifer Marozsán","Germany",0,2015-06-07
"Babett Peter","Germany",0,2015-06-07
"Jennifer Cramer","Germany",0,2015-06-07
"Josephine Henning","Germany",0,2015-06-07
"Lena Petermann","Germany",17,2015-06-07
"Sara Däbritz","Germany",45,2015-06-07
"Dominique Thiamale","Côte d'Ivoire",90,2015-06-07
"Fatou Coulibaly","Côte d'Ivoire",90,2015-06-07
"Nina Kpaho","Côte d'Ivoire",38,2015-06-07
"Rita Akaffou","Côte d'Ivoire",90,2015-06-07
"Nadege Essoh","Côte d'Ivoire",51,2015-06-07
"Rebecca Elloh","Côte d'Ivoire",72,2015-06-07
"Ida Guehai","Côte d'Ivoire",90,2015-06-07
"Josée Nahi","Côte d'Ivoire",90,2015-06-07
"Binta Diakité","Côte d'Ivoire",90,2015-06-07
"Sophie Aguie","Côte d'Ivoire",90,2015-06-07
"Raymonde Kacou","Côte d'Ivoire",90,2015-06-07
"Lydie Saki","Côte d'Ivoire",0,2015-06-07
"Cynthia Djohore","Côte d'Ivoire",0,2015-06-07
"Djelika Coulibaly","Côte d'Ivoire",0,2015-06-07
"Mariam Diakité","Côte d'Ivoire",0,2015-06-07
"Ines Nrehy","Côte d'Ivoire",39,2015-06-07
"Sandrine Niamien","Côte d'Ivoire",0,2015-06-07
"Ange N'Guessan","Côte d'Ivoire",18,2015-06-07
"Fernande Tchétché","Côte d'Ivoire",52,2015-06-07
