date,season,team,opponent,goals_for,goals_against,goals,assists,minutes
2013-04-14,2013,WNY,NJY,0,1,0,0,90
2013-04-20,2013,WNY,WAS,1,1,0,0,79
2013-04-27,2013,WNY,BOS,1,2,0,0,90
2013-05-01,2013,WNY,NJY,2,1,0,0,90
2013-05-11,2013,WNY,KC,2,1,0,0,90
2013-05-24,2013,WNY,CHI,2,1,1,0,90
2013-06-05,2013,WNY,BOS,2,2,0,0,90
2013-06-08,2013,WNY,NJY,3,0,0,0,5
2013-06-15,2013,WNY,WAS,2,0,0,0,90
2013-06-19,2013,WNY,CHI,2,2,0,0,90
2013-06-23,2013,WNY,RGN,1,1,0,0,90
2013-06-28,2013,WNY,WAS,4,0,0,0,58
2013-07-04,2013,WNY,CHI,0,1,0,0,74
2013-07-07,2013,WNY,KC,0,0,0,0,90
2013-07-11,2013,WNY,RGN,2,3,0,0,85
2013-07-14,2013,WNY,POR,1,1,0,0,90
2013-07-21,2013,WNY,NJY,3,0,0,0,90
2013-07-31,2013,WNY,WAS,3,0,0,0,90
2013-08-03,2013,WNY,BOS,2,2,0,0,63
2013-08-07,2013,WNY,RGN,1,0,0,0,85
2014-04-13,2014,WNY,WAS,3,1,0,0,85
2014-04-19,2014,WNY,CHI,0,1,0,0,62
2014-05-03,2014,WNY,POR,1,1,0,0,82
2014-05-07,2014,WNY,KC,2,1,0,0,90
2014-05-11,2014,WNY,NJY,2,0,0,0,90
2014-05-17,2014,WNY,WAS,2,3,0,0,30
2014-05-21,2014,WNY,POR,1,2,1,0,90
2014-05-25,2014,WNY,RGN,2,2,0,0,88
2014-05-31,2014,WNY,HOU,1,2,1,0,65
2014-06-04,2014,WNY,KC,0,1,0,0,90
2014-06-07,2014,WNY,POR,5,0,1,0,90
2014-06-11,2014,WNY,HOU,1,2,0,1,90
2014-06-18,2014,WNY,CHI,2,0,0,0,90
2014-06-22,2014,WNY,RGN,1,2,0,0,90
2014-06-27,2014,WNY,BOS,2,1,0,0,90
2014-07-02,2014,WNY,RGN,1,2,0,0,90
2014-07-05,2014,WNY,HOU,4,1,0,1,90
2014-07-12,2014,WNY,WAS,0,1,0,0,90
2014-07-18,2014,WNY,KC,1,1,0,0,90
2014-07-25,2014,WNY,BOS,2,4,0,0,90
2014-07-31,2014,WNY,NJY,0,1,0,0,90
2014-08-03,2014,WNY,BOS,4,3,0,0,90
2014-08-13,2014,WNY,NJY,2,3,0,0,90
2014-08-16,2014,WNY,CHI,3,3,0,0,90
2015-04-11,2015,POR,BOS,4,1,0,0,90
2015-04-18,2015,POR,WNY,1,0,0,0,90
2015-04-25,2015,POR,CHI,2,2,0,0,90
2015-05-09,2015,POR,WAS,2,2,0,0,90
2015-05-16,2015,POR,BOS,0,1,0,0,90
2015-05-23,2015,POR,HOU,0,1,0,0,90
2015-05-30,2015,POR,WAS,1,2,0,0,66
2015-06-06,2015,POR,HOU,0,0,0,0,90
2015-06-19,2015,POR,KC,1,1,0,0,69
2015-07-22,2015,POR,RGN,0,1,0,0,72
2015-07-26,2015,POR,RGN,0,3,0,0,90
2015-07-29,2015,POR,WNY,2,0,0,0,90
2015-08-05,2015,POR,BOS,5,2,2,0,90
2015-08-09,2015,POR,CHI,2,1,0,0,90
2015-08-12,2015,POR,KC,0,3,0,0,90
2015-08-22,2015,POR,NJY,0,1,0,0,90
2015-08-30,2015,POR,WAS,3,3,0,0,33
2015-09-04,2015,POR,WNY,2,3,0,0,45
2016-04-16,2016,BOS,WAS,0,1,0,0,90
2016-04-24,2016,BOS,RGN,0,3,0,0,81
2016-05-01,2016,BOS,POR,0,1,0,0,90
2016-05-07,2016,BOS,CHI,0,1,0,0,90
2016-05-13,2016,BOS,NJY,0,1,0,0,82
2016-05-22,2016,BOS,KC,1,0,0,0,55
2016-05-27,2016,BOS,WNY,0,4,0,0,90
2016-06-10,2016,BOS,WAS,1,1,0,0,90
2016-06-17,2016,WNY,POR,0,2,0,0,46
2016-06-24,2016,WNY,BOS,7,1,0,0,90
2016-07-01,2016,WNY,CHI,2,0,0,0,90
2016-07-09,2016,WNY,RGN,3,2,0,0,90
2016-07-16,2016,WNY,RGN,1,1,0,0,90
2016-07-23,2016,WNY,KC,0,1,0,0,90
2016-07-30,2016,WNY,HOU,3,3,0,0,90
2016-08-27,2016,WNY,HOU,2,2,0,0,90
2016-09-03,2016,WNY,WAS,1,1,0,0,78
2016-09-07,2016,WNY,BOS,2,2,0,0,90
