Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2014-04-13,Sun,NWSL,Regular Season,Away,W 3–1,Flash,Spirit,Y,,85,0,0,0,0,0,0,0,0,2,0,,,,,0,,,Match Report
2014-04-19,Sat,NWSL,Regular Season,Away,L 0–1,Flash,Red Stars,Y,,62,0,0,0,0,0,0,0,0,1,0,,,,,0,,,Match Report
2014-05-03,Sat,NWSL,Regular Season,Home,D 1–1,Flash,Thorns,Y,,82,0,0,0,0,1,0,0,0,0,1,,,,,0,,,Match Report
2014-05-07,Wed,NWSL,Regular Season,Home,W 2–1,Flash,Kansas City,Y,,90,0,0,0,0,0,0,0,0,3,1,,,,,0,,,Match Report
2014-05-11,Sun,NWSL,Regular Season,Home,W 2–0,Flash,Sky Blue,Y,,90,0,0,0,0,1,0,0,0,3,1,,,,,0,,,Match Report
2014-05-17,Sat,NWSL,Regular Season,Away,L 2–3,Flash,Spirit,N,,30,0,0,0,0,0,0,0,0,1,0,,,,,0,,,Match Report
2014-05-21,Wed,NWSL,Regular Season,Away,L 1–2,Flash,Thorns,Y,,90,1,0,0,0,3,2,0,0,1,2,,,,,0,,,Match Report
2014-05-25,Sun,NWSL,Regular Season,Away,D 2–2,Flash,Reign,Y,,88,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Match Report
2014-05-31,Sat,NWSL,Regular Season,Home,L 1–2,Flash,Dash,Y,,65,1,0,0,0,1,1,0,0,0,2,,,,,0,,,Match Report
2014-06-04,Wed,NWSL,Regular Season,Away,L 0–1,Flash,Kansas City,Y,,90,0,0,0,0,1,0,0,0,1,1,,,,,0,,,Match Report
2014-06-07,Sat,NWSL,Regular Season,Away,W 5–0,Flash,Thorns,Y,,90,1,0,0,0,2,1,0,0,2,1,,,,,0,,,Match Report
2014-06-11,Wed,NWSL,Regular Season,Away,L 1–2,Flash,Dash,Y,,90,0,1,0,0,1,0,0,0,1,1,,,,,0,,,Match Report
2014-06-18,Wed,NWSL,Regular Season,Home,W 2–0,Flash,Red Stars,Y,,90,0,0,0,0,0,0,0,0,4,1,,,,,0,,,Match Report
2014-06-22,Sun,NWSL,Regular Season,Home,L 1–2,Flash,Reign,Y,,90,0,0,0,0,0,0,1,0,5,0,,,,,0,,,Match Report
2014-06-27,Fri,NWSL,Regular Season,Home,W 2–1,Flash,Boston,Y,,90,0,0,0,0,0,0,0,0,2,1,,,,,0,,,Match Report
2014-07-02,Wed,NWSL,Regular Season,Home,L 1–2,Flash,Reign,Y,,90,0,0,0,0,0,0,0,0,1,2,,,,,0,,,Match Report
2014-07-05,Sat,NWSL,Regular Season,Away,W 4–1,Flash,Dash,Y,,90,0,1,0,0,1,1,0,0,2,1,,,,,0,,,Match Report
2014-07-12,Sat,NWSL,Regular Season,Home,L 0–1,Flash,Spirit,Y,,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,,Match Report
2014-07-18,Fri,NWSL,Regular Season,Home,D 1–1,Flash,Kansas City,Y,,90,0,0,0,0,0,0,0,0,3,0,,,,,0,,,Match Report
2014-07-25,Fri,NWSL,Regular Season,Home,L 2–4,Flash,Boston,Y,,90,0,0,0,0,0,0,0,0,1,3,,,,,0,,,Match Report
2014-07-31,Thu,NWSL,Regular Season,Away,L 0–1,Flash,Sky Blue,Y,,90,0,0,0,0,0,0,0,0,3,1,,,,,0,,,Match Report
2014-08-03,Sun,NWSL,Regular Season,Away,W 4–3,Flash,Boston,Y,,90,0,0,0,0,0,0,0,0,5,1,,,,,0,,,Match Report
2014-08-13,Wed,NWSL,Regular Season,Home,L 2–3,Flash,Sky Blue,Y,,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,,Match Report
2014-08-16,Sat,NWSL,Regular Season,Away,D 3–3,Flash,Red Stars,Y,,90,0,0,0,0,1,0,1,0,3,1,,,,,0,,,Match Report
