Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,,,,,,,,
2019-04-13,Sat,NWSL,Regular Season,Home,D 1–1,Courage,Red Stars,Y,DM,70,0,0,0,0,1,0,0,0,46,2,3,1,0.1,0.1,0,2,0,28,38,73.7,4,17,2,2,1,Match Report
2019-04-17,Wed,NWSL,Regular Season,Home,W 5–0,Courage,Pride,Y,CM,90,0,0,0,0,1,1,1,0,56,5,5,1,0.1,0.1,0,6,0,27,32,84.4,6,23,0,0,0,Match Report
2019-04-28,Sun,NWSL,Regular Season,Away,W 4–1,Courage,Dash,Y,CM,90,0,0,0,0,0,0,0,0,63,1,4,3,0,0,0.1,4,1,46,54,85.2,9,33,2,2,2,Match Report
2019-05-04,Sat,NWSL,Regular Season,Home,D 0–0,Courage,Sky Blue,Y,CM,90,0,0,0,0,1,0,1,0,72,2,6,2,0,0,0.1,4,0,37,57,64.9,9,35,1,3,3,Match Report
2019-05-12,Sun,NWSL,Regular Season,Away,L 1–3,Courage,Red Stars,Y,CM,90,0,0,0,0,0,0,0,0,77,3,1,6,0,0,0.5,2,1,42,61,68.9,4,25,0,1,0,Match Report
2019-05-19,Sun,NWSL,Regular Season,Home,D 1–1,Courage,Utah,Y,DM,90,0,0,0,0,1,0,0,0,71,2,7,3,0,0,0,1,0,38,53,71.7,6,35,3,1,1,Match Report
2019-05-27,Mon,NWSL,Regular Season,Away,L 1–2,Courage,Reign,Y,DM,90,0,0,0,0,0,0,0,0,69,2,2,2,0,0,0,0,0,41,57,71.9,11,33,2,2,1,Match Report
2019-06-01,Sat,NWSL,Regular Season,Away,W 3–0,Courage,Pride,Y*,AM,74,0,0,0,0,2,1,0,0,42,1,1,0,0.2,0.2,0,3,0,22,32,68.8,2,9,1,2,1,Match Report
2019-06-15,Sat,NWSL,Regular Season,Home,D 1–1,Courage,Thorns,Y*,"DM,AM",90,0,0,0,0,1,0,0,0,64,2,0,1,0,0,0,2,0,38,54,70.4,4,25,1,0,0,Match Report
2019-06-29,Sat,NWSL,Regular Season,Away,W 2–1,Courage,Spirit,Y*,AM,90,0,0,0,0,1,1,1,0,59,2,3,0,0,0,0.2,4,0,33,51,64.7,6,22,3,4,3,Match Report
2019-07-05,Fri,NWSL,Regular Season,Home,W 5–2,Courage,Dash,Y*,CM,90,0,0,0,0,0,0,0,0,51,1,4,0,0,0,0,0,0,35,41,85.4,2,27,0,2,1,Match Report
2019-07-13,Sat,NWSL,Regular Season,Home,W 2–0,Courage,Reign,Y,RM,90,0,0,0,0,4,0,0,0,55,3,1,3,0.3,0.3,0,5,1,29,39,74.4,9,27,0,0,0,Match Report
2019-07-21,Sun,NWSL,Regular Season,Away,L 1–2,Courage,Red Stars,Y,AM,80,0,0,0,0,0,0,0,0,38,4,0,1,0,0,0.5,3,0,19,28,67.9,4,21,1,2,1,Match Report
2019-07-27,Sat,NWSL,Regular Season,Away,W 2–1,Courage,Utah,N,FW,11,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,4,6,66.7,1,2,0,0,0,Match Report
2019-08-02,Fri,NWSL,Regular Season,Home,W 1–0,Courage,Spirit,Y,LM,90,0,0,0,0,0,0,0,0,71,3,3,3,0,0,0.1,1,0,52,62,83.9,7,29,1,1,1,Match Report
2019-08-11,Sun,NWSL,Regular Season,Away,L 1–2,Courage,Thorns,N,DM,21,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,1,0,11,16,68.8,4,10,0,0,0,Match Report
2019-08-24,Sat,NWSL,Regular Season,Home,W 1–0,Courage,Reign,N,AM,7,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,7,7,100,0,6,0,0,0,Match Report
2019-09-07,Sat,NWSL,Regular Season,Away,W 2–1,Courage,Sky Blue,Y,AM,90,0,0,0,0,0,0,0,0,71,6,2,1,0,0,0,2,0,55,59,93.2,12,45,2,1,1,Match Report
2019-09-14,Sat,NWSL,Regular Season,Home,W 6–1,Courage,Pride,Y,CM,90,0,1,0,0,0,0,0,0,63,2,1,0,0,0,0.1,4,1,49,58,84.5,9,37,2,0,0,Match Report
2019-09-21,Sat,NWSL,Regular Season,Away,W 3–0,Courage,Utah,Y,DM,58,0,0,0,0,0,0,0,0,47,6,2,1,0,0,0,1,0,33,38,86.8,4,24,1,1,1,Match Report
2019-09-28,Sat,NWSL,Regular Season,Away,L 1–2,Courage,Spirit,Y,DM,87,0,0,0,0,1,0,0,0,68,4,0,2,0.1,0.1,0,3,0,51,58,87.9,14,31,1,0,0,Match Report
2019-10-12,Sat,NWSL,Regular Season,Home,W 3–2,Courage,Sky Blue,Y,DM,90,0,0,0,0,0,0,0,0,70,6,1,0,0,0,0.1,4,0,53,61,86.9,13,39,6,2,2,Match Report
